rank,title,genre,perf_start_date,perf_end_date,venue_name,num_showings,ticket_sales_qty,ticket_sales_amount,perf_id,company_id,week_start_date,week_end_date
1,회란기,연극,2023-03-10,2023-04-02,두산아트센터 연강홀,3,462,13389,PF213114,FC000402,20230305,20230311
1,회란기,연극,2023-03-10,2023-04-02,두산아트센터 연강홀,7,841,25886,PF213114,FC000402,20230312,20230318
1,회란기,연극,2023-03-10,2023-04-02,두산아트센터 연강홀,7,1118,33310,PF213114,FC000402,20230319,20230325
1,회란기,연극,2023-03-10,2023-04-02,두산아트센터 연강홀,7,1408,41826,PF213114,FC000402,20230326,20230401
1,회란기,연극,2023-03-10,2023-04-02,두산아트센터 연강홀,1,393,11063,PF213114,FC000402,20230402,20230408
2,판소리 레미제라블: 구구선 사람들,한국음악(국악),2023-04-08,2023-04-22,두산아트센터 Space111,1,52,644,PF214286,FC000402,20230402,20230408
1,판소리 레미제라블: 구구선 사람들,한국음악(국악),2023-04-08,2023-04-22,두산아트센터 Space111,6,310,4429,PF214286,FC000402,20230409,20230415
2,12인의 성난 사람들 [광주],연극,2023-04-14,2023-04-15,공연일번지,3,179,2178,PF215689,FC001286,20230409,20230415
1,판소리 레미제라블: 구구선 사람들,한국음악(국악),2023-04-08,2023-04-22,두산아트센터 Space111,6,353,5815,PF214286,FC000402,20230416,20230422
2,무풍,한국음악(국악),2023-04-22,2023-04-22,서울남산국악당 크라운해태홀,1,289,5688,PF216623,FC004809,20230416,20230422
3,12인의 성난 사람들 [밀양],연극,2023-04-21,2023-04-22,"밀양아리나 (구, 밀양연극촌) 성벽극장 (야외극장) ",2,19,133,PF216756,FC001322,20230416,20230422
1,페페의 꿈 [춘천],복합,2023-05-05,2023-05-06,춘천인형극장,4,567,6024,PF216858,FC000680,20230430,20230506
1,친절한 돼지씨 [무안],한국음악(국악),2023-05-11,2023-05-11,무안승달문화예술회관 대공연장,2,839,1259,PF217873,FC001378,20230507,20230513
2,회란기 [광주],연극,2023-05-12,2023-05-13,광산문화예술회관 공연장,2,261,4731,PF217042,FC000849,20230507,20230513
1,실험실 콘서트 [여수],서양음악(클래식),2023-05-19,2023-05-19,GS칼텍스 예울마루 대극장,2,633,11576,PF216451,FC000826,20230514,20230520
2,회란기 [하남],연극,2023-05-20,2023-05-20,하남문화예술회관 아랑홀(소극장),2,352,5190,PF217043,FC000095,20230514,20230520
1,이상한 엄마 [포항],뮤지컬,2023-05-26,2023-05-27,포항문화예술회관 대공연장,3,2005,33296,PF217261,FC001191,20230521,20230527
2,친절한 돼지씨 [인천],한국음악(국악),2023-05-26,2023-05-26,청라복합문화센터 블루노바홀 공연장,2,327,2505,PF216959,FC002833,20230521,20230527
3,회란기 [울산],연극,2023-05-27,2023-05-28,울산문화예술회관 소공연장,1,153,3240,PF217323,FC000081,20230521,20230527
1,회란기 [금천],연극,2023-06-02,2023-06-03,금나래아트홀,2,507,6393,PF217562,FC000784,20230528,20230603
2,그때도 오늘 [오산],연극,2023-06-02,2023-06-03,오산문화예술회관 소공연장,2,217,3524,PF217554,FC000145,20230528,20230603
3,회란기 [울산],연극,2023-05-27,2023-05-28,울산문화예술회관 소공연장,1,115,2508,PF217323,FC000081,20230528,20230603
1,연희 도깨비 [포항],한국음악(국악),2023-06-10,2023-06-10,포항시청 대잠홀,2,446,5862,PF217283,FC001256,20230604,20230610
2,평롱(平弄): 그 평안한 떨림 [고성],한국음악(국악),2023-06-09,2023-06-10,고성공룡시장 공영주차장,2,363,2850,PF219710,FC003443,20230604,20230610
3,콜비츠와의 대화 [대전],연극,2023-06-09,2023-06-10,대전시립연정국악원 큰마당,2,280,1492,PF218774,FC001415,20230604,20230610
1,수박 수영장 [거창],뮤지컬,2023-06-16,2023-06-17,거창문화센터 공연장,2,756,12717,PF219630,FC000879,20230611,20230617
2,페페의 꿈 [부산],복합,2023-06-17,2023-06-17,금정문화회관 대공연장(금빛누리홀),1,295,3936,PF218080,FC000160,20230611,20230617
3,서교동에서 죽다 [진주],연극,2023-06-17,2023-06-18,현장아트홀,2,87,1354,PF218167,FC000714,20230611,20230617
1,수박 수영장 [함안],뮤지컬,2023-06-23,2023-06-24,함안문화예술회관 대공연장,3,1285,19762,PF216772,FC000584,20230618,20230624
2,파리넬리 [부천],뮤지컬,2023-06-23,2023-06-24,부천시민회관 대공연장,2,680,23428,PF217477,FC000122,20230618,20230624
3,"클래식, 벽을 허물다 [포항]",서양음악(클래식),2023-06-22,2023-06-22,포항문화예술회관 대공연장,2,544,6156,PF219102,FC001191,20230618,20230624
4,12인의 성난 사람들 [안산],연극,2023-06-23,2023-06-24,안산문화예술의전당 달맞이극장,2,530,7448,PF216757,FC000018,20230618,20230624
5,"오페라 하이라이트 페스타, 오텔로",서양음악(클래식),2023-06-24,2023-06-24,영등포아트홀,1,289,2272,PF216125,FC000059,20230618,20230624
6,그때도 오늘 [청양],연극,2023-06-22,2023-06-22,청양문예회관 대공연장,2,269,2585,PF218932,FC000441,20230618,20230624
7,"오페라 하이라이트 페스타, 봄봄",서양음악(클래식),2023-06-21,2023-06-21,영등포아트홀,1,260,915,PF217047,FC000059,20230618,20230624
8,연희도깨비 [남해],한국음악(국악),2023-06-23,2023-06-24,남해탈공연박물관 다초실험극장,3,233,1181,PF220437,FC003457,20230618,20230624
9,서교동에서 죽다 [진주],연극,2023-06-17,2023-06-18,현장아트홀,1,28,534,PF218167,FC000714,20230618,20230624
1,"오페라 하이라이트 페스타, 카르멘",서양음악(클래식),2023-06-25,2023-06-25,영등포아트홀,1,388,3852,PF216127,FC000059,20230625,20230701
2,조상님께 바치는 댄스 [제주],무용(서양/한국무용),2023-07-01,2023-07-02,김정문화회관,1,67,575,PF220723,FC000915,20230625,20230701
1,파리넬리 [익산],뮤지컬,2023-07-07,2023-07-08,익산예술의전당 대공연장,2,1027,31063,PF219472,FC001356,20230702,20230708
2,콜비츠와의 대화 [서울],한국음악(국악),2023-07-05,2023-07-06,양천문화회관 대극장,2,609,1635,PF220650,FC000091,20230702,20230708
3,서교동에서 죽다 [평택],연극,2023-07-07,2023-07-08,평택시남부문예회관 대공연장,2,545,7260,PF220095,FC000934,20230702,20230708
4,12인의 성난사람들 [부산],연극,2023-07-07,2023-07-08,부산문화회관 사랑채극장 (소극장) ,2,497,6200,PF217968,FC000167,20230702,20230708
5,벗 [광주],연극,2023-07-08,2023-07-08,광주북구문화센터 (양산도서관) 공연장,2,255,1355,PF219954,FC002769,20230702,20230708
6,조상님께 바치는 댄스 [제주],무용(서양/한국무용),2023-07-01,2023-07-02,김정문화회관,1,105,960,PF220723,FC000915,20230702,20230708
1,파리넬리 [공주],뮤지컬,2023-07-14,2023-07-15,공주문예회관 대공연장,2,1061,26304,PF219406,FC000415,20230709,20230715
2,무풍 [전북],한국음악(국악),2023-07-15,2023-07-15,춘향문화예술회관 대공연장,1,510,6214,PF219993,FC000475,20230709,20230715
3,그때도 오늘 [인천],연극,2023-07-15,2023-07-15,남동소래아트홀 소래극장 (대공연장) ,2,351,5333,PF220664,FC000214,20230709,20230715
4,연희도깨비 [예주],연극,2023-07-14,2023-07-15,예주문화예술회관,2,264,1525,PF220037,FC000548,20230709,20230715
5,벗 [양산],연극,2023-07-15,2023-07-15,쌍벽루아트홀,2,157,1521,PF220631,FC002372,20230709,20230715
6,"청소년을 위한 공연예술축제, 지수가 누구야 [영덕]",연극,2023-07-10,2023-07-10,영덕 무형문화재 전수교육관 소극장,2,125,660,PF221040,FC003155,20230709,20230715
7,"청소년을 위한 공연예술축제, Do It Now! [영덕]",연극,2023-07-12,2023-07-12,영덕 무형문화재 전수교육관 소극장,2,112,570,PF221037,FC003155,20230709,20230715
1,파리넬리 [당진],뮤지컬,2023-07-21,2023-07-22,당진문예의전당 대공연장,2,889,24398,PF221102,FC000424,20230716,20230722
2,헬렌 앤 미 [평택],뮤지컬,2023-07-22,2023-07-22,평택시서부문예회관 대공연장,2,858,4233,PF221317,FC000336,20230716,20230722
3,페페의 꿈 [상주],복합,2023-07-22,2023-07-22,상주문화회관 대공연장,2,595,3120,PF221685,FC000529,20230716,20230722
4,YOU & IT [함안],뮤지컬,2023-07-22,2023-07-22,함안문화예술회관 대공연장,2,570,6616,PF220926,FC000584,20230716,20230722
5,얼쑤 [광주 광산],뮤지컬,2023-07-22,2023-07-22,광산문화예술회관 공연장,2,549,3130,PF220629,FC000849,20230716,20230722
6,연희도깨비 [금천],한국음악(국악),2023-07-21,2023-07-22,금나래아트홀,3,545,4572,PF220067,FC000784,20230716,20230722
7,"청소년을 위한 공연예술축제, 5=1 [영덕]",연극,2023-07-17,2023-07-17,영덕 무형문화재 전수교육관 소극장,1,301,1505,PF221519,FC003155,20230716,20230722
8,벗 [제주],연극,2023-07-22,2023-07-22,김정문화회관,2,110,1085,PF221945,FC000915,20230716,20230722
