fcltynm,mt10id,mt13cnt,fcltychartr,sidonm,gugunnm,opende
(구) 송정초등학교 야외운동장,FC002078,1,기타(비공연장),부산,해운대구,
(구)화남산업,FC004472,1,기타(비공연장),전남,나주시,
(사)한국국악협회 인천광역시지회(인천국악회관),FC000301,1,공공(기타),인천,미추홀구,2002
(재) 영화의전당,FC000175,5,공공(문예회관),부산,해운대구,2011
(재)경기문화재단,FC001672,1,공공(기타),경기,수원시,2001
(재)구리시청소년수련관,FC000534,1,공공(기타),경기,구리시,2003
(재)정효문화재단,FC002093,1,민간(대학로 외),서울,서초구,2015
13블럭 소극장,FC003668,1,민간(대학로 외),경기,고양시,2023
1M SPACE (폐관),FC002651,1,민간(대학로 외),서울,서대문구,2019
1m클래식아트홀,FC001419,1,민간(대학로 외),서울,종로구,2008
1미터마술,FC003142,1,민간(대학로 외),전북,군산시,
1유로 프로젝트 코끼리빌라,FC003974,1,기타(비공연장),서울,성동구,
2.28기념중앙공원,FC003153,1,기타(비공연장),대구,중구,
2001 아울렛키즈홀 [구로],FC001940,1,민간(대학로 외),서울,구로구,2008
2001 아울렛키즈홀 [수원남문],FC001548,1,민간(대학로 외),경기,수원시,2005
20세기소년,FC002818,1,민간(대학로 외),서울,중구,
242,FC002391,1,기타(비공연장),서울,용산구,
2D Hall(이디홀),FC002034,1,민간(대학로 외),제주,제주시,
3.15 해양누리공원,FC003555,1,기타(비공연장),경남,창원시,
3.15아트센터,FC000877,3,공공(문예회관),경남,창원시,2008
30스튜디오 (폐관),FC001562,1,민간(대학로),서울,종로구,2016
346커피스토리,FC003784,1,기타(비공연장),강원,강릉시,
369마실,FC002800,1,기타(비공연장),서울,성북구,
396커피 컴퍼니,FC002231,1,기타(비공연장),경북,안동시,2012
4560designhaus (디자인하우스),FC002801,1,기타(비공연장),서울,서초구,
5.18기념문화센터,FC000420,2,공공(문예회관),광주,서구,2001
57th gallery(57갤러리),FC002702,1,기타(비공연장),서울,종로구,
63아트홀,FC000797,1,민간(대학로 외),서울,영등포구,2009
63컨벤션센터,FC001909,1,민간(대학로 외),서울,영등포구,2010
640아트타워,FC001547,1,민간(대학로 외),서울,강남구,2016
ACS.KR,FC004104,1,민간(대학로 외),서울,중구,
ACT 호텔 스카이 홀,FC003481,1,민간(대학로 외),대구,수성구,
ADM갤러리,FC003217,1,기타(비공연장),서울,강남구,
AG아트홀 [청주],FC003729,1,민간(대학로 외),충북,청주시,
AK플라자 [분당],FC004325,1,기타(비공연장),경기,성남시,
AK플라자 [수원],FC003487,1,민간(대학로 외),경기,수원시,
AK플라자 [원주],FC004326,1,기타(비공연장),강원,원주시,
AK플라자 [평택],FC004327,1,기타(비공연장),경기,평택시,
ALVER(알베르),FC002065,1,기타(비공연장),서울,강남구,2018
AN아트홀 [서면],FC001244,1,민간(대학로 외),부산,부산진구,2010
ASB,FC004640,1,기타(비공연장),서울,용산구,
ASSA 아트홀,FC003959,1,민간(대학로 외),서울,강서구,
Abnormal필운,FC004557,1,민간(대학로),서울,종로구,
Alter Wave,FC003704,1,기타(비공연장),경남,통영시,
BHC 27번가 갤러리 [광주],FC004906,1,기타(비공연장),광주,동구,
BLACKCUBE LAB(BCL),FC004483,1,기타(비공연장),서울,성북구,
BMW JOYSQUARE,FC003021,1,민간(대학로 외),인천,중구,
BNK부산은행 조은극장,FC001246,3,민간(대학로 외),부산,중구,2009
BOYS24 HALL(구. 메사고릴라전용관) (폐관),FC000582,1,민간(대학로 외),서울,중구,2000
BRST STUDIO,FC003893,1,민간(대학로 외),서울,마포구,
BUNKER1 (벙커1),FC004857,1,기타(비공연장),서울,서대문구,
Baby Doll (베이비돌),FC004149,1,기타(비공연장),서울,서대문구,
BeIN(비인),FC003133,1,공공(기타),제주,제주시,2022
Bibistudio,FC004067,1,민간(대학로 외),서울,은평구,
Blessing café,FC002665,1,기타(비공연장),광주,서구,
BoB House [성남],FC004912,1,민간(대학로 외),경기,성남시,
CGV [계양],FC003496,8,기타(비공연장),인천,계양구,2006
CGV [광주 터미널],FC004357,1,기타(비공연장),광주,서구,
CGV [광주금남로],FC003497,9,기타(비공연장),광주,동구,
CGV [대구],FC003498,8,기타(비공연장),대구,북구,2022
CGV [대전 터미널],FC004358,1,기타(비공연장),대전,동구,
CGV [대학로],FC003672,8,기타(비공연장),서울,종로구,
CGV [부산],FC004624,10,민간(대학로 외),부산,해운대구,
CGV [압구정],FC002756,1,기타(비공연장),서울,강남구,2006
CGV [영등포],FC002776,2,기타(비공연장),서울,영등포구,
CGV [왕십리],FC004359,1,기타(비공연장),서울,성동구,
CGV [용산],FC003548,20,기타(비공연장),서울,용산구,2004
CGV [인천],FC004360,2,기타(비공연장),인천,남동구,
CGV [피카디리 1958],FC004362,1,기타(비공연장),서울,종로구,
CGV 대구한일,FC004892,1,기타(비공연장),대구,중구,
CGV 대전,FC003499,9,기타(비공연장),대전,중구,2001
CGV 서면,FC003295,1,기타(비공연장),부산,부산진구,
CGV 울산삼산,FC003500,11,기타(비공연장),울산,남구,2013
CGV 원주,FC003501,10,기타(비공연장),강원,원주시,
CGV신한카드아트홀,FC000343,1,민간(대학로 외),서울,영등포구,2009
CJB미디어센터,FC001338,1,민간(대학로 외),충북,청주시,2014
CJ아지트 광흥창,FC000082,1,민간(대학로 외),서울,마포구,2009
CK아트홀,FC000629,1,민간(대학로 외),울산,남구,2009
CLUB PLUS82(+82),FC004840,1,민간(대학로 외),서울,강남구,
CLUB VICTIM,FC003903,1,민간(대학로 외),서울,마포구,
CLUB bender(클럽 벤더),FC002090,1,민간(대학로 외),서울,마포구,
CS아트홀,FC002104,1,민간(대학로 외),충남,아산시,2009
CTS아트홀,FC001472,1,민간(대학로 외),서울,동작구,2005
Cafe PPnF,FC002066,1,기타(비공연장),서울,종로구,2018
Cafe vave(베이브),FC002347,1,기타(비공연장),서울,마포구,
Campus D 고촌홀,FC003340,1,민간(대학로 외),부산,금정구,1995
Converse Stage Arena 여명,FC004676,1,기타(비공연장),서울,동작구,
Corners Studio,FC003781,1,민간(대학로 외),대전,동구,
D:BASE (디:베이스),FC002014,1,민간(대학로),서울,종로구,2015
DCAN센터,FC003563,1,민간(대학로 외),대전,동구,
DCAN센터 [대전],FC002917,1,민간(대학로 외),대전,동구,2021
DCT바(DCT Bar) [수원],FC004887,1,기타(비공연장),경기,수원시,
DDP 동대문디자인플라자,FC002666,3,기타(비공연장),서울,중구,2014
DDP 패션몰,FC004261,1,기타(비공연장),서울,중구,
DGT 아트센터,FC003882,1,민간(대학로 외),서울,마포구,
DMZ 박물관 [고성],FC002723,2,공공(기타),강원,고성군,2009
DOT [수원],FC004418,1,민간(대학로 외),경기,수원시,
DS ART HALL(창선당),FC002003,1,민간(대학로 외),서울,종로구,2014
DSM 아트홀,FC003694,1,민간(대학로 외),서울,마포구,
EBS 스페이스홀,FC004680,1,민간(대학로 외),경기,고양시,
Emo LAB,FC004530,1,민간(대학로 외),서울,서초구,
F1963,FC001784,3,공공(기타),부산,수영구,2016
FENICE SACAY (오사카),FC004858,1,기타(해외등),,,
G#하우스,FC003455,1,민간(대학로 외),인천,연수구,
GAG Space,FC004390,2,민간(대학로 외),서울,용산구,
GBB스페이스홀 (구. 임혁필소극장),FC001405,1,민간(대학로 외),서울,마포구,2012
GB가빈아트홀,FC001832,1,민간(대학로 외),서울,강남구,2025
GB성암아트홀,FC001444,1,민간(대학로 외),서울,강남구,2023
GET SPACE(겟 스페이스),FC002455,1,민간(대학로 외),대구,남구,2014
GLION ARENA KOBE(지라이온 아레나 고베) [일본 효고],FC004513,1,기타(해외등),,,
GS아트센터,FC004267,1,민간(대학로 외),서울,강남구,2025
GS칼텍스 예울마루,FC000826,3,공공(문예회관),전남,여수시,2012
Gillian Lynne Theatre [영국],FC004502,1,기타(해외등),,,
G스페이스홀 (지스페이스홀),FC002693,1,민간(대학로 외),서울,마포구,2020
H-스테이지,FC003003,1,민간(대학로 외),서울,마포구,
HANDIN space(핸딘스페이스),FC002302,1,기타(비공연장),경기,성남시,
HD아트센터(구 현대예술관),FC001166,2,민간(대학로 외),울산,동구,1998
HMF아트홀,FC003629,1,민간(대학로 외),부산,해운대구,
HOLE SEOUL(홀 서울),FC003575,1,기타(비공연장),서울,강남구,
Hertz (구.이태원 웨어하우스 베뉴),FC004313,1,기타(비공연장),서울,용산구,
IAM센터,FC003192,1,기타(비공연장),경기,수원시,2021
ICC제주국제컨벤션센터,FC001981,4,공공(기타),제주,서귀포시,2003
IFC몰(서울국제금융센터),FC004737,1,기타(비공연장),서울,영등포구,
IGC 글로벌캠퍼스,FC001938,1,공공(기타),인천,연수구,2012
IM CINEMA (아이엠시네마),FC003545,1,민간(대학로 외),경기,성남시,
IMCL MUSIC STUDIO,FC003198,1,민간(대학로 외),서울,강서구,2022
IPAC홀 (인터내셔널퍼포밍아트센터),FC002750,1,민간(대학로 외),서울,서초구,2017
ISC프라자 [창원],FC003253,1,민간(대학로 외),경남,창원시,
IVEX STUDIO,FC003439,2,민간(대학로 외),경기,광명시,2021
In_Loco(인로코),FC002741,1,기타(비공연장),대전,중구,
JAZZ BUNKER (재즈벙커),FC004052,1,민간(대학로 외),서울,서초구,
JB소극장,FC003369,1,민간(대학로 외),충남,천안시,
JCC 아트센터,FC001575,4,민간(대학로),서울,종로구,2015
JCC크리에이티브센터,FC003368,1,민간(대학로 외),서울,종로구,
JDB스퀘어,FC001885,1,민간(대학로 외),서울,마포구,2018
JH아트홀,FC001073,1,민간(대학로),서울,종로구,2012
JS 아트홀 (JS ART HALL) [서울 양천],FC004349,1,민간(대학로 외),서울,양천구,
