fcltynm,mt10id,mt13cnt,fcltychartr,opende,seatscale,telno,relateurl,adres,la,lo,restaurant,cafe,store,nolibang,suyu,parkbarrier,restbarrier,runwbarrier,elevbarrier,parkinglot,mt13s
(구) 송정초등학교 야외운동장,FC002078,1,기타(비공연장),,0,,,부산광역시 해운대구 송정중앙로 14 (송정동),37.494726800000000,129.12666260000000,N,N,N,N,N,N,N,N,N,N,
(구)화남산업,FC004472,1,기타(비공연장),,0,,,전라남도 나주시 죽림길 83 (죽림동),35.033225000000000,126.72458400000000,N,N,N,N,N,N,N,N,N,N,
(사)한국국악협회 인천광역시지회(인천국악회관),FC000301,1,공공(기타),2002,118,032-876-8364,http://www.kukakhall.co.kr/,인천광역시 남구 수봉안길 78 (숭의동),37.461171900000000,126.66218149999997,Y,Y,Y,N,N,Y,Y,N,Y,Y,
(재) 영화의전당,FC000175,5,공공(문예회관),2011,4877,051-780-6000,http://www.dureraum.org/bcc/main/main.do?rbsIdx=1,부산광역시 해운대구 수영강변대로 120 (우동),35.171177800000000,129.12719560000005,N,Y,Y,N,Y,Y,Y,Y,Y,Y,
(재)경기문화재단,FC001672,1,공공(기타),2001,154,031-231-7200,http://www.ggcf.kr/,경기도 수원시 팔달구 인계로 178 (인계동),37.265796700000000,127.03693450000003,N,Y,N,N,N,N,N,Y,N,Y,
(재)구리시청소년수련관,FC000534,1,공공(기타),2003,286,031-553-7101,http://www.guriyouth.or.kr/,경기도 구리시 건원대로34번길 32-10 (인창동),37.603757000000000,127.14178449999997,N,N,N,N,N,Y,N,Y,N,Y,
(재)정효문화재단,FC002093,1,민간(대학로 외),2015,100,02-523-6268,http://www.jeonghyo.or.kr/index.asp,서울특별시 서초구 사임당로18길 52-2 (서초동),37.487541700000000,127.01962010000000,N,N,N,N,N,N,N,N,N,Y,
13블럭 소극장,FC003668,1,민간(대학로 외),2023,60,010-7720-8607,https://www.instagram.com/play_block13/,경기도 고양시 일산동구 강촌로26번길 7-21 (백석동),37.647088800000000,126.78011020000000,N,N,N,N,N,N,N,N,N,Y,
1M SPACE (폐관),FC002651,1,민간(대학로 외),2019,55,,https://yellowclip.space/,서울특별시 서대문구 연세로4길 27 (창천동),37.557600800000000,126.93819840000000,N,N,N,N,N,N,N,N,N,N,
1m클래식아트홀,FC001419,1,민간(대학로 외),2008,130,02-766-7623,http://1mclassic.com/wrps/,서울특별시 종로구 종로1길 50 (중학동)더케이트윈타워,37.582702600000000,127.00360520000004,N,N,N,N,N,N,N,N,Y,N,
1미터마술,FC003142,1,민간(대학로 외),,0,063-462-4522,https://morecloser.modoo.at/,전라북도 군산시 절골4길 14(신흥동),35.986929800000000,126.70493210000000,N,N,N,N,N,N,N,N,N,N,
1유로 프로젝트 코끼리빌라,FC003974,1,기타(비공연장),,0,,https://www.instagram.com/1_euro_projects,서울특별시 성동구 송정18길 1-1 (송정동) 3층,37.553123700000000,127.06799900000000,N,N,N,N,N,N,N,N,N,N,
