data1,data2,data3,data4,data5,data6,data7,data8,data9,data12,data13,data14,data15,data16,data17,data18,data19,__typename
2023-06-29,55,207,1174752,33234,1211226,41148,182,0.4,0.5,0.3,0.2,0.3,50299,0.3,17065,0.3,perfoStatsDateDTO
2023-06-30,79,284,6813522,82136,969031,30252,234,0.6,0.7,0.5,0.9,0.7,128259,0.7,46123,0.7,perfoStatsDateDTO
2023-07-01,138,644,11135366,143056,3158554,50051,364,0.9,1.2,1.,1.6,1.2,213318,1.2,70262,1.1,perfoStatsDateDTO
2023-07-02,39,466,9386683,103347,8616070,138111,273,0.7,0.3,0.8,1.3,0.9,158159,0.9,54812,0.8,perfoStatsDateDTO
2023-07-03,6,65,41604,3313,5907720,93247,41,0.1,0.1,0.1,0.,0.,3962,0.,649,0.,perfoStatsDateDTO
2023-07-04,34,139,1018129,21910,69868,7565,116,0.3,0.3,0.2,0.1,0.2,32519,0.2,10609,0.2,perfoStatsDateDTO
2023-07-05,40,184,1070105,24967,1113359,18882,147,0.4,0.3,0.3,0.1,0.2,37773,0.2,12806,0.2,perfoStatsDateDTO
2023-07-06,43,212,973443,29002,1788237,35711,175,0.4,0.4,0.3,0.1,0.3,42061,0.2,13059,0.2,perfoStatsDateDTO
2023-07-07,74,279,1437304,42749,1091159,32240,227,0.6,0.6,0.5,0.2,0.4,61182,0.3,18433,0.3,perfoStatsDateDTO
2023-07-08,125,682,11995343,163773,1905240,49098,373,0.9,1.1,1.1,1.7,1.4,250242,1.4,86469,1.3,perfoStatsDateDTO
2023-07-09,46,487,5706895,87572,11056976,161640,286,0.7,0.4,0.8,0.8,0.8,127694,0.7,40122,0.6,perfoStatsDateDTO
2023-07-10,16,84,73661,5043,3762211,72738,55,0.1,0.1,0.1,0.,0.,6196,0.,1153,0.,perfoStatsDateDTO
2023-07-11,22,138,642595,17978,51934,6952,113,0.3,0.2,0.2,0.1,0.2,27552,0.2,9574,0.1,perfoStatsDateDTO
2023-07-12,35,199,1178212,26910,860429,22345,156,0.4,0.3,0.3,0.2,0.2,40938,0.2,14028,0.2,perfoStatsDateDTO
2023-07-13,34,217,823891,28837,1615212,33554,177,0.4,0.3,0.4,0.1,0.3,42483,0.2,13646,0.2,perfoStatsDateDTO
2023-07-14,73,281,1760942,41570,1067106,32433,225,0.6,0.6,0.5,0.2,0.4,66993,0.4,25423,0.4,perfoStatsDateDTO
2023-07-15,157,742,9446167,151373,8172506,97840,398,1.,1.4,1.2,1.3,1.3,271140,1.5,119767,1.8,perfoStatsDateDTO
2023-07-16,28,498,4378601,74822,14863378,185400,278,0.7,0.2,0.8,0.6,0.6,118720,0.7,43898,0.7,perfoStatsDateDTO
2023-07-17,9,78,57991,5440,10761480,127707,50,0.1,0.1,0.1,0.,0.,6628,0.,1188,0.,perfoStatsDateDTO
2023-07-18,25,149,629722,19869,83880,7883,117,0.3,0.2,0.2,0.1,0.2,30128,0.2,10259,0.2,perfoStatsDateDTO
2023-07-19,39,207,1030754,25555,1044956,23627,160,0.4,0.3,0.3,0.1,0.2,42188,0.2,16633,0.2,perfoStatsDateDTO
2023-07-20,47,241,995575,32223,1702730,36739,197,0.5,0.4,0.4,0.1,0.3,49931,0.3,17708,0.3,perfoStatsDateDTO
2023-07-21,80,306,4491279,57563,1436084,40060,240,0.6,0.7,0.5,0.6,0.5,83046,0.5,25483,0.4,perfoStatsDateDTO
2023-07-22,151,776,14265526,175656,2018033,48097,413,1.,1.3,1.3,2.,1.5,276292,1.5,100636,1.5,perfoStatsDateDTO
2023-07-23,41,545,8212143,104036,9991638,154477,303,0.7,0.4,0.9,1.1,0.9,176510,1.,72474,1.1,perfoStatsDateDTO
2023-07-24,11,90,165731,4946,4037965,79825,55,0.1,0.1,0.1,0.,0.,6849,0.,1903,0.,perfoStatsDateDTO
2023-07-25,35,208,1095787,27483,101098,8571,147,0.4,0.3,0.3,0.2,0.2,42680,0.2,15197,0.2,perfoStatsDateDTO
2023-07-26,67,313,1902591,45883,1309105,31793,221,0.5,0.6,0.5,0.3,0.4,74990,0.4,29107,0.4,perfoStatsDateDTO
2023-07-27,56,326,1747306,43591,2158889,50024,232,0.6,0.5,0.5,0.2,0.4,70473,0.4,26882,0.4,perfoStatsDateDTO
2023-07-28,75,408,2393129,56080,1603863,44982,288,0.7,0.6,0.7,0.3,0.5,91964,0.5,35884,0.5,perfoStatsDateDTO
2023-07-29,146,798,12139036,168831,4083576,64376,437,1.1,1.3,1.3,1.7,1.5,290551,1.6,121720,1.8,perfoStatsDateDTO
2023-07-30,34,576,6090534,94424,12127622,168185,312,0.8,0.3,0.9,0.8,0.8,148744,0.8,54320,0.8,perfoStatsDateDTO
2023-07-31,9,128,214773,9926,5867635,94900,69,0.2,0.1,0.2,0.,0.1,13923,0.1,3997,0.1,perfoStatsDateDTO
2023-08-01,27,271,1969997,42326,151665,11100,162,0.4,0.2,0.4,0.3,0.4,69144,0.4,26818,0.4,perfoStatsDateDTO
2023-08-02,37,322,2137499,49020,1262329,32642,200,0.5,0.3,0.5,0.3,0.4,77427,0.4,28407,0.4,perfoStatsDateDTO
2023-08-03,39,364,1795470,45397,1677012,42974,235,0.6,0.3,0.6,0.3,0.4,73408,0.4,28011,0.4,perfoStatsDateDTO
2023-08-04,63,425,7902861,92847,1282520,36762,278,0.7,0.5,0.7,1.1,0.8,146388,0.8,53541,0.8,perfoStatsDateDTO
2023-08-05,100,738,14311037,177302,4564678,68599,379,0.9,0.9,1.2,2.,1.5,288416,1.6,111114,1.7,perfoStatsDateDTO
2023-08-06,24,558,7194025,97305,11901010,154012,293,0.7,0.2,0.9,1.,0.8,152198,0.8,54893,0.8,perfoStatsDateDTO
2023-08-07,13,106,71513,11052,6764768,100553,61,0.2,0.1,0.2,0.,0.1,13458,0.1,2406,0.,perfoStatsDateDTO
2023-08-08,28,228,1026857,28129,66633,12930,153,0.4,0.2,0.4,0.1,0.2,44106,0.2,15977,0.2,perfoStatsDateDTO
2023-08-09,24,266,1303938,30843,1130935,26607,173,0.4,0.2,0.4,0.2,0.3,52902,0.3,22059,0.3,perfoStatsDateDTO
2023-08-10,44,293,1062659,26020,1466383,31279,210,0.5,0.4,0.5,0.1,0.2,48479,0.3,22459,0.3,perfoStatsDateDTO
2023-08-11,53,359,2007458,45474,1398838,36099,249,0.6,0.5,0.6,0.3,0.4,78162,0.4,32688,0.5,perfoStatsDateDTO
2023-08-12,109,719,11248225,145376,3587350,58880,371,0.9,0.9,1.2,1.6,1.3,227868,1.3,82492,1.2,perfoStatsDateDTO
2023-08-13,35,560,4448092,80200,12406475,168320,300,0.7,0.3,0.9,0.6,0.7,123691,0.7,43491,0.7,perfoStatsDateDTO
2023-08-14,19,163,246529,16899,10526291,126837,88,0.2,0.2,0.3,0.,0.1,22841,0.1,5942,0.1,perfoStatsDateDTO
2023-08-15,43,476,4471375,80228,4531718,65526,242,0.6,0.4,0.8,0.6,0.7,118228,0.6,38000,0.6,perfoStatsDateDTO
2023-08-16,27,226,1155972,24693,286700,16301,159,0.4,0.2,0.4,0.2,0.2,40288,0.2,15595,0.2,perfoStatsDateDTO
2023-08-17,40,277,1265876,31227,1274306,33574,206,0.5,0.3,0.4,0.2,0.3,51180,0.3,19953,0.3,perfoStatsDateDTO
2023-08-18,71,364,2212243,44546,949293,28048,266,0.7,0.6,0.6,0.3,0.4,72369,0.4,27823,0.4,perfoStatsDateDTO
2023-08-19,130,771,12942496,174181,1640267,44971,411,1.,1.1,1.2,1.8,1.5,281497,1.5,107316,1.6,perfoStatsDateDTO
2023-08-20,42,554,8428170,109349,14109711,186167,306,0.8,0.4,0.9,1.2,0.9,198865,1.1,89516,1.3,perfoStatsDateDTO
2023-08-21,10,84,235247,7095,4677188,86218,49,0.1,0.1,0.1,0.,0.1,9656,0.1,2561,0.,perfoStatsDateDTO
