data1,data2,data3,data4,__typename,_period_start,_period_end
5144,44.4,41027,65.1,PerfoStatsTotalData,20230706,20240102
835,7.2,19630,31.2,PerfoStatsTotalData,20230706,20240102
368,3.2,14024,22.3,PerfoStatsTotalData,20230706,20240102
1991,17.2,2288,3.6,PerfoStatsTotalData,20230706,20240102
357,3.1,562,0.9,PerfoStatsTotalData,20230706,20240102
1205,10.4,2184,3.5,PerfoStatsTotalData,20230706,20240102
249,2.1,558,0.9,PerfoStatsTotalData,20230706,20240102
16,0.1,22,0,PerfoStatsTotalData,20230706,20240102
44,0.4,1437,2.3,PerfoStatsTotalData,20230706,20240102
79,0.7,322,0.5,PerfoStatsTotalData,20230706,20240102
1954,16.9,6197,9.8,PerfoStatsTotalData,20230706,20240102
207,1.8,753,1.2,PerfoStatsTotalData,20230706,20240102
421,3.6,2049,3.3,PerfoStatsTotalData,20230706,20240102
743,6.4,872,1.4,PerfoStatsTotalData,20230706,20240102
108,0.9,130,0.2,PerfoStatsTotalData,20230706,20240102
210,1.8,307,0.5,PerfoStatsTotalData,20230706,20240102
92,0.8,152,0.2,PerfoStatsTotalData,20230706,20240102
8,0.1,12,0,PerfoStatsTotalData,20230706,20240102
105,0.9,1816,2.9,PerfoStatsTotalData,20230706,20240102
60,0.5,106,0.2,PerfoStatsTotalData,20230706,20240102
945,8.2,3059,4.9,PerfoStatsTotalData,20230706,20240102
106,0.9,1118,1.8,PerfoStatsTotalData,20230706,20240102
184,1.6,822,1.3,PerfoStatsTotalData,20230706,20240102
373,3.2,437,0.7,PerfoStatsTotalData,20230706,20240102
42,0.4,64,0.1,PerfoStatsTotalData,20230706,20240102
125,1.1,183,0.3,PerfoStatsTotalData,20230706,20240102
37,0.3,77,0.1,PerfoStatsTotalData,20230706,20240102
1,0.,1,0,PerfoStatsTotalData,20230706,20240102
42,0.4,309,0.5,PerfoStatsTotalData,20230706,20240102
35,0.3,48,0.1,PerfoStatsTotalData,20230706,20240102
289,2.5,492,0.8,PerfoStatsTotalData,20230706,20240102
39,0.3,92,0.1,PerfoStatsTotalData,20230706,20240102
42,0.4,122,0.2,PerfoStatsTotalData,20230706,20240102
115,1.,134,0.2,PerfoStatsTotalData,20230706,20240102
24,0.2,26,0,PerfoStatsTotalData,20230706,20240102
40,0.3,54,0.1,PerfoStatsTotalData,20230706,20240102
17,0.1,21,0,PerfoStatsTotalData,20230706,20240102
0,0,0,0,PerfoStatsTotalData,20230706,20240102
6,0.1,37,0.1,PerfoStatsTotalData,20230706,20240102
6,0.1,6,0,PerfoStatsTotalData,20230706,20240102
2344,20.2,8233,13.1,PerfoStatsTotalData,20230706,20240102
325,2.8,3422,5.4,PerfoStatsTotalData,20230706,20240102
408,3.5,2142,3.4,PerfoStatsTotalData,20230706,20240102
897,7.7,1062,1.7,PerfoStatsTotalData,20230706,20240102
113,1.,164,0.3,PerfoStatsTotalData,20230706,20240102
356,3.1,459,0.7,PerfoStatsTotalData,20230706,20240102
115,1.,162,0.3,PerfoStatsTotalData,20230706,20240102
5,0.,7,0,PerfoStatsTotalData,20230706,20240102
64,0.6,676,1.1,PerfoStatsTotalData,20230706,20240102
61,0.5,139,0.2,PerfoStatsTotalData,20230706,20240102
749,6.5,2929,4.6,PerfoStatsTotalData,20230706,20240102
93,0.8,745,1.2,PerfoStatsTotalData,20230706,20240102
162,1.4,776,1.2,PerfoStatsTotalData,20230706,20240102
220,1.9,261,0.4,PerfoStatsTotalData,20230706,20240102
71,0.6,127,0.2,PerfoStatsTotalData,20230706,20240102
101,0.9,124,0.2,PerfoStatsTotalData,20230706,20240102
34,0.3,59,0.1,PerfoStatsTotalData,20230706,20240102
1,0.,2,0,PerfoStatsTotalData,20230706,20240102
36,0.3,702,1.1,PerfoStatsTotalData,20230706,20240102
31,0.3,133,0.2,PerfoStatsTotalData,20230706,20240102
164,1.4,1071,1.7,PerfoStatsTotalData,20230706,20240102
22,0.2,554,0.9,PerfoStatsTotalData,20230706,20240102
28,0.2,339,0.5,PerfoStatsTotalData,20230706,20240102
58,0.5,85,0.1,PerfoStatsTotalData,20230706,20240102
4,0.,4,0,PerfoStatsTotalData,20230706,20240102
20,0.2,24,0,PerfoStatsTotalData,20230706,20240102
18,0.2,22,0,PerfoStatsTotalData,20230706,20240102
1,0.,1,0,PerfoStatsTotalData,20230706,20240102
6,0.1,29,0,PerfoStatsTotalData,20230706,20240102
7,0.1,13,0,PerfoStatsTotalData,20230706,20240102
11589,100.,63008,100,PerfoStatsTotalData,20230706,20240102
4261,48.,37168,66.6,PerfoStatsTotalData,20240103,20240701
646,7.3,18337,32.9,PerfoStatsTotalData,20240103,20240701
275,3.1,12771,22.9,PerfoStatsTotalData,20240103,20240701
1761,19.8,2041,3.7,PerfoStatsTotalData,20240103,20240701
271,3.1,492,0.9,PerfoStatsTotalData,20240103,20240701
1049,11.8,1889,3.4,PerfoStatsTotalData,20240103,20240701
146,1.6,334,0.6,PerfoStatsTotalData,20240103,20240701
19,0.2,26,0,PerfoStatsTotalData,20240103,20240701
46,0.5,1086,1.9,PerfoStatsTotalData,20240103,20240701
48,0.5,192,0.3,PerfoStatsTotalData,20240103,20240701
1393,15.7,5707,10.2,PerfoStatsTotalData,20240103,20240701
116,1.3,465,0.8,PerfoStatsTotalData,20240103,20240701
358,4.,2280,4.1,PerfoStatsTotalData,20240103,20240701
520,5.9,607,1.1,PerfoStatsTotalData,20240103,20240701
41,0.5,66,0.1,PerfoStatsTotalData,20240103,20240701
180,2.,297,0.5,PerfoStatsTotalData,20240103,20240701
32,0.4,61,0.1,PerfoStatsTotalData,20240103,20240701
12,0.1,13,0,PerfoStatsTotalData,20240103,20240701
114,1.3,1870,3.4,PerfoStatsTotalData,20240103,20240701
20,0.2,48,0.1,PerfoStatsTotalData,20240103,20240701
653,7.4,2467,4.4,PerfoStatsTotalData,20240103,20240701
55,0.6,970,1.7,PerfoStatsTotalData,20240103,20240701
170,1.9,811,1.5,PerfoStatsTotalData,20240103,20240701
246,2.8,288,0.5,PerfoStatsTotalData,20240103,20240701
25,0.3,44,0.1,PerfoStatsTotalData,20240103,20240701
81,0.9,114,0.2,PerfoStatsTotalData,20240103,20240701
13,0.1,32,0.1,PerfoStatsTotalData,20240103,20240701
1,0.,1,0,PerfoStatsTotalData,20240103,20240701
48,0.5,192,0.3,PerfoStatsTotalData,20240103,20240701
14,0.2,15,0,PerfoStatsTotalData,20240103,20240701
190,2.1,368,0.7,PerfoStatsTotalData,20240103,20240701
23,0.3,62,0.1,PerfoStatsTotalData,20240103,20240701
51,0.6,148,0.3,PerfoStatsTotalData,20240103,20240701
55,0.6,59,0.1,PerfoStatsTotalData,20240103,20240701
11,0.1,11,0,PerfoStatsTotalData,20240103,20240701
22,0.2,31,0.1,PerfoStatsTotalData,20240103,20240701
9,0.1,11,0,PerfoStatsTotalData,20240103,20240701
0,0,0,0,PerfoStatsTotalData,20240103,20240701
12,0.1,30,0.1,PerfoStatsTotalData,20240103,20240701
7,0.1,16,0,PerfoStatsTotalData,20240103,20240701
1748,19.7,6850,12.3,PerfoStatsTotalData,20240103,20240701
166,1.9,2535,4.5,PerfoStatsTotalData,20240103,20240701
359,4.,2152,3.9,PerfoStatsTotalData,20240103,20240701
713,8.,803,1.4,PerfoStatsTotalData,20240103,20240701
71,0.8,103,0.2,PerfoStatsTotalData,20240103,20240701
227,2.6,296,0.5,PerfoStatsTotalData,20240103,20240701
60,0.7,100,0.2,PerfoStatsTotalData,20240103,20240701
8,0.1,8,0,PerfoStatsTotalData,20240103,20240701
113,1.3,809,1.5,PerfoStatsTotalData,20240103,20240701
31,0.3,44,0.1,PerfoStatsTotalData,20240103,20240701
540,6.1,2402,4.3,PerfoStatsTotalData,20240103,20240701
37,0.4,418,0.7,PerfoStatsTotalData,20240103,20240701
131,1.5,768,1.4,PerfoStatsTotalData,20240103,20240701
145,1.6,168,0.3,PerfoStatsTotalData,20240103,20240701
68,0.8,103,0.2,PerfoStatsTotalData,20240103,20240701
85,1.,114,0.2,PerfoStatsTotalData,20240103,20240701
9,0.1,18,0,PerfoStatsTotalData,20240103,20240701
1,0.,1,0,PerfoStatsTotalData,20240103,20240701
42,0.5,737,1.3,PerfoStatsTotalData,20240103,20240701
22,0.2,75,0.1,PerfoStatsTotalData,20240103,20240701
92,1.,816,1.5,PerfoStatsTotalData,20240103,20240701
8,0.1,292,0.5,PerfoStatsTotalData,20240103,20240701
28,0.3,304,0.5,PerfoStatsTotalData,20240103,20240701
29,0.3,174,0.3,PerfoStatsTotalData,20240103,20240701
4,0.,4,0,PerfoStatsTotalData,20240103,20240701
12,0.1,14,0,PerfoStatsTotalData,20240103,20240701
1,0.,1,0,PerfoStatsTotalData,20240103,20240701
0,0,0,0,PerfoStatsTotalData,20240103,20240701
3,0.,12,0,PerfoStatsTotalData,20240103,20240701
7,0.1,15,0,PerfoStatsTotalData,20240103,20240701
8877,100.,55778,100,PerfoStatsTotalData,20240103,20240701
5470,44.3,42647,64.7,PerfoStatsTotalData,20240702,20241229
822,6.7,21092,32,PerfoStatsTotalData,20240702,20241229
333,2.7,14165,21.5,PerfoStatsTotalData,20240702,20241229
2129,17.2,2510,3.8,PerfoStatsTotalData,20240702,20241229
391,3.2,650,1,PerfoStatsTotalData,20240702,20241229
1348,10.9,2454,3.7,PerfoStatsTotalData,20240702,20241229
262,2.1,567,0.9,PerfoStatsTotalData,20240702,20241229
10,0.1,14,0,PerfoStatsTotalData,20240702,20241229
65,0.5,942,1.4,PerfoStatsTotalData,20240702,20241229
110,0.9,253,0.4,PerfoStatsTotalData,20240702,20241229
2166,17.5,6996,10.6,PerfoStatsTotalData,20240702,20241229
259,2.1,779,1.2,PerfoStatsTotalData,20240702,20241229
418,3.4,2453,3.7,PerfoStatsTotalData,20240702,20241229
807,6.5,1011,1.5,PerfoStatsTotalData,20240702,20241229
119,1.,154,0.2,PerfoStatsTotalData,20240702,20241229
288,2.3,475,0.7,PerfoStatsTotalData,20240702,20241229
88,0.7,138,0.2,PerfoStatsTotalData,20240702,20241229
4,0.,4,0,PerfoStatsTotalData,20240702,20241229
123,1.,1882,2.9,PerfoStatsTotalData,20240702,20241229
60,0.5,100,0.2,PerfoStatsTotalData,20240702,20241229
949,7.7,3383,5.1,PerfoStatsTotalData,20240702,20241229
129,1.,1477,2.2,PerfoStatsTotalData,20240702,20241229
