data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data26,stdgCpsggCd,__typename,_period_start,_period_end
서울,1616,42,2046,40.7,591831,5078,44.6,39234,65.5,451045628,67,6599587,60.2,5286,45.1,10795518,62.9,4195931,67.7,0,,PerfoStatsAreaDTO,20230625,20231222
경상도,706,18.3,966,19.2,879922,2323,20.4,7768,13,100541170,14.9,1709277,15.6,2369,20.2,2564686,14.9,855409,13.8,5,,PerfoStatsAreaDTO,20230625,20231222
부산,221,5.7,296,5.9,425038,692,6.1,2657,4.4,49581109,7.4,610312,5.6,710,6.1,968686,5.6,358374,5.8,5_1,26,PerfoStatsAreaDTO,20230625,20231222
대구,154,4,211,4.2,184220,723,6.4,2685,4.5,34560921,5.1,567756,5.2,735,6.3,884262,5.2,316506,5.1,5_1,27,PerfoStatsAreaDTO,20230625,20231222
경남,151,3.9,211,4.2,117638,384,3.4,1074,1.8,7278533,1.1,207087,1.9,392,3.3,287979,1.7,80892,1.3,5_1,48,PerfoStatsAreaDTO,20230625,20231222
경북,133,3.5,181,3.6,103861,351,3.1,729,1.2,5213906,0.8,209754,1.9,355,3,272725,1.6,62971,1,5_1,47,PerfoStatsAreaDTO,20230625,20231222
울산,47,1.2,67,1.3,49165,173,1.5,623,1,3906700,0.6,114368,1,177,1.5,151034,0.9,36666,0.6,5_1,31,PerfoStatsAreaDTO,20230625,20231222
경기/인천,640,16.6,825,16.4,926046,1891,16.6,5757,9.6,68373061,10.2,1436012,13.1,1931,16.5,2058554,12,622542,10,2,,PerfoStatsAreaDTO,20230625,20231222
경기,504,13.1,647,12.9,743380,1512,13.3,4799,8,44448042,6.6,1078252,9.8,1541,13.1,1487423,8.7,409171,6.6,2_1,41,PerfoStatsAreaDTO,20230625,20231222
인천,136,3.5,178,3.5,182666,379,3.3,958,1.6,23925019,3.6,357760,3.3,390,3.3,571131,3.3,213371,3.4,2_1,28,PerfoStatsAreaDTO,20230625,20231222
전라도,301,7.8,415,8.3,307656,725,6.4,2765,4.6,23243233,3.5,504857,4.6,748,6.4,729665,4.3,224808,3.6,6,,PerfoStatsAreaDTO,20230625,20231222
전북,122,3.2,153,3,103584,255,2.2,859,1.4,9950026,1.5,182542,1.7,266,2.3,252295,1.5,69753,1.1,6_1,52,PerfoStatsAreaDTO,20230625,20231222
광주,83,2.2,128,2.5,88624,314,2.8,1168,2,7917547,1.2,201718,1.8,321,2.7,280575,1.6,78857,1.3,6_1,29,PerfoStatsAreaDTO,20230625,20231222
전남,96,2.5,134,2.7,115448,156,1.4,738,1.2,5375660,0.8,120597,1.1,161,1.4,196795,1.1,76198,1.2,6_1,46,PerfoStatsAreaDTO,20230625,20231222
충청도,332,8.6,429,8.5,380326,925,8.1,2848,4.8,20734438,3.1,472952,4.3,946,8.1,677379,3.9,204427,3.3,3,,PerfoStatsAreaDTO,20230625,20231222
대전,109,2.8,135,2.7,253180,402,3.5,1504,2.5,8045577,1.2,159739,1.5,413,3.5,228179,1.3,68440,1.1,3_1,30,PerfoStatsAreaDTO,20230625,20231222
충남,114,3,155,3.1,80410,281,2.5,538,0.9,6109452,0.9,160777,1.5,281,2.4,234587,1.4,73810,1.2,3_1,44,PerfoStatsAreaDTO,20230625,20231222
충북,89,2.3,102,2,38428,137,1.2,635,1.1,5001856,0.7,94438,0.9,146,1.2,132952,0.8,38514,0.6,3_1,43,PerfoStatsAreaDTO,20230625,20231222
