data1,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,__typename,_period_start,_period_end
대중음악,1993,3248,356203027,49.6,3139226,27.2,17.2,5.2,321690013,3086963,2003,16.9,5220643,28.7,2081417,31.2,perfoStatsCateDTO,20230629,20231226
뮤지컬,1605,19757,222560821,31,4017489,34.8,13.9,31.9,230458075,4055391,1692,14.3,6731310,37,2713821,40.7,perfoStatsCateDTO,20230629,20231226
서양음악(클래식),4414,5122,61370042,8.6,1785167,15.5,38.1,8.3,41062174,1536143,4434,37.4,2483833,13.7,698666,10.5,perfoStatsCateDTO,20230629,20231226
서커스/마술,299,4847,29278601,4.1,416076,3.6,2.6,7.8,6498420,200353,339,2.9,638860,3.5,222784,3.3,perfoStatsCateDTO,20230629,20231226
연극,1649,25998,28590456,4,1344715,11.7,14.2,42,28006945,1699591,1744,14.7,1966508,10.8,621793,9.3,perfoStatsCateDTO,20230629,20231226
무용(서양/한국무용),576,1063,10146629,1.4,382441,3.3,5,1.7,10164572,379519,579,4.9,545620,3,163179,2.4,perfoStatsCateDTO,20230629,20231226
대중무용,32,45,4126032,0.6,41074,0.4,0.3,0.1,2721208,34434,32,0.3,77253,0.4,36179,0.5,perfoStatsCateDTO,20230629,20231226
복합,283,768,2713710,0.4,173368,1.5,2.4,1.2,1582902,106245,287,2.4,228476,1.3,55108,0.8,perfoStatsCateDTO,20230629,20231226
한국음악(국악),731,1088,2506072,0.3,234654,2,6.3,1.8,3018289,256405,745,6.3,302899,1.7,68245,1,perfoStatsCateDTO,20230629,20231226
합계,11582,61936,717495390,100,11534210,100,100,100,645202599,11355044,11855,100,18195402,100,6661192,100,perfoStatsCateDTO,20230629,20231226
대중음악,1686,2824,330227318,48.8,2728244,26.7,19.2,5,193582503,1829496,1695,18.6,4424035,27,1695791,27.6,perfoStatsCateDTO,20231227,20240624
뮤지컬,1362,19618,230618887,34.1,3875230,37.9,15.5,34.7,235080061,3974548,1474,16.2,6757172,41.2,2881942,46.9,perfoStatsCateDTO,20231227,20240624
서양음악(클래식),3433,4125,48492569,7.2,1448919,14.2,39,7.3,35918177,1251617,3441,37.8,1972781,12,523862,8.5,perfoStatsCateDTO,20231227,20240624
연극,1013,23258,33869792,5,1304348,12.7,11.5,41.2,33779781,1347594,1135,12.5,1988382,12.1,684034,11.1,perfoStatsCateDTO,20231227,20240624
서커스/마술,371,4834,22724848,3.4,419151,4.1,4.2,8.6,6851264,228314,415,4.6,586975,3.6,167824,2.7,perfoStatsCateDTO,20231227,20240624
무용(서양/한국무용),259,543,7374796,1.1,200574,2,2.9,1,8237805,207684,263,2.9,293855,1.8,93281,1.5,perfoStatsCateDTO,20231227,20240624
한국음악(국악),479,809,2077546,0.3,166701,1.6,5.4,1.4,2201981,173747,484,5.3,220537,1.3,53836,0.9,perfoStatsCateDTO,20231227,20240624
대중무용,42,51,864876,0.1,19818,0.2,0.5,0.1,609670,13021,42,0.5,32034,0.2,12216,0.2,perfoStatsCateDTO,20231227,20240624
복합,154,410,770286,0.1,73573,0.7,1.8,0.7,595484,58337,157,1.7,106949,0.7,33376,0.5,perfoStatsCateDTO,20231227,20240624
합계,8799,56472,677020917,100,10236558,100,100,100,516856726,9084358,9106,100,16382720,100,6146162,100,perfoStatsCateDTO,20231227,20240624
대중음악,2228,3627,428905244,55.8,3613178,30.5,18.2,5.7,333736363,2957790,2237,17.9,6244223,32.8,2631045,36.6,perfoStatsCateDTO,20240625,20241222
뮤지컬,1486,20039,227982329,29.7,3850057,32.5,12.2,31.3,212153089,3821795,1577,12.6,6580521,34.6,2730464,38,perfoStatsCateDTO,20240625,20241222
서양음악(클래식),4599,5579,50017439,6.5,1786621,15.1,37.6,8.7,58469059,1749728,4609,36.9,2400913,12.6,614292,8.6,perfoStatsCateDTO,20240625,20241222
연극,1765,27182,38436295,5,1499064,12.7,14.4,42.4,26577243,1282227,1870,15,2285093,12,786029,10.9,perfoStatsCateDTO,20240625,20241222
무용(서양/한국무용),571,1029,10005469,1.3,363151,3.1,4.7,1.6,8082328,345155,575,4.6,508188,2.7,145037,2,perfoStatsCateDTO,20240625,20241222
서커스/마술,390,4608,8464624,1.1,275481,2.3,3.2,7.2,26167053,375154,435,3.5,382804,2,107323,1.5,perfoStatsCateDTO,20240625,20241222
한국음악(국악),875,1330,2814699,0.4,284391,2.4,7.2,2.1,2381100,233454,893,7.1,371460,2,87069,1.2,perfoStatsCateDTO,20240625,20241222
복합,285,625,1979880,0.3,151129,1.3,2.3,1,2693907,170733,292,2.3,229045,1.2,77916,1.1,perfoStatsCateDTO,20240625,20241222
대중무용,17,20,115220,0,5188,0,0.1,0,2804495,30316,17,0.1,6510,0,1322,0,perfoStatsCateDTO,20240625,20241222
합계,12216,64039,768721198,100,11828260,100,100,100,673064636,10966352,12505,100,19008757,100,7180497,100,perfoStatsCateDTO,20240625,20241222
대중음악,1985,3473,425730557,55.2,3314545,30,20.5,5.5,348065792,2869941,2000,19.9,5609433,31.5,2294888,34,perfoStatsCateDTO,20241223,20250621
뮤지컬,1530,22063,244449866,31.7,4097177,37,15.8,34.6,239146863,4038358,1663,16.5,6948336,39,2851159,42.3,perfoStatsCateDTO,20241223,20250621
연극,1193,26539,38653381,5,1430187,12.9,12.3,41.7,35420520,1355027,1329,13.2,2174106,12.2,743919,11,perfoStatsCateDTO,20241223,20250621
서양음악(클래식),3524,4646,38465286,5,1377438,12.4,36.3,7.3,51406323,1481427,3549,35.2,1863757,10.5,486319,7.2,perfoStatsCateDTO,20241223,20250621
무용(서양/한국무용),313,690,12809008,1.7,283424,2.6,3.2,1.1,9553560,239255,318,3.2,455305,2.6,171881,2.5,perfoStatsCateDTO,20241223,20250621
서커스/마술,447,5124,7278315,0.9,309722,2.8,4.6,8,25676591,456407,494,4.9,424459,2.4,114737,1.7,perfoStatsCateDTO,20241223,20250621
한국음악(국악),538,875,2430924,0.3,182983,1.7,5.5,1.4,2198026,166853,542,5.4,247328,1.4,64345,1,perfoStatsCateDTO,20241223,20250621
복합,135,250,1021929,0.1,59526,0.5,1.4,0.4,784808,73904,136,1.4,76994,0.4,17468,0.3,perfoStatsCateDTO,20241223,20250621
대중무용,39,45,267426,0,11768,0.1,0.4,0.1,2091563,28340,39,0.4,14015,0.1,2247,0,perfoStatsCateDTO,20241223,20250621
합계,9704,63705,771106692,100,11066770,100,100,100,714344046,10709512,10070,100,17813733,100,6746963,100,perfoStatsCateDTO,20241223,20250621
대중음악,2523,4056,516084862,57.2,4053331,31.1,19.2,5.9,417664365,3517689,2552,18.8,6656769,32.5,2603438,35.1,perfoStatsCateDTO,20250622,20251219
뮤지컬,1698,22507,245123747,27.2,4251841,32.6,12.9,32.7,224156784,3797685,1841,13.5,6993771,34.2,2741930,37,perfoStatsCateDTO,20250622,20251219
서양음악(클래식),4687,5846,43692069,4.8,1893227,14.5,35.6,8.5,48774025,1756173,4727,34.8,2519475,12.3,626248,8.4,perfoStatsCateDTO,20250622,20251219
서커스/마술,359,4820,39409483,4.4,499297,3.8,2.7,7,7947003,263756,409,3,745664,3.6,246367,3.3,perfoStatsCateDTO,20250622,20251219
