data1,data2,data3,data4,data5,data6,data7,data8,data9,data11,data12,totalCnt,__typename,_date
1,"오페라 하이라이트 페스타, 카르멘",서양음악(클래식),2023-06-25,2023-06-25,영등포아트홀,1,388,3852,PF216127,FC000059,1,PerfoByDTO,20230625
1,조상님께 바치는 댄스 [제주],무용(서양/한국무용),2023-07-01,2023-07-02,김정문화회관,1,67,575,PF220723,FC000915,1,PerfoByDTO,20230701
1,조상님께 바치는 댄스 [제주],무용(서양/한국무용),2023-07-01,2023-07-02,김정문화회관,1,105,960,PF220723,FC000915,1,PerfoByDTO,20230702
1,콜비츠와의 대화 [서울],한국음악(국악),2023-07-05,2023-07-06,양천문화회관 대극장,1,349,850,PF220650,FC000091,1,PerfoByDTO,20230705
1,콜비츠와의 대화 [서울],한국음악(국악),2023-07-05,2023-07-06,양천문화회관 대극장,1,260,785,PF220650,FC000091,1,PerfoByDTO,20230706
1,파리넬리 [익산],뮤지컬,2023-07-07,2023-07-08,익산예술의전당 대공연장,1,441,14129,PF219472,FC001356,3,PerfoByDTO,20230707
2,서교동에서 죽다 [평택],연극,2023-07-07,2023-07-08,평택시남부문예회관 대공연장,1,296,4155,PF220095,FC000934,3,PerfoByDTO,20230707
3,12인의 성난사람들 [부산],연극,2023-07-07,2023-07-08,부산문화회관 사랑채극장 (소극장) ,1,249,2889,PF217968,FC000167,3,PerfoByDTO,20230707
1,파리넬리 [익산],뮤지컬,2023-07-07,2023-07-08,익산예술의전당 대공연장,1,586,16934,PF219472,FC001356,4,PerfoByDTO,20230708
2,벗 [광주],연극,2023-07-08,2023-07-08,광주북구문화센터 (양산도서관) 공연장,2,255,1355,PF219954,FC002769,4,PerfoByDTO,20230708
3,서교동에서 죽다 [평택],연극,2023-07-07,2023-07-08,평택시남부문예회관 대공연장,1,249,3105,PF220095,FC000934,4,PerfoByDTO,20230708
4,12인의 성난사람들 [부산],연극,2023-07-07,2023-07-08,부산문화회관 사랑채극장 (소극장) ,1,248,3311,PF217968,FC000167,4,PerfoByDTO,20230708
1,"청소년을 위한 공연예술축제, 지수가 누구야 [영덕]",연극,2023-07-10,2023-07-10,영덕 무형문화재 전수교육관 소극장,2,125,660,PF221040,FC003155,1,PerfoByDTO,20230710
1,"청소년을 위한 공연예술축제, Do It Now! [영덕]",연극,2023-07-12,2023-07-12,영덕 무형문화재 전수교육관 소극장,2,112,570,PF221037,FC003155,1,PerfoByDTO,20230712
