genreCode,genreCodeNm,prcFreeAdslNocs,prcK30LwrAdslNocs,prcK30K50AdslNocs,prcK50K70AdslNocs,prcK70K100AdslNocs,prcK100K150AdslNocs,prcK150UpAdslNocs,tcktngSumQty,totNtssNmrsSm,totNtssAmountSm,__typename,_period_start,_period_end
AAAA,연극,479903,1029106,272283,160386,59320,187,17,2001202,1365233,29265172,PerfoStatsPriceStats,20230706,20240102
GGGA,뮤지컬,1346764,1131113,1773406,557850,499644,773252,820427,6902456,4105430,229395638,PerfoStatsPriceStats,20230706,20240102
CCCA,서양음악(클래식),793613,653173,241485,186120,192169,283493,127885,2477938,1777865,61744994,PerfoStatsPriceStats,20230706,20240102
CCCC,한국음악(국악),125198,142444,21821,6397,2554,2899,127,301440,233395,2485268,PerfoStatsPriceStats,20230706,20240102
CCCD,대중음악,608060,245595,119545,153393,527323,1889272,1904224,5447412,3267016,371539392,PerfoStatsPriceStats,20230706,20240102
BBBC,무용(서양/한국무용),129010,197440,85415,50268,52362,57366,3657,575518,399138,11611211,PerfoStatsPriceStats,20230706,20240102
BBBE,대중무용,15378,3497,2037,1818,4532,59050,21,86333,44325,4574065,PerfoStatsPriceStats,20230706,20240102
EEEB,서커스/마술,122112,252560,28832,31124,86894,55477,140078,717077,473202,33446434,PerfoStatsPriceStats,20230706,20240102
EEEA,복합,96093,70861,36915,14655,4787,2590,1,225902,170929,2701680,PerfoStatsPriceStats,20230706,20240102
AAAA,연극,443791,850831,415977,206814,65715,12842,268,1996238,1307817,34066512,PerfoStatsPriceStats,20240103,20240701
GGGA,뮤지컬,1220952,957375,1569745,545193,520350,1036722,761699,6612036,3812041,224478895,PerfoStatsPriceStats,20240103,20240701
CCCA,서양음악(클래식),609691,567107,239838,167799,137630,147903,104935,1974903,1452029,47378998,PerfoStatsPriceStats,20240103,20240701
CCCC,한국음악(국악),83475,111721,19511,6758,1900,2785,21,226171,169881,2098108,PerfoStatsPriceStats,20240103,20240701
CCCD,대중음악,457614,128290,76909,123852,281747,1669352,1389599,4127363,2552305,306433774,PerfoStatsPriceStats,20240103,20240701
BBBC,무용(서양/한국무용),59396,82386,46008,27129,27102,19900,4558,266479,186039,6006181,PerfoStatsPriceStats,20240103,20240701
BBBE,대중무용,6713,5226,5301,1339,819,3031,0,22429,16084,410273,PerfoStatsPriceStats,20240103,20240701
EEEB,서커스/마술,64759,270816,12095,20023,62578,37687,50435,518393,369948,18708664,PerfoStatsPriceStats,20240103,20240701
EEEA,복합,45713,40401,5407,6031,4571,3580,1,105704,72657,760068,PerfoStatsPriceStats,20240103,20240701
AAAA,연극,525708,1019502,426154,187139,138242,29190,735,2326670,1530708,39416110,PerfoStatsPriceStats,20240702,20241229
GGGA,뮤지컬,1212485,989430,1740391,608098,516112,960769,780780,6808065,3983910,237380728,PerfoStatsPriceStats,20240702,20241229
CCCA,서양음악(클래식),857760,699592,276995,205261,186844,139899,84456,2450807,1819983,52874663,PerfoStatsPriceStats,20240702,20241229
CCCC,한국음악(국악),155947,174818,20095,6915,1576,1371,2942,363664,280024,2867491,PerfoStatsPriceStats,20240702,20241229
CCCD,대중음악,761656,289251,120859,115130,438435,2224657,2584487,6534475,3784612,450099392,PerfoStatsPriceStats,20240702,20241229
BBBC,무용(서양/한국무용),129142,208111,80434,49019,62396,78084,6183,613369,413058,14217459,PerfoStatsPriceStats,20240702,20241229
BBBE,대중무용,1319,2642,80,2648,0,0,0,6689,5356,115762,PerfoStatsPriceStats,20240702,20241229
EEEB,서커스/마술,38570,257212,24452,33041,41917,31498,406,427096,305471,9506410,PerfoStatsPriceStats,20240702,20241229
EEEA,복합,150012,44438,11122,8319,7923,11607,26,233447,154347,2071624,PerfoStatsPriceStats,20240702,20241229
AAAA,연극,494301,846487,413706,243100,110289,7729,57,2115669,1389611,36969633,PerfoStatsPriceStats,20241230,20250628
GGGA,뮤지컬,1149140,1009002,1833224,540434,454644,851191,949337,6786972,3985228,236976777,PerfoStatsPriceStats,20241230,20250628
CCCA,서양음악(클래식),602693,559453,222063,127553,141962,125660,35505,1814889,1345090,36177910,PerfoStatsPriceStats,20241230,20250628
CCCC,한국음악(국악),84609,127442,25044,9308,1853,699,581,249536,183471,2262030,PerfoStatsPriceStats,20241230,20250628
CCCD,대중음악,444686,142532,67428,105629,283338,2002389,2349190,5395192,3176779,409310753,PerfoStatsPriceStats,20241230,20250628
BBBC,무용(서양/한국무용),78161,96609,54386,35725,26684,66554,11494,369613,244646,9554961,PerfoStatsPriceStats,20241230,20250628
BBBE,대중무용,2207,5737,3532,1979,86,0,0,13541,11358,265251,PerfoStatsPriceStats,20241230,20250628
EEEB,서커스/마술,31429,297564,18456,9036,26968,5070,264,388787,285270,6396907,PerfoStatsPriceStats,20241230,20250628
EEEA,복합,27323,29974,6161,1879,4519,3220,53,73129,56720,968144,PerfoStatsPriceStats,20241230,20250628
AAAA,연극,635630,963139,482694,212931,61568,50513,7714,2414189,1554448,39420355,PerfoStatsPriceStats,20250629,20251226
GGGA,뮤지컬,1167563,1282713,2078891,554418,531925,730743,865720,7211973,4391963,252759262,PerfoStatsPriceStats,20250629,20251226
CCCA,서양음악(클래식),1036745,717607,282418,180890,167969,115953,76095,2577677,1934088,45620116,PerfoStatsPriceStats,20250629,20251226
CCCC,한국음악(국악),177419,184734,27209,7887,792,50,104,398195,302133,2492010,PerfoStatsPriceStats,20250629,20251226
CCCD,대중음악,806131,201292,141699,129292,320090,1936550,3462123,6997177,4257421,544308432,PerfoStatsPriceStats,20250629,20251226
BBBC,무용(서양/한국무용),156444,196265,107308,55310,67058,70991,13725,667101,448554,16267014,PerfoStatsPriceStats,20250629,20251226
BBBE,대중무용,15493,4085,846,1203,279,42103,12186,76195,33526,2970408,PerfoStatsPriceStats,20250629,20251226
EEEB,서커스/마술,142578,244201,17211,30354,103231,104691,166888,809154,538583,44038027,PerfoStatsPriceStats,20250629,20251226
EEEA,복합,79689,47219,5865,6486,6819,10696,2493,159267,120522,1884619,PerfoStatsPriceStats,20250629,20251226
AAAA,연극,556063,838051,655083,322632,174515,132396,214188,2892928,1765027,76546718,PerfoStatsPriceStats,20251227,20260625
GGGA,뮤지컬,1120952,1032408,1939069,605484,710798,823961,680413,6913085,4092745,228267174,PerfoStatsPriceStats,20251227,20260625
CCCA,서양음악(클래식),688634,592994,263185,167952,140493,106249,71449,2030956,1519258,41509803,PerfoStatsPriceStats,20251227,20260625
