video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,source_shard,match_status,correction_note,video_format
Pn7LR37QlUQ,[마리 퀴리] '또 다른 이름' 뮤직비디오,"[#마리퀴리] #옥주현 '또 다른 이름' 뮤직비디오 공개!📺

마리 스클로도프스카 퀴리-옥주현

""기적. 새로운 밝은 빛을 봤어""✨

#뮤지컬마리퀴리 #뮤지컬 #옥주현 #뮤직비디오 #뮤비 #또다른이름",UCQnMBdSbqtXAcaW0frD1rvg,콘텐츠제작사라이브,2020-09-10T23:30:02Z,175,2.92,False,132453.0,1582.0,114.0,https://www.youtube.com/watch?v=Pn7LR37QlUQ,13400,936,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,general
Xl9H0yXCMGU,"뮤지컬 '마리퀴리' 2020 프레스콜 '그댄 내게 별' - 김소향, 이봄소리 외","뮤지컬 '마리 퀴리'의 프레스콜이 오늘(6일) 홍익대 대학로 아트센터 대극장에서 열렸다.

뮤지컬 '마리 퀴리'는 여성, 이민자라는 사회적 편견 속 역경과 고난을 이겨낸 ‘마리 퀴리’의 삶을 조명함으로써 두려움에 맞서고 세상과 당당히 마주한 여성 과학자의 성장과 극복에 관한 이야기를 담았다. 이번 재연은 극장 규모를 넓힌 만큼 라이브 밴드를 5인조에서 7인조로 보강하는 등의 변화로 더욱 풍성한 무대를 예고한다.

초연에 참여했던 김소향과 함께 옥주현이 새로운 마리 퀴리로 합류하고, 안느 코발스키 역의 김히어라·이봄소리, 루벤 뒤퐁 역의 김찬호·양승리, 피에르 퀴리 역의 박영수·임별 등이 캐스팅되어 무대를 꾸민다.

오는 9월 27일까지 홍익대 대학로 아트센터 대극장에서 공연되는 뮤지컬 '마리 퀴리'의 아름다운 넘버를 영상으로 만나보자.

* 뮤지컬 '마리 퀴리'를 직접 만나고 싶다면?
▶http://bitly.kr/gECps6psahW

* 더 많은 공연 영상과 알짜배기 정보가 궁금하다면 플레이디비 채널을 구독하세요!

공연의 모든 것 - 플레이DB
http://playdb.co.kr

페이스북 페이지 보고싶다
http://www.facebook.com/allaboutplays

모든 영상의 저작권은 플레이디비가 소유하고 있으며 무단 편집, 업로드 및 재배포를 금지하고 있습니다.

Crew
촬영/편집 : 이우진(wowo0@interpark.com)
컨텐츠 제휴 문의 : 김선경(uncanny@interpark.com)

#뮤지컬 #마리퀴리 #프레스콜",UCmApNdJszz9T-kpxji_xxkA,NOL 티켓,2020-08-06T08:12:50Z,234,3.9,False,107781.0,1132.0,35.0,https://www.youtube.com/watch?v=Xl9H0yXCMGU,83600,1797,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,general
PwZ1OQcchww,문과 배우들의 '마리 퀴리' 도전기 #혜화로운공연생활,"🧪 문과 배우들의 '마리 퀴리' 도전기
2025.08.05 뮤지컬 '마리 퀴리' 공부방송 중
-
#뮤지컬 #마리퀴리
#혜공 #공부방송 #다시보기 #하이라이트 

#김려원 #이봄소리 #김아영 배우",UCxvh_vu5OuzhvwLfNyTC7Vg,혜화로운공연생활,2025-08-22T09:00:40Z,57,0.95,True,35848.0,782.0,8.0,https://www.youtube.com/watch?v=PwZ1OQcchww,35100,1447,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,shorts
r-AQJ1fxhp4,🧪#뮤지컬마리퀴리 시츠프로브 [예측할 수 없고 알려지지 않은],"M8. 예측할 수 없고 알려지지 않은 - 김려원, 테이

뮤지컬 마리 퀴리
2025.07.25 ~ 2025.10.19
광림아트센터 BBCH홀

#뮤지컬 #마리퀴리 #2025마리퀴리 #시츠프로브
#musical #kmusical #musicalmariecurie #mariecuriethemusical",UCQnMBdSbqtXAcaW0frD1rvg,콘텐츠제작사라이브,2025-07-28T10:53:01Z,161,2.68,False,7618.0,156.0,4.0,https://www.youtube.com/watch?v=r-AQJ1fxhp4,13400,936,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,shorts
6mrWMKkUb4s,"[ALLIVE] 테이, 박혜나 - 예측할 수 없고 알려지지 않은 | 뮤지컬 '마리 퀴리' | 올라이브 | 굿모닝FM 테이입니다 | MBC 250721 방송","🎥2025.07.21
    
X @radiombc    
Instagram @radiombc    
    
#테이 #박혜나 #마리퀴리 #mariecurie 
#라이브 #LIVE #ALLIVE #올라이브    
#Mhz #므흐즈 #MBCRADIO",UCKNZsAeQXpvI-Mpoc0ZKhsA,Mhz 므흐즈: MBC RADIO,2025-07-21T12:00:11Z,164,2.73,False,6015.0,106.0,6.0,https://www.youtube.com/watch?v=6mrWMKkUb4s,875000,11338,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,shorts
tK6EkIKQh9I,"[풀영상] 뮤지컬 '마리 퀴리' 프레스콜 (김소향과 김찬호, 김히어라, 이봄소리, 양승리 외) [통통TV]","#김소향 #김찬호 #뮤지컬마리퀴리


8월 6일 뮤지컬 '마리 퀴리' 프레스콜 행사가 홍익대 대학로 아트센터에서 진행됐다. 이날 행사에는 배우김소향, 김히어라, 이봄소리, 김찬호, 양승리, 박영수, 임별 등이 참석했다. 



✔️TongTong Culture is a Korean pop culture channel under Yonhap News Agency. 연합뉴스가 만드는 대중문화 전문채널 '통통컬처' (보도자료/출연문의 : syipd@yna.co.kr)",UCHzW_7Mf8G0JxP4b0LoAd7A,K-Culture NOW by 연합뉴스,2020-08-06T08:09:59Z,3286,54.77,False,83598.0,1507.0,86.0,https://www.youtube.com/watch?v=tK6EkIKQh9I,1010000,16469,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,general
5Kw14_zycEM,"[더뮤지컬] 뮤지컬 〈마리 퀴리〉 2025 프레스콜 중 '예측할 수 없고 알려지지 않은' (4k) - 김소향, 테이 | 예스24","뮤지컬 〈마리 퀴리〉
2025.07.25(금) ~ 2025.10.19(일)
광림아트센터 BBCH홀

마리 스클로도프스카 퀴리役 김소향, 옥주현, 박혜나, 김려원
안느 코발스카役 강혜인, 이봄소리, 전민지
루벤 뒤퐁役 박시원, 강태을
피에르 퀴리役 테이, 차윤해
조쉬 바르다/이렌 퀴리役 김아영, 금보미
폴 베타니/병원장役 박영빈, 신은호
아멜리에 마예프스키/루이스 보론스카役 홍이솔, 홍산하
마르친 리핀스키/닥터 샤갈 마르탱役 김지욱, 장준우
레흐 노바크役 송정훈, 김보근
알리샤 바웬사役 장희원, 윤수아

🎥촬영, 편집: 이정은

본 영상은 더뮤지컬이 저작권을 소유하고 있으며 무단 도용, 전재, 복제, 배포를 금지하고 있습니다. 이를 어길 시 민형사상 법적 책임을 질 수 있습니다. (영상 사용 문의: info_themusical@yes24.com)

#뮤지컬 #마리퀴리 #광림아트센터 #BBCH홀 #광림아트센터BBCH홀 #김소향 #옥주현 #박혜나 #김려원 #강혜인 #이봄소리 #전민지 #박시원 #강태을 #테이 #차윤해 #김아영 #금보미 #박영빈 #신은호 #홍이솔 #홍산하 #김지욱 #장준우 #송정훈 #김보근 #장희원 #윤수아 #더뮤지컬",UCDa9z-zpLcRj3KDvn6yot-A,THE MUSICAL,2025-08-07T10:00:50Z,313,5.22,False,6443.0,109.0,5.0,https://www.youtube.com/watch?v=5Kw14_zycEM,69500,2616,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,general
FEt-3OggcHw,[𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 뮤지컬 마리퀴리 플레이리스트 #마리퀴리,"읹어라/향어라가 오길 바라는 마음을 가지고 뮤지컬 마리퀴리 넘버 한번에 듣기

[타임라인]
00:00 모든 것들의 지도
03:46 블랙 미스 폴란드
07:16 두드려
14:00 라듐 파라다이스
20:46 잘 지내요
23:45 예측할 수 없고 알려지지 않은
28:50 문제 없어
32:02 또 다른 이름
34:54 죽음의 라인
36:52 어둠 속에서
38:59 죽은 직공들을 위한 볼레로
43:22 그댄 내게 별
47:42 예측할 수 없고 알려지지 않은 Reprise

[출처]
모든 것들의 지도 / 블랙 미스 폴란드
https://www.youtube.com/watch?v=uw9YPQMdQR4
두드려
https://www.youtube.com/watch?v=6nQY8rYHMQg&t=505s
라듐파라다이스
https://www.youtube.com/watch?v=nHtB2RLK5eM
잘 지내요
https://www.youtube.com/watch?v=CAIT9YHfD64&t=390s
예측할 수 없고 / 문제 없어
https://www.youtube.com/watch?v=jgpM8iGT7cM
또 다른 이름
https://www.youtube.com/watch?v=bzDgA5suN4c
(사진: https://www.youtube.com/watch?v=CH2c4ttGCeA)
죽음의 라인 / 어둠 속에서
https://www.youtube.com/watch?v=Mh-9KElT1d4
죽은 직공들을 위한 볼레로
https://www.youtube.com/watch?v=r4z9nOpoC8I
그댄 내게 별
https://www.youtube.com/watch?v=mHqVdr2LRE0
예측할 수 없고 알려지지 않은 rep
https://www.youtube.com/watch?v=br1DDLDTVc0

편집: Movavi Video Plus 2022 (https://www.movavi.com/)",UCNsLdAGutrR6cfvnwvF3Ymg,하품,2023-01-14T05:04:41Z,3092,51.53,False,69459.0,792.0,22.0,https://www.youtube.com/watch?v=FEt-3OggcHw,159,77,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,confirmed,existing match supported by text,general
IE8J-h5K06U,서울시극단 〈퉁소소리〉 하이라이트 | 세종문화회관,"서울시극단  |〈퉁소소리〉 

벌써 이번주 막공!
전 세대를 아우르는 감동적이고도 유쾌한 매력이 흘러넘치는
2025 〈퉁소소리〉 하이라이트🎥
조선시대, 어느 가정이 겪은 파란만장한 대서사시 속으로 초대합니다!

서울시극단
〈퉁소소리〉
2025.9.5(금)-9.28(일)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #백상예술대상 #연극 #공연 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2025-09-24T01:58:22Z,525,8.75,False,519.0,12.0,0.0,https://www.youtube.com/watch?v=IE8J-h5K06U,36000,1010,PF233740,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2024-11-11,2024-11-27,,,,shard_0,confirmed,existing match supported by text,general
7nUKCMSiPj8,“살아 있으면 좋은 일이 생긴다” 조선판 블록버스터〈퉁소소리〉 | 세종문화회관,"서울시극단｜퉁소소리

🏆 2025 백상예술대상 백상연극상 수상
🚩 조위한 고소설 '최척전' 원작, 고선웅 각색·연출

다시 돌아온,
조선판 블록버스터 연극

“살아 있으면 좋은 일이 생긴다”

〈퉁소소리〉9월 𝑪𝒐𝒎𝒊𝒏𝒈 𝑺𝒐𝒐𝒏ㅡ

서울시극단
〈퉁소소리〉
2025.9.5(금)-9.28(일)
세종M씨어터

#세종문화회관 #퉁소소리 #서울시극단 #고선웅 #백상예술대상 #연극 #공연 #커밍쑨 #공연추천

💛세종문화회관 SNS
인스타그램 https://www.instagram.com/sejongcenter
페이스북 https://www.facebook.com/sjcenter
블로그 https://blog.naver.com/sejongnanum",UCCqaPJqI5q1kfO51qWWOjrQ,세종문화회관 Sejong Center,2025-08-21T08:53:13Z,36,0.6,True,10464.0,77.0,2.0,https://www.youtube.com/watch?v=7nUKCMSiPj8,36000,1010,PF233740,"서울시극단, 퉁소소리",연극,세종문화회관 세종M씨어터,2024-11-11,2024-11-27,,,,shard_0,confirmed,existing match supported by text,shorts
