week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews
2003-05-11,50,13957866.0,"""Master Harold""...and the Boys",Royale Theatre,148824.0,544547.0,39.08,76.25,3808,1078,0.4416,0,8
2003-05-18,51,15765758.0,"""Master Harold""...and the Boys",Royale Theatre,191588.0,544547.0,37.03,76.25,5174,1078,0.6,0,8
2003-05-25,52,15157592.0,"""Master Harold""...and the Boys",Royale Theatre,181536.0,544547.0,40.77,76.25,4453,1078,0.5163,0,8
2003-06-01,1,13420512.0,"""Master Harold""...and the Boys",Royale Theatre,166124.0,544547.0,40.4,76.25,4112,1078,0.4768,1,7
2003-06-08,2,13869119.0,"""Master Harold""...and the Boys",Royale Theatre,233096.0,544547.0,41.56,76.25,5609,1078,0.6504,8,0
2003-06-15,3,14452496.0,"""Master Harold""...and the Boys",Royale Theatre,247213.0,544547.0,40.81,76.25,6057,1078,0.7023,8,0
2003-06-22,4,14502518.0,"""Master Harold""...and the Boys",Royale Theatre,272079.0,544547.0,40.34,76.25,6744,1078,0.782,8,0
2003-06-29,5,14758698.0,"""Master Harold""...and the Boys",Royale Theatre,279417.0,544547.0,41.42,76.25,6746,1078,0.7822,8,0
2003-07-06,6,12839131.0,"""Master Harold""...and the Boys",Royale Theatre,247423.0,544547.0,40.82,76.25,6061,1078,0.7028,8,0
2003-07-13,7,13268814.0,"""Master Harold""...and the Boys",Royale Theatre,308995.0,544547.0,43.47,76.25,7108,1078,0.8242,8,0
2004-10-24,21,12484083.0,"'night, Mother",Royale Theatre,125452.0,322158.0,53.57,86.25,2342,1078,0.5431,0,4
2004-10-31,22,11102212.0,"'night, Mother",Royale Theatre,174099.0,644317.0,47.1,86.25,3696,1078,0.4286,0,8
2004-11-07,23,11861307.0,"'night, Mother",Royale Theatre,178061.0,563777.0,48.89,86.25,3642,1078,0.4826,0,7
2004-11-14,24,14360883.0,"'night, Mother",Royale Theatre,218636.0,644317.0,50.41,86.25,4337,1078,0.5029,1,7
2004-11-21,25,13888888.0,"'night, Mother",Royale Theatre,192759.0,644317.0,54.28,86.25,3551,1078,0.4118,8,0
2004-11-28,26,17365001.0,"'night, Mother",Royale Theatre,153438.0,644317.0,56.16,86.25,2732,1078,0.3168,8,0
2004-12-05,27,15696860.0,"'night, Mother",Royale Theatre,185345.0,644317.0,55.96,86.25,3312,1078,0.384,8,0
2004-12-12,28,16751477.0,"'night, Mother",Royale Theatre,180563.0,644317.0,55.15,86.25,3274,1078,0.3796,8,0
2004-12-19,29,15944243.0,"'night, Mother",Royale Theatre,160261.0,644317.0,51.63,86.25,3104,1078,0.3599,8,0
2004-12-26,30,15929896.0,"'night, Mother",Royale Theatre,90995.0,644317.0,52.09,86.25,1747,1078,0.2026,8,0
2005-01-02,31,22069511.0,"'night, Mother",Royale Theatre,185950.0,644317.0,52.16,86.25,3565,1078,0.4134,8,0
2005-01-09,32,14224487.0,"'night, Mother",Royale Theatre,165921.0,644317.0,52.24,86.25,3176,1078,0.3683,8,0
2007-04-15,46,22462312.0,110 in the Shade,Studio 54,197785.0,376025.0,51.82,111.25,3817,996,0.7665,0,5
2007-04-22,47,21398055.0,110 in the Shade,Studio 54,262544.0,526435.0,49.8,111.25,5272,996,0.7562,0,7
2007-04-29,48,20538553.0,110 in the Shade,Studio 54,302978.0,601640.0,46.92,111.25,6458,996,0.8105,0,8
2007-05-06,49,19548479.0,110 in the Shade,Studio 54,203869.0,376025.0,49.3,111.25,4135,996,0.8303,0,5
2007-05-13,50,20063200.0,110 in the Shade,Studio 54,297228.0,601640.0,50.27,111.25,5913,996,0.7421,6,2
2007-05-20,51,20736200.0,110 in the Shade,Studio 54,349113.0,601640.0,51.58,111.25,6768,996,0.8494,8,0
2007-05-27,52,20922895.0,110 in the Shade,Studio 54,351224.0,601640.0,51.27,111.25,6850,996,0.8597,8,0
2007-06-03,1,18685896.0,110 in the Shade,Studio 54,344604.0,601640.0,49.12,111.25,7016,996,0.8805,8,0
2007-06-10,2,20419515.0,110 in the Shade,Studio 54,361440.0,601640.0,50.36,111.25,7177,996,0.9007,8,0
2007-06-17,3,20065645.0,110 in the Shade,Studio 54,361312.0,601640.0,49.97,111.25,7231,996,0.9075,8,0
2007-06-24,4,20428070.0,110 in the Shade,Studio 54,349945.0,601640.0,51.43,111.25,6804,996,0.8539,8,0
2007-07-01,5,19662122.0,110 in the Shade,Studio 54,352681.0,601640.0,50.59,111.25,6972,996,0.875,8,0
2007-07-08,6,18547129.0,110 in the Shade,Studio 54,338931.0,601640.0,50.55,111.25,6705,996,0.8415,8,0
2007-07-15,7,18420633.0,110 in the Shade,Studio 54,410515.0,601640.0,55.47,111.25,7400,996,0.9287,8,0
2007-07-22,8,18697151.0,110 in the Shade,Studio 54,323984.0,601640.0,50.91,111.25,6364,996,0.7987,8,0
2007-07-29,9,19838012.0,110 in the Shade,Studio 54,361161.0,601640.0,50.53,111.25,7148,996,0.8971,8,0
2008-09-21,17,15646164.0,13,Bernard B. Jacobs Theatre,203326.0,795772.0,49.53,198.5,4105,1042,0.4924,0,8
2008-09-28,18,15558404.0,13,Bernard B. Jacobs Theatre,169415.0,795772.0,48.07,198.5,3524,1042,0.4227,0,8
2008-10-05,19,16587237.0,13,Bernard B. Jacobs Theatre,125793.0,696301.0,48.61,198.5,2588,1042,0.3548,1,6
2008-10-12,20,18558742.0,13,Bernard B. Jacobs Theatre,271915.0,696301.0,59.19,198.5,4594,1042,0.5511,8,0
2008-10-19,21,17964427.0,13,Bernard B. Jacobs Theatre,228202.0,795772.0,52.86,198.5,4317,1042,0.5179,8,0
2008-10-26,22,17209276.0,13,Bernard B. Jacobs Theatre,224799.0,795772.0,55.18,198.5,4074,1042,0.4887,8,0
2008-11-02,23,15656658.0,13,Bernard B. Jacobs Theatre,198610.0,795772.0,52.22,198.5,3803,1042,0.4562,8,0
2008-11-09,24,17125792.0,13,Bernard B. Jacobs Theatre,290271.0,795772.0,57.87,198.5,5016,1042,0.6017,8,0
2008-11-16,25,16629335.0,13,Bernard B. Jacobs Theatre,206743.0,795772.0,57.86,198.5,3573,1042,0.4286,8,0
2008-11-23,26,16602724.0,13,Bernard B. Jacobs Theatre,224957.0,795772.0,58.84,198.5,3823,1042,0.4586,8,0
2008-11-30,27,22329016.0,13,Bernard B. Jacobs Theatre,376634.0,795772.0,75.71,198.5,4975,1042,0.5968,8,0
2008-12-07,28,20328651.0,13,Bernard B. Jacobs Theatre,254539.0,795772.0,58.39,198.5,4359,1042,0.5229,8,0
2008-12-14,29,19744753.0,13,Bernard B. Jacobs Theatre,268319.0,795772.0,58.12,198.5,4617,1042,0.5539,8,0
2008-12-21,30,19700245.0,13,Bernard B. Jacobs Theatre,262235.0,795772.0,61.26,198.5,4281,1042,0.5136,8,0
2008-12-28,31,25307612.0,13,Bernard B. Jacobs Theatre,474956.0,741573.0,74.87,198.5,6344,1042,0.8698,7,0
2009-01-04,32,25690836.0,13,Bernard B. Jacobs Theatre,655655.0,976733.0,73.55,198.5,8914,1042,0.9505,9,0
1997-07-20,7,9449380.0,1776,Gershwin Theatre,150045.0,227045.0,43.64,65.0,3438,499,0.9843,0,7
1997-07-27,8,9834085.0,1776,Gershwin Theatre,174787.0,259480.0,43.85,65.0,3986,499,0.9985,0,8
1997-08-03,9,9289595.0,1776,Gershwin Theatre,171818.0,259480.0,43.04,65.0,3992,499,1.0,0,8
1997-08-10,10,9523596.0,1776,Gershwin Theatre,162952.0,259480.0,41.48,65.0,3928,499,0.984,0,8
1997-08-17,11,9690945.0,1776,Gershwin Theatre,150195.0,259480.0,43.12,65.0,3483,499,0.8725,5,3
1997-08-24,12,9402211.0,1776,Gershwin Theatre,169771.0,279440.0,42.89,65.0,3958,499,0.9915,8,0
1997-08-31,13,9422926.0,1776,Gershwin Theatre,188482.0,279440.0,47.21,65.0,3992,499,1.0,8,0
1997-09-07,14,6868119.0,1776,Gershwin Theatre,169175.0,279440.0,42.77,65.0,3955,499,0.9907,8,0
1997-09-14,15,7661776.0,1776,Gershwin Theatre,170616.0,279440.0,42.74,65.0,3992,499,1.0,8,0
1997-09-21,16,8111399.0,1776,Gershwin Theatre,164297.0,279440.0,41.9,70.0,3921,499,0.9822,8,0
1997-09-28,17,8391224.0,1776,Gershwin Theatre,181907.0,279440.0,47.13,70.0,3860,499,0.9669,8,0
1997-10-05,18,8443229.0,1776,Gershwin Theatre,190666.0,279440.0,50.2,70.0,3798,499,0.9514,8,0
1997-10-12,19,9554829.0,1776,Gershwin Theatre,190793.0,279440.0,48.39,70.0,3943,499,0.9877,8,0
1997-10-19,20,10541144.0,1776,Gershwin Theatre,186468.0,279440.0,47.8,70.0,3901,499,0.9772,8,0
1997-10-26,21,10298932.0,1776,Gershwin Theatre,201666.0,279440.0,51.91,70.0,3885,499,0.9732,8,0
1997-11-02,22,9878869.0,1776,Gershwin Theatre,213452.0,279440.0,54.69,70.0,3903,499,0.9777,8,0
1997-11-09,23,10358916.0,1776,Gershwin Theatre,216314.0,279440.0,55.51,70.0,3897,499,0.9762,8,0
1997-11-16,24,10331822.0,1776,Gershwin Theatre,215808.0,279440.0,54.61,70.0,3952,499,0.99,8,0
1997-12-07,27,12097716.0,1776,Gershwin Theatre,363216.0,869277.0,32.01,75.0,11346,1899,0.7468,8,0
1997-12-14,28,11970948.0,1776,Gershwin Theatre,362391.0,869277.0,30.65,75.0,11824,1899,0.7783,8,0
1997-12-21,29,11001435.0,1776,Gershwin Theatre,381399.0,869277.0,30.0,75.0,12713,1899,0.8368,8,0
1997-12-28,30,14720405.0,1776,Gershwin Theatre,587629.0,869277.0,51.57,75.0,11394,1899,0.75,8,0
1998-01-04,31,15776122.0,1776,Gershwin Theatre,537899.0,869277.0,48.95,75.0,10988,1899,0.7233,8,0
1998-01-11,32,10698707.0,1776,Gershwin Theatre,366108.0,869277.0,32.82,75.0,11154,1899,0.7342,8,0
1998-01-18,33,10981641.0,1776,Gershwin Theatre,421761.0,869277.0,31.41,75.0,13428,1899,0.8839,8,0
1998-01-25,34,10512418.0,1776,Gershwin Theatre,350242.0,869277.0,33.94,75.0,10319,1899,0.6792,8,0
1998-02-01,35,9635755.0,1776,Gershwin Theatre,375979.0,869277.0,34.86,75.0,10784,1899,0.7098,8,0
1998-02-08,36,9453410.0,1776,Gershwin Theatre,282785.0,869277.0,35.42,75.0,7983,1899,0.5255,8,0
1998-02-15,37,11349164.0,1776,Gershwin Theatre,492734.0,869277.0,40.93,75.0,12037,1899,0.7923,8,0
1998-02-22,38,11801864.0,1776,Gershwin Theatre,415343.0,869277.0,40.65,75.0,10217,1899,0.6725,8,0
1998-03-01,39,10449493.0,1776,Gershwin Theatre,346793.0,869277.0,36.76,75.0,9433,1899,0.6209,8,0
1998-03-08,40,10691521.0,1776,Gershwin Theatre,361043.0,869277.0,39.15,75.0,9221,1899,0.607,8,0
1998-03-15,41,11074724.0,1776,Gershwin Theatre,377388.0,869277.0,37.18,75.0,10149,1899,0.668,8,0
1998-03-22,42,11797569.0,1776,Gershwin Theatre,416406.0,869277.0,39.89,75.0,10438,1899,0.6871,8,0
1998-03-29,43,12209894.0,1776,Gershwin Theatre,391505.0,869277.0,39.26,75.0,9972,1899,0.6564,8,0
1998-04-05,44,11329636.0,1776,Gershwin Theatre,308216.0,869277.0,35.35,75.0,8720,1899,0.574,8,0
1998-04-12,45,12264568.0,1776,Gershwin Theatre,305656.0,869277.0,37.09,75.0,8240,1899,0.5424,8,0
1998-04-19,46,14165712.0,1776,Gershwin Theatre,427784.0,869277.0,39.82,75.0,10742,1899,0.7071,8,0
1998-04-26,47,12863105.0,1776,Gershwin Theatre,352927.0,869277.0,37.46,75.0,9422,1899,0.6202,8,0
1998-05-03,48,12492746.0,1776,Gershwin Theatre,341207.0,869277.0,38.39,75.0,8887,1899,0.585,8,0
1998-05-10,49,11986747.0,1776,Gershwin Theatre,272014.0,869277.0,35.91,75.0,7575,1899,0.4986,8,0
1998-05-17,50,12143933.0,1776,Gershwin Theatre,287177.0,869277.0,33.2,75.0,8651,1899,0.5694,8,0
1998-05-24,51,12471275.0,1776,Gershwin Theatre,314051.0,869277.0,33.78,75.0,9298,1899,0.612,8,0
1998-05-31,52,10827895.0,1776,Gershwin Theatre,236009.0,869277.0,28.82,75.0,8189,1899,0.539,8,0
1998-06-07,1,11397854.0,1776,Gershwin Theatre,284019.0,869277.0,30.93,75.0,9183,1899,0.6045,8,0
1998-06-14,2,12379782.0,1776,Gershwin Theatre,438896.0,869277.0,32.29,75.0,13592,1899,0.8947,8,0
2017-05-21,52,34503594.63,1984,Hudson Theatre,212625.54,444580.0,62.94,249.0,3378,970,0.8706,0,4
2017-05-28,1,34203175.62,1984,Hudson Theatre,298437.82,664746.0,58.76,249.0,5079,970,0.748,0,7
2017-06-04,2,32793984.32,1984,Hudson Theatre,282052.58,774829.0,53.93,249.0,5230,970,0.674,0,8
2017-06-11,3,34128419.59,1984,Hudson Theatre,288446.08,774829.0,51.93,249.0,5554,970,0.7157,0,8
2017-06-18,4,34505435.31,1984,Hudson Theatre,301461.08,774829.0,50.09,249.0,6018,970,0.7755,0,8
