perf_id,title,season_match_status,work_group_key,season_rank,season_group_size
PF213114,회란기,matched,회란기|극공작소 마방진::극공작소 마방진,1,2
PF214286,판소리 레미제라블: 구구선 사람들,unmatched,,,
PF215689,12인의 성난 사람들 [광주],matched,12인의 성난 사람들::cast2,1,22
PF216623,무풍,unmatched,,,
PF216756,12인의 성난 사람들 [밀양],matched,12인의 성난 사람들::cast2,2,22
PF216858,페페의 꿈 [춘천],unmatched,,,
PF217873,친절한 돼지씨 [무안],unmatched,,,
PF217042,회란기 [광주],matched,회란기|::cast0,3,8
PF216451,실험실 콘서트 [여수],unmatched,,,
PF217043,회란기 [하남],matched,회란기|::cast0,4,8
PF217261,이상한 엄마 [포항],unmatched,,,
PF216959,친절한 돼지씨 [인천],unmatched,,,
PF217323,회란기 [울산],matched,회란기|::cast0,5,8
PF217562,회란기 [금천],unmatched,,,
PF217554,그때도 오늘 [오산],matched,그때도 오늘::cast1,1,13
PF217283,연희 도깨비 [포항],unmatched,,,
PF219710,평롱(平弄): 그 평안한 떨림 [고성],unmatched,,,
PF218774,콜비츠와의 대화 [대전],unmatched,,,
PF219630,수박 수영장 [거창],unmatched,,,
PF218080,페페의 꿈 [부산],unmatched,,,
PF218167,서교동에서 죽다 [진주],matched,서교동에서 죽다::cast0,2,7
PF216772,수박 수영장 [함안],unmatched,,,
PF217477,파리넬리 [부천],matched,파리넬리|::cast0,1,8
PF219102,"클래식, 벽을 허물다 [포항]",unmatched,,,
PF216757,12인의 성난 사람들 [안산],unmatched,,,
PF216125,"오페라 하이라이트 페스타, 오텔로",matched,오페라 하이라이트 페스타 오텔로::오페라 하이라이트 페스타,1,2
PF218932,그때도 오늘 [청양],matched,그때도 오늘::cast1,2,13
PF217047,"오페라 하이라이트 페스타, 봄봄",matched,오페라 하이라이트 페스타 봄봄::오페라 하이라이트 페스타,1,2
PF220437,연희도깨비 [남해],unmatched,,,
PF216127,"오페라 하이라이트 페스타, 카르멘",matched,오페라 하이라이트 페스타 카르멘::오페라 하이라이트 페스타,1,2
PF220723,조상님께 바치는 댄스 [제주],matched,조상님께 바치는 댄스::cast0,1,6
PF219472,파리넬리 [익산],matched,파리넬리|::cast0,2,8
PF220650,콜비츠와의 대화 [서울],unmatched,,,
