perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF285931,"제209회 국립발레단 정기공연, 백조의 호수",무용(서양/한국무용),예술의전당 [서울] 오페라극장,2026-04-07,2026-04-12,13279,0
PF261034,"제204회 국립발레단 정기공연, 카멜리아 레이디",무용(서양/한국무용),예술의전당 [서울] 오페라극장,2025-05-07,2025-05-11,8218,1
PF266067,"제206회 국립발레단 정기공연, 인어공주",무용(서양/한국무용),예술의전당 [서울] 오페라극장,2025-08-13,2025-08-17,7601,0
PF287859,"서울예술단, 나빌레라 [서울 서초]",뮤지컬,예술의전당 [서울] CJ 토월극장,2026-05-02,2026-05-17,6935,1
PF279879,제142회 광주시립발레단 정기공연: 호두까기 인형 [광주],무용(서양/한국무용),광주 예술의 전당 대극장,2025-12-19,2025-12-21,5748,0
PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,5655,2
PF258347,국립오페라단 정기공연 오페라: 세 개의 오렌지에 대한 사랑,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-06-26,2025-06-29,4990,2
PF234671,"대전시립연정국악단, 토요국악",한국음악(국악),대전시립연정국악원 작은마당,2024-03-09,2024-11-23,4382,1
PF254412,"제139회 광주시립발레단 정기공연, 호두까기 인형",무용(서양/한국무용),광주 예술의 전당 대극장,2024-12-20,2024-12-21,4377,1
PF285068,국립오페라단 정기공연: 베르테르,서양음악(클래식),예술의전당 [서울] 오페라극장,2026-04-23,2026-04-26,4195,2
PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,3973,2
PF221326,이상한 엄마 [여수],뮤지컬,GS칼텍스 예울마루 대극장,2023-09-14,2023-09-16,3853,1
PF273739,서편제; The Original [서울],뮤지컬,국립정동극장,2025-10-17,2025-11-09,3625,0
PF269008,달샤베트 [구미],뮤지컬,구미시문화예술회관 대공연장,2025-09-06,2025-09-07,3596,1
PF249683,"제138회 광주시립발레단 정기공연, 코펠리아",무용(서양/한국무용),광주 예술의 전당 대극장,2024-10-18,2024-10-19,3042,1
PF271681,"국립극단, 젤리피쉬",연극,국립극단 [명동] 명동예술극장,2025-09-12,2025-09-21,3013,2
PF241938,"제18회 DIMF 공식초청작, 미싱링크 [대구]",뮤지컬,대구문화예술회관 팔공홀,2024-07-03,2024-07-07,2962,2
PF256447,"기획초청 Pick크닉, 유원",연극,국립극단 [명동] 명동예술극장,2025-01-24,2025-02-02,2897,2
PF240595,"경산시립극단, 원효와 요석",뮤지컬,천마아트센터 그랜드홀,2024-05-10,2024-05-11,2702,1
PF262183,"ACC 퍼니, 천개의 파랑",뮤지컬,국립아시아문화전당 극장1,2025-05-30,2025-05-31,2702,1
PF270404,로제타,연극,국립극단 [명동] 명동예술극장,2025-08-23,2025-08-31,2661,1
PF264452,"부산 콘서트홀 개관 페스티벌: 사랑으로 부르는 자유, 피델리오 [부산]",서양음악(클래식),부산콘서트홀 콘서트홀,2025-06-27,2025-06-28,2552,0
PF265251,정글북 [안동],뮤지컬,안동문화예술의전당 웅부홀,2025-10-24,2025-10-25,2550,1
PF259097,"예술의전당 교향악축제, 국립심포니오케스트라 (04.10)",서양음악(클래식),예술의전당 [서울] 콘서트홀,2025-04-10,2025-04-10,2504,2
PF233056,"서울시향 얍 판 츠베덴의 새로운 시작 ①, 음악감독 취임 연주회",서양음악(클래식),예술의전당 [서울] 콘서트홀,2024-01-25,2024-01-25,2502,0
PF259083,"예술의전당 교향악축제, 경기필하모닉오케스트라 (04.20)",서양음악(클래식),예술의전당 [서울] 콘서트홀,2025-04-20,2025-04-20,2498,0
PF285082,"예술의전당 교향악축제, 경기필하모닉오케스트라 (04.18)",서양음악(클래식),예술의전당 [서울] 콘서트홀,2026-04-18,2026-04-18,2481,0
PF232684,"제251회 국립심포니오케스트라 정기연주회: 스트라빈스키, 페트루슈카",서양음악(클래식),예술의전당 [서울] 콘서트홀,2024-08-31,2024-08-31,2455,0
PF240292,"제137회 광주시립발레단 정기공연, DIVINE",무용(서양/한국무용),광주 예술의 전당 대극장,2024-05-24,2024-05-25,2441,0
PF256403,"기획초청 Pick크닉, 파랑새 & 전락",연극,국립극단 [명동] 명동예술극장,2025-02-08,2025-02-16,2433,2
PF232724,"국립심포니오케스트라, 음악의 얼굴 베를리오즈, 환상교향곡",서양음악(클래식),예술의전당 [서울] 콘서트홀,2024-05-12,2024-05-12,2366,1
PF281245,"제262회 국립심포니오케스트라 정기연주회: 시벨리우스, 교향곡 2번",서양음악(클래식),예술의전당 [서울] 콘서트홀,2026-03-07,2026-03-07,2362,1
PF256784,"제260회 국립심포니오케스트라 정기연주회: 쇼스타코비치, 교향곡 11번",서양음악(클래식),예술의전당 [서울] 콘서트홀,2025-12-06,2025-12-06,2347,2
PF277428,서울시향 니콜라이 루간스키의 쇼팽 피아노 협주곡 1번 ①,서양음악(클래식),예술의전당 [서울] 콘서트홀,2026-02-12,2026-02-12,2333,0
PF258379,"국립오페라단 정기공연 한국현대오페라, 화전가",서양음악(클래식),예술의전당 [서울] 오페라극장,2025-10-25,2025-10-26,2332,0
PF277020,"누구나 클래식, 다니엘의 해설클래식: 차이콥스키와 발레음악 (11월)",서양음악(클래식),세종문화회관 세종대극장,2025-11-18,2025-11-18,2329,1
PF256779,"제254회 국립심포니오케스트라 정기연주회: 베토벤, 교향곡 9번 합창",서양음악(클래식),예술의전당 [서울] 콘서트홀,2025-02-16,2025-02-16,2316,1
PF256786,"제255회 국립심포니오케스트라 정기연주회: 베르디, 레퀴엠",서양음악(클래식),예술의전당 [서울] 콘서트홀,2025-03-09,2025-03-09,2305,1
PF259188,"대전시립무용단, 헨젤과 그레텔",무용(서양/한국무용),대전예술의전당 앙상블홀,2025-04-02,2025-04-05,2253,1
PF235055,"부산시립합창단, 피노키오와 파란마녀",뮤지컬,부산문화회관 대극장,2024-05-03,2024-05-04,2241,2
PF239323,서울시향과 유니세프가 함께하는 아주 특별한 콘서트,서양음악(클래식),이화여자대학교 대강당,2024-05-04,2024-05-04,2228,2
PF276885,"대전시립무용단, 춤으로 그리는 동화: 헨젤과 그레텔 [대전 (앵콜) ]",무용(서양/한국무용),대전예술의전당 앙상블홀,2025-12-17,2025-12-20,2216,0
