video_id,matched_perf_id,matched_title,video_title,high_confidence_other_work,low_confidence_other_work,video_url,confidence
hgmOaltfVg0,PF225029,"오페라 하이라이트 페스타, 카르멘 [화성]",[오페라 하이라이트 페스타2023_(재)예술경영지원센터 2023 공연유통협력지원사업] 공연예술창작소 예술은감자다,,"[('PF225031', '오텔로'), ('PF216125', '오텔로'), ('PF225030', '봄봄'), ('PF217047', '봄봄')]",https://www.youtube.com/watch?v=hgmOaltfVg0,low
qpidVEqSXx0,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],➁ 이희문프로젝트 오방신과 &#39;지화자 좋아&#39;ㅣ부천시민회관 (241109),,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=qpidVEqSXx0,low
5VMtEpUFgXk,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],➀ 이희문프로젝트 오방신과 &#39;지화자 좋아&#39;ㅣ부천시민회관 (241109),,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=5VMtEpUFgXk,low
WfulzH_JAh8,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],이희문소리꾼✨️하이라이트모음✨️국악&amp;락밴드 두가지매력 ✨️오방신과 스팽글✨️ 국가무형문화재 제57호 #이희문,,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=WfulzH_JAh8,low
9pkX3UQlmD8,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],"허송세월,놈놈퇴근길⭐️부천문화재단*설문조사 꼭~ ✨️오방신과스팽글 OBSG #이희문",,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=9pkX3UQlmD8,low
BX0AwntSRkE,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],반짝이는 그사나이🌟이희문프로젝트 🌟Band허송세월 色시한소리꾼🌟 #이희문 #사또카페,,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=BX0AwntSRkE,low
6njfyL6GrN8,PF248660,이희문 프로젝트: 오방신과 스팽글 [부천],"신의목소리 빠져든다. 창,민요,재즈,댄스 다된다.💢이희문소리꾼💢 #이희문 #사또카페",,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=6njfyL6GrN8,low
Z-3jdjQbySs,PF269631,"국립무용단, 거장의 숨결 Ⅰ: 배정혜, 국수호",[4k] 251220 국립무용단 거장의숨결2 매화를 바라보다 커튼콜 ,,"[('PF269558', '조흥동')]",https://www.youtube.com/watch?v=Z-3jdjQbySs,low
w5cOgBrxE9k,PF269631,"국립무용단, 거장의 숨결 Ⅰ: 배정혜, 국수호",지금 우리가 만나야 할 한국무용의 정수 | 국립무용단 ‘거장의 숨결’,,"[('PF269558', '조흥동')]",https://www.youtube.com/watch?v=w5cOgBrxE9k,low
L6rCaWyoZcg,PF269631,"국립무용단, 거장의 숨결 Ⅰ: 배정혜, 국수호",251202 국립무용단 거장의숨결 오픈리허설 관객과의대화,,"[('PF279779', '거장의 숨결 오픈 리허설')]",https://www.youtube.com/watch?v=L6rCaWyoZcg,low
