week_ending,production_id,show,theatre,this_week_gross,potential_gross,diff_dollar,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,performances,previews,pct_capacity,diff_pct_cap
2021-08-08,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$201,621.50",,$0.00,$44.33,,"4,548","1,275",0,6,59.45%,0.00%
2021-08-15,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$179,919.50",,"-$21,702.00",$37.57,,"4,789","1,275",0,7,53.66%,-5.79%
2021-08-22,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$147,040.50",,"-$32,879.00",$21.43,,"6,862","1,275",1,6,76.89%,23.23%
2021-08-29,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$182,681.00",,"$35,640.50",$34.53,,"5,291","1,275",8,0,51.87%,-25.02%
2021-09-05,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$748,803.50",,$0.00,$163.46,,"4,581",918,5,0,99.80%,0.00%
2021-09-05,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$184,570.00",,"$1,889.00",$38.39,,"4,808","1,275",8,0,47.14%,-4.73%
2021-09-05,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$963,696.00",,$0.00,$184.97,,"5,210","1,042",5,0,100.00%,0.00%
2021-09-12,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,263,687.00",,"$514,883.50",$172.56,,"7,323",918,8,0,99.71%,-0.09%
2021-09-12,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$164,997.00",,"-$19,573.00",$39.63,,"4,163","1,275",8,0,40.81%,-6.33%
2021-09-12,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,294,029.00",,"$330,333.00",$179.70,,"7,201","1,032",7,0,99.68%,-0.32%
2021-09-19,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$841,604.60",,$0.00,$111.19,,"7,569","1,080",7,0,100.12%,0.00%
2021-09-19,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$874,685.20",,$0.00,$155.67,,"5,619","1,726",0,4,81.39%,0.00%
2021-09-19,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,230,218.50",,"-$33,468.50",$168.36,,"7,307",918,8,0,99.50%,-0.21%
2021-09-19,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,312,380.00",,$0.00,$247.60,,"9,339","1,324",7,0,100.77%,0.00%
2021-09-19,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$123,401.00",,$0.00,$40.46,,"3,050",620,0,7,70.28%,0.00%
2021-09-19,00000150-aea5-d936-a7fd-eef572240001,The Lion King,Minskoff Theatre,"$1,487,790.00",,$0.00,$126.78,,"11,735","1,696",7,0,98.85%,0.00%
2021-09-19,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$182,713.50",,"$17,716.50",$51.64,,"3,538","1,275",8,0,34.69%,-6.12%
2021-09-19,0000016c-4dc0-dda1-abef-edf4826d0000,SIX: The Musical,Lena Horne Theatre,"$458,495.00",,$0.00,$147.09,,"3,117","1,031",0,3,100.78%,0.00%
2021-09-19,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,360,453.40",,"$66,424.40",$171.43,,"7,936","1,032",8,0,96.12%,-3.56%
2021-09-19,00000150-aea6-d936-a7fd-eef6ecdd0001,Wicked,Gershwin Theatre,"$1,858,965.00",,$0.00,$137.88,,"13,482","1,926",7,0,100.00%,0.00%
2021-09-26,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$673,396.50",,"-$168,208.10",$104.74,,"6,429","1,080",6,0,99.21%,-0.91%
2021-09-26,0000017a-3ed2-d17e-a57e-3ffe00a80000,Chicken & Biscuits,Circle in the Square Theatre,"$144,830.50",,$0.00,$43.32,,"3,343",751,0,5,89.03%,0.00%
2021-09-26,00000156-988c-d1e6-a5fe-dfdd61a10000,Come From Away,Gerald Schoenfeld Theatre,"$938,677.00",,$0.00,$114.88,,"8,171","1,046",8,0,97.65%,0.00%
2021-09-26,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$940,938.90",,"$66,253.70",$127.83,,"7,361","1,726",0,6,71.08%,-10.31%
2021-09-26,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,200,081.50",,"-$30,137.00",$163.81,,"7,326",918,8,0,99.75%,0.25%
2021-09-26,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,376,297.00",,"$63,917.00",$254.80,,"9,326","1,324",7,0,100.63%,-0.14%
2021-09-26,0000017a-ae1c-d00f-abff-aefdf6900000,Is This A Room,Lyceum Theatre,"$25,970.00",,$0.00,$28.26,,919,922,0,2,49.84%,0.00%
2021-09-26,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$50,267.50",,"-$73,133.50",$40.57,,"1,239",620,0,3,66.61%,-3.67%
2021-09-26,0000016c-f933-dc20-a5fc-f97b79860000,The Lehman Trilogy,Nederlander Theatre,"$155,066.00",,$0.00,$138.70,,"1,118","1,148",0,1,97.39%,0.00%
2021-09-26,00000150-aea5-d936-a7fd-eef572240001,The Lion King,Minskoff Theatre,"$1,868,701.00",,"$380,911.00",$138.67,,"13,476","1,696",8,0,99.32%,0.47%
2021-09-26,00000167-2c70-d24b-ad67-bdf901c30000,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$524,753.50",,$0.00,$201.52,,"2,604","1,300",2,0,100.15%,0.00%
2021-09-26,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$169,665.00",,"-$13,048.50",$50.08,,"3,388","1,275",8,0,33.22%,-1.47%
2021-09-26,0000016c-4dc0-dda1-abef-edf4826d0000,SIX: The Musical,Lena Horne Theatre,"$1,037,724.00",,"$579,229.00",$142.60,,"7,277","1,031",0,7,100.83%,0.05%
2021-09-26,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,225,576.00",,"-$134,877.40",$178.97,,"6,848","1,032",7,0,94.80%,-1.32%
2021-09-26,00000150-aea6-d936-a7fd-eef6ecdd0001,Wicked,Gershwin Theatre,"$1,775,297.00",,"-$83,668.00",$131.70,,"13,480","1,926",7,0,99.99%,-0.01%
2021-10-03,00000150-aea8-d936-a7fd-eefc73620003,Aladdin,New Amsterdam Theatre,"$232,183.15",,$0.00,$70.36,,"3,300","1,727",2,0,95.54%,0.00%
2021-10-03,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$598,297.83",,"-$75,098.67",$101.41,,"5,900","1,080",6,0,91.05%,-8.16%
2021-10-03,0000017a-3ed2-d17e-a57e-3ffe00a80000,Chicken & Biscuits,Circle in the Square Theatre,"$161,208.50",,"$16,378.00",$32.76,,"4,921",751,0,7,93.61%,4.58%
2021-10-03,00000156-988c-d1e6-a5fe-dfdd61a10000,Come From Away,Gerald Schoenfeld Theatre,"$757,836.50",,"-$180,840.50",$105.75,,"7,166","1,046",8,0,85.64%,-12.01%
2021-10-03,0000017a-ae28-d00f-abff-aeedebc30000,Dana H.,Lyceum Theatre,"$19,491.00",,$0.00,$34.93,,558,922,0,2,30.26%,0.00%
2021-10-03,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$865,068.00",,"-$75,870.90",$128.73,,"6,720","1,672",0,6,66.99%,-4.09%
2021-10-03,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,162,708.50",,"-$37,373.00",$159.91,,"7,271",918,8,0,99.01%,-0.74%
2021-10-03,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,644,109.00",,"$267,812.00",$248.16,,"10,655","1,324",8,0,100.59%,-0.04%
2021-10-03,0000017a-ae1c-d00f-abff-aefdf6900000,Is This A Room,Lyceum Theatre,"$47,152.00",,"$21,182.00",$27.67,,"1,704",922,0,5,36.96%,-12.88%
2021-10-03,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$109,675.00",,"$59,407.50",$42.89,,"2,557",620,0,6,68.74%,2.13%
2021-10-03,0000016c-f933-dc20-a5fc-f97b79860000,The Lehman Trilogy,Nederlander Theatre,"$783,348.00",,"$628,282.00",$115.32,,"6,793","1,148",0,7,84.53%,-12.86%
2021-10-03,00000150-aea5-d936-a7fd-eef572240001,The Lion King,Minskoff Theatre,"$1,604,390.00",,"-$264,311.00",$118.56,,"13,532","1,696",8,0,99.73%,0.41%
2021-10-03,00000167-2c70-d24b-ad67-bdf901c30000,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,470,409.50",,"$945,656.00",$161.44,,"9,108","1,300",7,0,100.09%,-0.06%
2021-10-03,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$173,006.00",,"$3,341.00",$49.14,,"3,521","1,275",8,0,34.52%,1.30%
2021-10-03,0000016c-4dc0-dda1-abef-edf4826d0000,SIX: The Musical,Lena Horne Theatre,"$805,824.00",,"-$231,900.00",$110.74,,"7,277","1,031",1,6,100.83%,0.00%
2021-10-03,00000177-e081-d347-ab77-eee30f760000,Thoughts of a Colored Man,John Golden Theatre,"$190,794.50",,$0.00,$100.74,,"1,894",802,0,3,78.72%,0.00%
2021-10-03,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,412,200.80",,"$186,624.80",$172.16,,"8,203","1,032",8,0,99.36%,4.56%
2021-10-03,00000150-aea6-d936-a7fd-eef6ecdd0001,Wicked,Gershwin Theatre,"$1,650,078.00",,"-$125,219.00",$129.98,,"12,695","1,858",7,0,97.61%,-2.38%
2021-10-10,0000016c-af9e-de6f-a77c-bfff1b420000,"Caroline, or Change",Studio 54,"$240,881.00",,$0.00,$80.91,,"2,977",990,0,3,100.24%,0.00%
2021-10-10,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$722,104.75",,"$123,806.92",$110.65,,"6,526","1,080",6,0,100.71%,9.66%
2021-10-10,0000017a-3ed2-d17e-a57e-3ffe00a80000,Chicken & Biscuits,Circle in the Square Theatre,"$179,691.00",,"$18,482.50",$34.21,,"5,252",751,1,6,99.90%,6.29%
2021-10-10,00000156-988c-d1e6-a5fe-dfdd61a10000,Come From Away,Gerald Schoenfeld Theatre,"$903,454.40",,"$145,617.90",$111.25,,"8,121","1,046",8,0,97.05%,11.41%
2021-10-10,0000017a-ae28-d00f-abff-aeedebc30000,Dana H.,Lyceum Theatre,"$42,552.00",,"$23,061.00",$39.77,,"1,070",922,0,4,29.01%,-1.25%
2021-10-10,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$949,589.30",,"$84,521.30",$132.55,,"7,164","1,509",0,6,79.13%,12.14%
2021-10-10,0000017a-1552-d3a3-affb-75f3bb190000,Freestyle Love Supreme,Booth Theatre,"$435,389.80",,$0.00,$134.21,,"3,244",767,0,5,84.59%,0.00%
2021-10-10,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,312,213.50",,"$149,505.00",$177.02,,"7,413",918,8,0,100.94%,1.93%
2021-10-10,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,722,468.00",,"$78,359.00",$254.58,,"10,694","1,324",8,0,100.96%,0.37%
2021-10-10,0000017a-ae1c-d00f-abff-aefdf6900000,Is This A Room,Lyceum Theatre,"$43,683.50",,"-$3,468.50",$29.62,,"1,475",922,0,4,39.99%,3.03%
2021-10-10,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$45,398.50",,"-$64,276.50",$51.88,,875,620,0,2,70.56%,1.82%
2021-10-10,0000016c-f933-dc20-a5fc-f97b79860000,The Lehman Trilogy,Nederlander Theatre,"$762,956.00",,"-$20,392.00",$112.02,,"6,811","1,148",0,7,84.76%,0.23%
2021-10-10,00000150-aea5-d936-a7fd-eef572240001,The Lion King,Minskoff Theatre,"$1,617,931.00",,"$13,541.00",$119.43,,"13,547","1,696",8,0,99.85%,0.12%
2021-10-10,00000167-2c70-d24b-ad67-bdf901c30000,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,511,519.00",,"$41,109.50",$166.10,,"9,100","1,300",7,0,100.00%,-0.09%
2021-10-10,00000179-3deb-d881-a7f9-3fffd5e50000,Pass Over,August Wilson Theatre,"$242,988.00",,"$69,982.00",$55.25,,"4,398","1,260",8,0,43.63%,9.11%
2021-10-10,0000016c-4dc0-dda1-abef-edf4826d0000,SIX: The Musical,Lena Horne Theatre,"$1,179,805.00",,"$373,981.00",$141.40,,"8,344","1,031",8,0,101.16%,0.33%
2021-10-10,00000177-e081-d347-ab77-eee30f760000,Thoughts of a Colored Man,John Golden Theatre,"$249,175.50",,"$58,381.00",$57.26,,"4,352",802,0,7,77.52%,-1.20%
2021-10-10,0000016a-0cec-d4da-a7fa-4ffdd8900001,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$465,339.00",,$0.00,$157.42,,"2,956","1,478",2,0,100.00%,0.00%
2021-10-10,0000015e-5d10-d588-a1ff-ffdaa8a10000,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,392,066.00",,$0.00,$124.30,,"11,199","1,435",8,0,97.55%,0.00%
2021-10-10,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,560,403.58",,"$148,202.78",$189.00,,"8,256","1,036",8,0,99.61%,0.25%
2021-10-10,00000150-aea6-d936-a7fd-eef6ecdd0001,Wicked,Gershwin Theatre,"$2,085,152.00",,"$435,074.00",$135.63,,"15,374","1,926",8,0,99.78%,2.17%
2021-10-17,00000165-6c7e-daab-a96f-7e7ed4cc0000,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$297,917.00",,$0.00,$110.01,,"2,708","1,424",2,0,95.08%,0.00%
2021-10-17,00000150-aea8-d936-a7fd-eefc73620003,Aladdin,New Amsterdam Theatre,"$1,061,763.24",,$0.00,$81.40,,"13,043","1,727",8,0,94.41%,0.00%
2021-10-17,0000016c-af9e-de6f-a77c-bfff1b420000,"Caroline, or Change",Studio 54,"$319,266.00",,"$78,385.00",$64.92,,"4,918",990,0,6,82.79%,-17.45%
2021-10-17,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$634,576.20",,"-$87,528.55",$101.76,,"6,236","1,080",7,0,82.49%,-18.22%
2021-10-17,0000017a-3ed2-d17e-a57e-3ffe00a80000,Chicken & Biscuits,Circle in the Square Theatre,"$160,319.50",,"-$19,371.50",$52.09,,"3,078",751,7,0,58.55%,-41.35%
2021-10-17,00000156-988c-d1e6-a5fe-dfdd61a10000,Come From Away,Gerald Schoenfeld Theatre,"$766,091.50",,"-$137,362.90",$104.66,,"7,320","1,046",8,0,87.48%,-9.57%
2021-10-17,0000017a-ae28-d00f-abff-aeedebc30000,Dana H.,Lyceum Theatre,"$47,612.50",,"$5,060.50",$22.04,,"2,160",922,1,4,46.85%,17.84%
2021-10-17,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$751,630.30",,"-$197,959.00",$97.51,,"7,708","1,617",1,5,79.45%,0.32%
2021-10-17,0000017a-1552-d3a3-affb-75f3bb190000,Freestyle Love Supreme,Booth Theatre,"$510,873.50",,"$75,483.70",$108.56,,"4,706",767,0,8,76.69%,-7.90%
2021-10-17,0000016b-6ba8-dc6f-a1fb-ebeb101a0000,Girl From the North Country,Belasco Theatre,"$364,758.50",,$0.00,$101.97,,"3,577",998,5,0,71.68%,0.00%
2021-10-17,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,231,013.50",,"-$81,200.00",$166.42,,"7,397",918,8,0,100.72%,-0.22%
2021-10-17,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,692,404.00",,"-$30,064.00",$252.43,,"10,666","1,324",8,0,100.70%,-0.26%
2021-10-17,0000017a-ae1c-d00f-abff-aefdf6900000,Is This A Room,Lyceum Theatre,"$35,592.00",,"-$8,091.50",$25.64,,"1,388",922,2,0,75.27%,35.28%
2021-10-17,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$172,220.00",,"$126,821.50",$63.97,,"2,692",620,6,0,72.37%,1.81%
2021-10-17,0000016c-f933-dc20-a5fc-f97b79860000,The Lehman Trilogy,Nederlander Theatre,"$716,981.50",,"-$45,974.50",$104.30,,"6,874","1,148",5,2,85.54%,0.78%
2021-10-17,00000150-aea5-d936-a7fd-eef572240001,The Lion King,Minskoff Theatre,"$1,617,030.00",,-$901.00,$119.82,,"13,495","1,696",8,0,99.46%,-0.39%
2021-10-17,00000167-2c70-d24b-ad67-bdf901c30000,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,606,331.50",,"$94,812.50",$154.45,,"10,400","1,300",8,0,100.00%,0.00%
2021-10-17,0000016c-4dc0-dda1-abef-edf4826d0000,SIX: The Musical,Lena Horne Theatre,"$1,274,829.00",,"$95,024.00",$153.56,,"8,302","1,031",8,0,100.65%,-0.51%
2021-10-17,00000177-e081-d347-ab77-eee30f760000,Thoughts of a Colored Man,John Golden Theatre,"$230,518.50",,"-$18,657.00",$48.49,,"4,754",802,5,2,84.68%,7.16%
2021-10-17,0000016a-0cec-d4da-a7fa-4ffdd8900001,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$1,580,308.00",,"$1,114,969.00",$157.28,,"10,048","1,478",7,0,97.12%,-2.88%
2021-10-17,0000015e-5d10-d588-a1ff-ffdaa8a10000,To Kill A Mockingbird,Sam S. Shubert Theatre,"$1,253,006.00",,"-$139,060.00",$126.67,,"9,892","1,435",7,0,98.48%,0.93%
2021-10-17,0000017a-8169-dede-a5ff-ffedc7930000,Waitress,Ethel Barrymore Theatre,"$1,533,468.85",,"-$26,934.73",$191.88,,"7,992","1,036",8,0,96.43%,-3.18%
2021-10-17,00000150-aea6-d936-a7fd-eef6ecdd0001,Wicked,Gershwin Theatre,"$1,920,067.00",,"-$165,085.00",$126.94,,"15,126","1,926",8,0,98.17%,-1.61%
2021-10-24,00000165-6c7e-daab-a96f-7e7ed4cc0000,Ain't Too Proud—The Life and Times of the Temptations,Imperial Theatre,"$983,533.20",,"$685,616.20",$122.65,,"8,019","1,424",7,0,80.45%,-14.63%
2021-10-24,00000150-aea8-d936-a7fd-eefc73620003,Aladdin,New Amsterdam Theatre,"$967,129.51",,"-$94,633.73",$79.84,,"12,114","1,727",8,0,87.68%,-6.73%
2021-10-24,0000016c-af9e-de6f-a77c-bfff1b420000,"Caroline, or Change",Studio 54,"$388,293.00",,"$69,027.00",$64.36,,"6,033",990,0,7,87.06%,4.27%
2021-10-24,00000150-aea2-d936-a7fd-eef6db350002,Chicago,Ambassador Theatre,"$590,619.14",,"-$43,957.06",$96.55,,"6,117","1,080",7,0,80.91%,-1.58%
2021-10-24,0000017a-3ed2-d17e-a57e-3ffe00a80000,Chicken & Biscuits,Circle in the Square Theatre,"$136,171.68",,"-$24,147.82",$53.17,,"2,561",751,7,0,48.72%,-9.83%
2021-10-24,00000156-988c-d1e6-a5fe-dfdd61a10000,Come From Away,Gerald Schoenfeld Theatre,"$672,677.88",,"-$93,413.62",$105.07,,"6,402","1,046",8,0,76.51%,-10.97%
2021-10-24,0000017a-ae28-d00f-abff-aeedebc30000,Dana H.,Lyceum Theatre,"$55,237.00",,"$7,624.50",$35.68,,"1,548",922,4,0,41.97%,-4.88%
2021-10-24,00000170-55bd-d31d-a978-55bfe0450000,David Byrne's American Utopia,St. James Theatre,"$796,138.75",,"$44,508.45",$127.81,,"6,229","1,454",6,0,71.40%,-8.05%
2021-10-24,0000017a-1552-d3a3-affb-75f3bb190000,Freestyle Love Supreme,Booth Theatre,"$308,081.84",,"-$202,791.66",$64.45,,"4,780",767,7,1,77.90%,1.21%
2021-10-24,0000016b-6ba8-dc6f-a1fb-ebeb101a0000,Girl From the North Country,Belasco Theatre,"$397,647.50",,"$32,889.00",$95.47,,"4,165",998,7,0,59.62%,-12.06%
2021-10-24,00000167-5ad2-d052-a567-dfdb48060000,Hadestown,Walter Kerr Theatre,"$1,196,418.00",,"-$34,595.50",$162.84,,"7,347",918,8,0,100.04%,-0.68%
2021-10-24,00000150-aea8-d936-a7fd-eefc733e0005,Hamilton,Richard Rodgers Theatre,"$2,677,584.00",,"-$14,820.00",$251.96,,"10,627","1,324",8,0,100.33%,-0.37%
2021-10-24,0000017a-ae1c-d00f-abff-aefdf6900000,Is This A Room,Lyceum Theatre,"$97,137.15",,"$61,545.15",$56.44,,"1,721",922,4,0,46.66%,-28.61%
2021-10-24,0000016a-7e2c-d6b9-a7ff-feae28460000,Jagged Little Pill,Broadhurst Theatre,"$675,123.90",,$0.00,$121.64,,"5,550","1,125",5,0,98.67%,0.00%
2021-10-24,00000175-d3b4-d68e-a3ff-dbbdf1020000,Lackawanna Blues,Samuel J. Friedman Theatre,"$178,938.50",,"$6,718.50",$64.48,,"2,775",620,6,0,74.60%,2.23%
2021-10-24,0000016c-f933-dc20-a5fc-f97b79860000,The Lehman Trilogy,Nederlander Theatre,"$845,444.50",,"$128,463.00",$124.84,,"6,772","1,148",7,0,84.27%,-1.27%
