perf_id,title,genre,perf_start_date,perf_end_date,venue_name,runtime_min,company_id,total_ticket_sales_qty,season_match_status,work_group_key,season_rank,company_name,cast_names,crew_names,actual_group_size,runtime_missing,is_recurring_title,is_high_demand
PF226540,마리 퀴리,뮤지컬,2023-11-24,2024-02-18,홍익대 대학로 아트센터 대극장,150.0,FC001208,32640,matched,마리 퀴리::cast0,2.0,,,,2,False,False,True
PF278512,"국립발레단, 호두까기인형 [서울 서초]",무용(서양/한국무용),2025-12-13,2025-12-25,예술의전당 [서울] 오페라극장,120.0,FC000001,30602,unmatched,,,,,,1,False,False,True
PF289313,베토벤 [서울],뮤지컬,2026-06-09,2026-08-11,세종문화회관 세종대극장,155.0,FC000020,18778,,,,,,,1,False,False,True
PF293149,MyK FESTA (06.27),대중음악,2026-06-27,2026-06-27,킨텍스 제1전시장,150.0,FC001910,15376,,,,,,,1,False,False,True
PF293148,MyK FESTA (06.26),대중음악,2026-06-26,2026-06-26,킨텍스 제1전시장,150.0,FC001910,15193,,,,,,,1,False,False,True
PF285931,"제209회 국립발레단 정기공연, 백조의 호수",무용(서양/한국무용),2026-04-07,2026-04-12,예술의전당 [서울] 오페라극장,145.0,FC000001,13279,unmatched,,,,,,1,False,False,True
PF279311,"국립극단, 반야 아재",연극,2026-05-22,2026-05-31,국립극장 해오름극장,130.0,FC000003,13060,unmatched,,,,,,1,False,False,True
PF233608,"서울시뮤지컬단, 다시, 봄",뮤지컬,2024-05-08,2024-06-07,LG아트센터 서울 U+ 스테이지,80.0,FC003045,12818,unmatched,,,,,,1,False,False,True
PF275402,"국립발레단, 지젤 [서울]",무용(서양/한국무용),2025-11-12,2025-11-16,예술의전당 [서울] 오페라극장,120.0,FC000001,11778,matched,국립발레단 지젤::국립발레단,5.0,,,,3,False,False,True
PF269536,"조씨고아, 복수의 씨앗",연극,2025-11-21,2025-11-30,국립극장 해오름극장,150.0,FC000003,11600,matched,조씨고아 복수의 씨앗::(재) 국립극단,6.0,,,,1,False,False,True
PF252606,사일런트 스카이,연극,2024-11-29,2024-12-28,국립극단 [명동] 명동예술극장,120.0,FC000005,10661,unmatched,,,,,,1,False,False,True
PF249752,"국립발레단, 라 바야데르",무용(서양/한국무용),2024-10-30,2024-11-03,예술의전당 [서울] 오페라극장,160.0,FC000001,10279,unmatched,,,,,,1,False,False,True
PF290083,인천펜타포트 락 페스티벌,대중음악,2026-07-31,2026-08-02,송도달빛축제공원,,FC002007,10150,,,,,,,1,True,False,True
PF257641,해리 포터와 혼혈 왕자 인 콘서트,서양음악(클래식),2025-05-16,2025-05-18,세종문화회관 세종대극장,147.0,FC000020,10037,unmatched,,,,,,1,False,False,True
PF257640,"서울시무용단, One Dance: 일무",무용(서양/한국무용),2025-08-21,2025-08-24,세종문화회관 세종대극장,65.0,FC000020,9842,unmatched,,,,,,1,False,False,True
PF253954,"국립극단, 그의 어머니",연극,2025-04-02,2025-04-19,국립극장 달오름극장,105.0,FC000003,9304,unmatched,,,,,,1,False,False,True
PF238095,"서울예술단, 천 개의 파랑",뮤지컬,2024-05-12,2024-05-26,예술의전당 [서울] CJ 토월극장,140.0,FC000001,9244,matched,서울예술단 천 개의 파랑::(재)서울예술단,1.0,,,,3,False,False,True
PF256158,토요명품,한국음악(국악),2025-01-04,2025-12-27,국립국악원 우면당,80.0,FC000009,9153,unmatched,,,,,,1,False,True,True
PF251909,맥베스 [서울],뮤지컬,2024-12-12,2024-12-29,세종문화회관 세종M씨어터,100.0,FC000020,8883,unmatched,,,,,,1,False,False,True
PF279106,토장군을 찾아라! [부산],뮤지컬,2026-05-02,2026-07-25,부산문화회관 사랑채극장 (소극장) ,70.0,FC000167,8818,matched,토장군을 찾아라!::cast1,4.0,,,,1,False,False,True
PF237184,"국립극단, 스카팽 [서울]",연극,2024-04-12,2024-05-06,국립극단 [명동] 명동예술극장,120.0,FC000005,8519,matched,국립극단 스카팽::(재) 국립극단,1.0,,,,5,False,False,True
PF258755,"국립극단, 만선",연극,2025-03-06,2025-03-30,국립극단 [명동] 명동예술극장,110.0,FC000005,8515,unmatched,,,,,,1,False,False,True
PF261034,"제204회 국립발레단 정기공연, 카멜리아 레이디",무용(서양/한국무용),2025-05-07,2025-05-11,예술의전당 [서울] 오페라극장,170.0,FC000001,8218,unmatched,,,,,,1,False,False,True
PF239415,"국립발레단, 돈키호테",무용(서양/한국무용),2024-06-05,2024-06-09,예술의전당 [서울] 오페라극장,125.0,FC000001,8218,matched,국립발레단 돈키호테::국립발레단,2.0,,,,3,False,False,True
PF257900,"서울시극단, 퉁소소리",연극,2025-09-05,2025-09-28,세종문화회관 세종M씨어터,150.0,FC000020,8146,matched,서울시극단 퉁소소리::서울시극단,2.0,,,,2,False,False,True
PF234341,다윈 영의 악의 기원,뮤지컬,2024-03-08,2024-03-24,예술의전당 [서울] CJ 토월극장,165.0,FC000001,8125,matched,다윈 영의 악의 기원::(재)서울예술단,4.0,,,,1,False,False,True
PF257899,"서울시오페라단, 아이다",서양음악(클래식),2025-11-13,2025-11-16,세종문화회관 세종대극장,170.0,FC000020,8070,unmatched,,,,,,1,False,False,True
PF286730,"국립극단, 그의 어머니 Mother of Him [서울]",연극,2026-04-16,2026-05-17,국립극단 [명동] 명동예술극장,155.0,FC000005,7933,unmatched,,,,,,1,False,False,True
PF266067,"제206회 국립발레단 정기공연, 인어공주",무용(서양/한국무용),2025-08-13,2025-08-17,예술의전당 [서울] 오페라극장,140.0,FC000001,7601,unmatched,,,,,,1,False,True,True
PF253992,"서울예술단, 천 개의 파랑",뮤지컬,2025-02-22,2025-03-07,국립극장 해오름극장,165.0,FC000003,7587,matched,서울예술단 천 개의 파랑::(재)서울예술단,2.0,,,,3,False,False,True
PF284314,"국립극단, 삼매경",연극,2026-03-12,2026-04-05,국립극단 [명동] 명동예술극장,120.0,FC000005,7521,unmatched,,,,,,1,False,True,True
PF233718,해리 포터와 불사조 기사단™ 인 콘서트,서양음악(클래식),2024-05-11,2024-05-12,세종문화회관 세종대극장,178.0,FC000020,7494,unmatched,,,,,,1,False,False,True
PF242516,"국립극단, 햄릿",연극,2024-07-05,2024-07-29,국립극단 [명동] 명동예술극장,135.0,FC000005,7476,unmatched,,,,,,1,False,False,True
PF286496,"국립정동극장 예술단, 광대",한국음악(국악),2026-04-03,2026-05-30,국립정동극장,80.0,FC000006,7450,unmatched,,,,,,1,False,False,True
PF264966,"국립극단, 십이야",연극,2025-06-12,2025-07-06,국립극단 [명동] 명동예술극장,120.0,FC000005,7443,matched,국립극단 십이야::(재) 국립극단,1.0,,,,2,False,False,True
PF277653,정선아리랑 토요상설공연: 뗏꾼,한국음악(국악),2025-04-05,2025-11-22,정선아리랑센터 아리랑홀,70.0,FC002264,7176,unmatched,,,,,,1,False,True,True
PF257522,해리 포터와 죽음의 성물 Part 1 인 콘서트,서양음악(클래식),2025-10-24,2025-10-26,세종문화회관 세종대극장,169.0,FC000020,7121,unmatched,,,,,,1,False,False,True
PF287859,"서울예술단, 나빌레라 [서울 서초]",뮤지컬,2026-05-02,2026-05-17,예술의전당 [서울] CJ 토월극장,140.0,FC000001,6935,matched,서울예술단 나빌레라::(재)서울예술단,1.0,,,,2,False,False,True
PF257897,"서울시뮤지컬단, 더 퍼스트 그레잇쇼",뮤지컬,2025-05-29,2025-06-15,세종문화회관 세종M씨어터,140.0,FC000020,6847,unmatched,,,,,,1,False,False,True
PF262726,"국립극단, 헤다 가블러",연극,2025-05-16,2025-06-01,국립극단 [명동] 명동예술극장,160.0,FC000005,6780,matched,국립극단 헤다 가블러::국립극단,1.0,,,,2,False,False,True
PF253959,"국립창극단, 베니스의 상인들",한국음악(국악),2025-06-07,2025-06-14,국립극장 해오름극장,170.0,FC000003,6728,unmatched,,,,,,1,False,False,True
PF281481,토요명품,한국음악(국악),2026-01-03,2026-12-26,국립국악원 우면당,80.0,FC000009,6686,unmatched,,,,,,1,False,True,True
PF233617,"서울시무용단, 일무",무용(서양/한국무용),2024-05-16,2024-05-19,세종문화회관 세종대극장,80.0,FC000020,6479,matched,서울시무용단 일무::(재)세종문화회관,1.0,,,,1,False,False,True
PF278396,"국립극단, 태풍",연극,2025-12-04,2025-12-28,국립극단 [명동] 명동예술극장,130.0,FC000005,6430,unmatched,,,,,,1,False,False,True
