video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,source_shard,match_status,correction_note,video_format
AKb-h9PQaYw,성남아트리움 '작곡가 시리즈 : 낭만주의' Ⅰ. 라흐마니노프,"성남아트리움의 2023년 새로운 기획공연 '작곡가 시리즈'에서는 
한 시대를 대표하는 작곡가들의 대표작을 소개하고 그들의 작품 세계를 깊이 있게 탐구해 보고자 합니다. 

첫 시즌은 '낭만주의'를 주제로 러시아 낭만주의 음악을 대표하는 라흐마니노프와 차이콥스키의 음악이 4월 6월 관객들을 만날 예정입니다. 

첫 번째로는 올해로 탄생 150주년이자 타계 80주기를 맞은 작곡가 겸 피아니스트 세르게이 라흐마니노프(1873-1943)를 소개합니다. 
특히 이번 공연에서는 한국인이 가장 사랑하는 협주곡으로 꼽히는 라흐마니노프의 ‘피아노 협주곡 2번’을 선보일 예정으로 강렬한 도입부와 섬세한 선율 진행, 폭발적인 표현력으로 라흐마니노프의 음악 세계를 단번에 체감할 수 있을 것입니다. 

Ⅰ. 라흐마니노프
✅공연일시 : 2023.4.22.(토) 오후 5시
✅ 장소: 성남아트리움 대극장
✅ 출연: 지휘 김광현, 피아니스트 박종해, 연주 국립심포니오케스트라
✅ 프로그램 : 
 - 피아노 협주곡 제2번
 - 교향곡 제2번

🎫 예매하기: https://bit.ly/3Z4QIF8

#성남문화재단 #성남아트리움 #라흐마니노프",UC3lVzrafVONyPmQTAjfOFFQ,성남문화재단,2023-03-02T01:00:03Z,36,0.6,True,2280,411,0,https://www.youtube.com/watch?v=AKb-h9PQaYw,11000,1074,PF282308,성남시립교향악단 신년음악회 [성남],서양음악(클래식),성남아트센터 콘서트홀,2026-01-22,2026-01-22,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
8Yb6-4aXXiI,2022.05.18 공주시충남교향악단 제188회 정기연주회 - 공주문예회관 대공연장 협연 박재홍,"2022.05.18 #공주시충남교향악단 제188회 정기연주회 - 공주
#공주문예회관 대공연장

상임지휘자_#정나라 / 피아니스트_#박재홍

Program

 L. van Beethoven

 - 코리올란 서곡 다단조, 작품 62
Overture Coriolan in c minor, Op. 62

- 피아노 협주곡 제 4번 사장조, 작품 58
Piano Concerto No. 4 in G Major, Op. 58
1. 적당히 빠르게
2. 느리지 않고 활기 있게
3. 경쾌하고 매우 빠르게
Ⅰ. Allegro moderato
Ⅱ. Andante con moto
Ⅲ. Rondo: Vivace

Intermission
 
- 교향곡 제 5번 다단조, 작품 67 ‘운명’
Symphony No. 5 in c minor Op. 67 ‘Schicksal’
1. 힘차고 빠르게
2. 느리지 않고 활기 있게
3. 경쾌하고 빠르게
4. 빠르게
 Ⅰ. Allegro con brio
Ⅱ. Andante con moto
Ⅲ. Scherzo: Allegro
Ⅳ. Allegro

앵콜
박재홍 피아니스트 
슈만 : 어린이정경 15-1번 미지의 나라들
R.Schumann: Kinderszenen op.15-1
Von Fremden Landern Und Menschen",UCJJlWD4Q2eKe2oXh-2DbgkA,가루tv,2022-05-19T06:32:32Z,188,3.13,False,98,2,0,https://www.youtube.com/watch?v=8Yb6-4aXXiI,546,212,PF282308,성남시립교향악단 신년음악회 [성남],서양음악(클래식),성남아트센터 콘서트홀,2026-01-22,2026-01-22,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
tKI6_8naL7Y,2 Sinfonia(지휘:이선우),"아이노스합창단 제45회 정기연주회(2018.05.14, 영산아트홀)",UCJ_3z39aZnn4D6Y2VfnHcwQ,송금석,2018-06-18T04:36:51Z,78,1.3,False,219,3,0,https://www.youtube.com/watch?v=tKI6_8naL7Y,2180,125,PF249140,제77회 고양시립합창단 정기연주회,서양음악(클래식),고양아람누리 아람음악당,2024-10-17,2024-10-17,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
7ClGM41XyMY,사랑의 찬가,제7회 두루여성합창단 정기연주회/1부/서양가곡/M.monnot곡/2016.6.23/아람누리 아람음악당,UCgi-czFYw2KwxkxtWwEYPUA,Park Duru (Duru woman chior),2016-07-06T11:24:15Z,174,2.9,False,4076,9,0,https://www.youtube.com/watch?v=7ClGM41XyMY,134,99,PF249140,제77회 고양시립합창단 정기연주회,서양음악(클래식),고양아람누리 아람음악당,2024-10-17,2024-10-17,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
e0vwxyhZbco,인천 서구립 합창단 30주년 공연 2022년 9월 22일,"1부 서구립합창단
The Ground - O. Giello
Lamentation of Jeremy -  R. Streope
Tshotsholza  -  African traditional sono

2부 특별출연 서구 영아티스트 황온서
Piazzol-Libertango for marimba
L. H. Stewers Rhythmic Caprice

3부 Art-pop
마중 - 윤학준 작곡, 이희연 편곡 
베틀노래 - 이원주 작곡, 이하인 편곡 
꽃피는 날 - 정안호 작곡, 이희연 편곡 
가을 - 김존범 작곡

4부 특별출연 서구 아티스트 엘리머
WA Morart - Dwertimento in F Muicr, K. 138 1.Alegro
Edward Elear• 사랑의 인사
Brahms - Hungarian Dance No.5

5부 30주년 창작음악극 
새로운 시작을 위해 곡 이선택
내 안에 살고 있는 그대에게
난 항상 꿈을 꿉니다.
미리를 노래합시다.
행복합시다.


2022.9.22 Thu 7:30pm 인천서구문화회관 대공연장



캠프114 텐트대여 예약사이트 :      https://booking.naver.com/booking/3/bizes/227665
https://www.camp114.co.kr

숯퍼마켓 쇼핑몰 :  https://smartstore.naver.com/sutpermarket",UCH6nayd1ix5N3McbGwO0q_g,정영훈,2022-09-23T12:03:00Z,4980,83.0,False,406,9,1,https://www.youtube.com/watch?v=e0vwxyhZbco,356,448,PF257299,부천시립예술단 신년음악회: 사랑의 인사 [부천],서양음악(클래식),부천아트센터 콘서트홀,2025-01-23,2025-01-23,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
qOSe7WjKwMI,민요가수  김은희  &  양산도   나누리예술단 2017-04-16,제7회시민과함께하는가요콘서트(부천마루광장특설무대)나누리예술단 2017-04-16,UCsaNrK4rvHCbGgbjJvH5jrw,별내유공자,2017-04-20T02:17:43Z,150,2.5,False,293,4,0,https://www.youtube.com/watch?v=qOSe7WjKwMI,1320,2738,PF257299,부천시립예술단 신년음악회: 사랑의 인사 [부천],서양음악(클래식),부천아트센터 콘서트홀,2025-01-23,2025-01-23,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
5fHt_2yEJE0,이수연_내마음흔들리네요_그시절추억의쇼!!!_ 장소:허리우드 낭만극장 일시:2018.5.19_오필승영상감독,이수연_내마음흔들리네_그시절추억의쇼!!!_ 장소:허리우드 낭만극장 일시:2018.5.19_오필승영상감독,UCUh4RZIiVsByFMpeF4f-7IA,오톡미디어영상TV,2018-05-22T08:29:49Z,210,3.5,False,379,4,0,https://www.youtube.com/watch?v=5fHt_2yEJE0,360,546,PF257299,부천시립예술단 신년음악회: 사랑의 인사 [부천],서양음악(클래식),부천아트센터 콘서트홀,2025-01-23,2025-01-23,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
zq0XFWQ7pb0,"지각생 ""오로라"" 38문화예술축제 행사 공연 장면","2023.6.3영중면행정복지센터 미이소광장
오로라 , Aurora , 슬기 , 애리 ,  서은",UCDw1ILI4dCzAixfVDuzXdRw,Entertainment OneStep,2023-06-04T09:00:38Z,295,4.92,False,16389,211,3,https://www.youtube.com/watch?v=zq0XFWQ7pb0,11900,537,PF279629,천안예술의전당 신년음악회 [천안],서양음악(클래식),천안예술의전당 대공연장,2026-01-24,2026-01-24,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
pMhzxw2z5qU,김다현 ‘섬마을 선생님’ K-MUSIC 평창 4K 직캠,"2022.11.20 K-MUSIC 평창 (케이뮤직 평창) 
김다현 ‘섬마을 선생님’ K-MUSIC 평창 4K 직캠
섬마을 선생님
장소: 강원도 평창군 알렌시아 일대 
김다현 4K 60P 락뮤직 직캠 Rock Music FANCAM
무단전재 및 재배포 금지 ( 유튜브 쇼츠, 인스타, 트위터, 페이스북) 기타 SNS 편집 및 재가공 후 업로드 하는 행위 불가 (상업, 비상업 모두 비허용)
사진은 원본 유튜브 영상 링크 첨부후 로그크롭 X 일 경우 사용가능

#김다현",UC8yPhlmo-4MY5ZfF-cw3JRg,Rock Music,2022-11-21T05:47:01Z,195,3.25,False,821,39,6,https://www.youtube.com/watch?v=pMhzxw2z5qU,1870000,16051,PF279629,천안예술의전당 신년음악회 [천안],서양음악(클래식),천안예술의전당 대공연장,2026-01-24,2026-01-24,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
PPd0S51tTBo,김주택 (Bar. Julian Kim) - 천안 신년음악회 퇴근길,"2020.01.17
2020 소프라노 황수미 바리톤 김주택과 함께하는 신년음악회 New Year's Concert
- 퇴근길
장소: 천안 예술의 전당

촬영: 펜카페 주택단지",UCo9Ngi-LcXQpIzoSsN8JjHg,Julian Kim Fan Channel,2020-01-22T08:39:59Z,48,0.8,True,670,47,2,https://www.youtube.com/watch?v=PPd0S51tTBo,5020,383,PF279629,천안예술의전당 신년음악회 [천안],서양음악(클래식),천안예술의전당 대공연장,2026-01-24,2026-01-24,,,,,,youtube_collect_targeted + signal_scorer: 신규 delete 후보,
