video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,source_shard,match_status,correction_note,video_format
Z0iLLCf07uQ,[#벌거벗은세계사] (70분) 최초의 여성 노벨상을 받은 사람의 삶은 어떨까👀!? 방사능의 어머니 마리 퀴리의 일생 몰아보기 | #티전드,"티빙에서 스트리밍 : https://tving.onelink.me/xHqC/gpc4kkic

＜벌거벗은 세계사＞
[월] 밤 10:10 tvN 방송

#벌거벗은세계사 #티빙에서스트리밍",UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,2024-02-09T06:00:26Z,4486,74.77,False,920692.0,6422.0,342.0,https://www.youtube.com/watch?v=Z0iLLCf07uQ,5360000,73394,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",general
uQLK4dghNuA,"[본방 종합] 원인 불명의 병에 걸린 천재 과학자 마리퀴리, 그리고 연이어 터지는 스캔들... 우리가 몰랐던 마리퀴리의 인생 ft.옥주현 I KBS 250909 방송","✔볼수록 쌓이는 인사이트💡 | KBS 지식 공식 채널
KBS지식 구독하기 ➡️ @KBSknowhow
Copyright  ⓒ KBS. All rights reserved. 무단전재, 재배포 및 이용(AI 학습 포함) 금지 

📢 영상 방송 시점에 따라 현 상황과 내용이 다소 다를 수 있습니다
📢 비방 및 악성 댓글은 출연자 보호를 위해 운영자가 삭제할 수 있습니다
Copyright ⓒ KBS. All rights reserved. 무단전재, 재배포 및 이용(AI 학습 포함) 금지",UCBOs39Wu6lwfnT0IeJGyYWA,KBS 셀럽병사의 비밀,2025-09-10T14:59:49Z,1894,31.57,False,80926.0,1177.0,43.0,https://www.youtube.com/watch?v=uQLK4dghNuA,423000,496,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",general
oO5_Vq0shGQ,데스노트 자체였던 마리 퀴리 노트 ㄷㄷ #벌거벗은세계사,"#벌거벗은세계사 #tvN #shorts

〈벌거벗은 세계사〉 매주 화 오후 10시 10분 tvN에서!
TVING으로 다시보기

we’re :DIGGLE family",UCsRIHt5FkbGc6cQtCxt-ufA,tvN D ENT,2024-02-09T02:01:00Z,56,0.93,True,32678.0,300.0,5.0,https://www.youtube.com/watch?v=oO5_Vq0shGQ,5360000,73394,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",shorts
sEIXAhQgpnw,퀴리 부인이 사망한 진짜 이유 #원소주기율표 #화학 #원소 #멘델레예프 #윤소희,퀴리 부인이 사망한 진짜 이유 #원소주기율표 #화학 #원소 #멘델레예프 #윤소희,UCiFYUP4_TI70yCkkVJAlxoA,EBS 컬렉션 - 사이언스,2025-09-22T00:31:35Z,84,1.4,False,142457.0,692.0,9.0,https://www.youtube.com/watch?v=sEIXAhQgpnw,1330000,3031,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,no matching performance found in list,shorts
TGmYaSQuOus,"마리 퀴리가 발견한 '라듐', 신비의 명약으로 불리며 심지어 라듐으로 만든 콘돔도 등장했다?! [셀럽병사의 비밀] KBS 250909 방송","마리 퀴리가 발견한 '라듐'
신비의 명약으로 불리며 
라듐으로 만든 담배, 치약, 비누까지 등장했으며
심지어 라듐으로 만든 콘돔도 만들었다는데...

#셀럽병사의비밀 #이찬원 #장도연 #이낙준 #마리퀴리 #퀴리부인 #라듐 #방사능

✔ 따뜻한 감동, 알찬 정보 KBS 교양 공식 채널 
✔ 인간극장, 아침마당, 이웃집찰스, 2TV생생정보 등 KBS 대표 콘텐츠가 한 곳에 📺📲 
✔ KBS교양 구독하기 ➡️ http://www.youtube.com/@KBSLife
Copyright  ⓒ KBS. All rights reserved. 무단전재, 재배포 및 이용(AI 학습 포함) 금지 

📢 영상 방송 시점에 따라 현 상황과 내용이 다소 다를 수 있습니다
📢 비방 및 악성 댓글은 출연자 보호를 위해 운영자가 삭제할 수 있습니다",UCHlSeJxRIXZWMARC2oMwmcQ,KBS 교양,2025-09-10T07:08:26Z,1246,20.77,False,19818.0,866.0,27.0,https://www.youtube.com/watch?v=TGmYaSQuOus,1810000,79171,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",general
Bdr-DmPA4kE,"#집에서함께배워요 ㅣ 물리학자, 마리 퀴리 ㅣ 꿈을 이룬 사람들 ㅣ TV유치원","난 실험실이 좋아
아빠의 실험실이 좋아
흥미진진한 실험 도구
실험실에 있으면
심심하지가 않지
난 실험실이 좋아~

#마리퀴리 #어린이위인전 #위인전

[케키즈 유튜브 공식 채널] 
케키즈 유튜브 채널을 구독하면 
TV유치원의 인기프로그램들을 볼 수 있어요! 

♥ 케키즈 구독하기 ♥ 
https://www.youtube.com/c/KBS키즈 

♥ 케키즈 SNS ♥
https://www.instagram.com/kbskids1 
https://www.facebook.com/kbskids1",UCdXB-xqrg37isIQwF0Z5-Dw,KBSKids,2020-12-08T07:00:02Z,591,9.85,False,4449.0,20.0,0.0,https://www.youtube.com/watch?v=Bdr-DmPA4kE,1050000,7322,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",general
N9-OqBu-jO8,"절대 만지면 안 되는 책 ""마리 퀴리의 연구일지""","최초로 방사능 물질인 라듐, 폴라늄을 발견한 마리 퀴리

노벨 물리학상과 노벨 화학상을 받을 정도로 대단한 여성인데요

안타깝게도 연구가 자신에겐 독으로 작용했습니다.

#shorts #마리퀴리 #연구일지",UCh9Hs6LCnksZbSs2SqSdfqg,철멍뭉,2023-02-19T06:22:33Z,44,0.73,True,488867.0,10998.0,146.0,https://www.youtube.com/watch?v=N9-OqBu-jO8,676000,267,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"title ""마리 퀴리"" is short/generic and no performing-arts context words appear anywhere in the text - too risky to trust as a real match",shorts
HCASqpTJpk4,마리 퀴리,"새로운 세상을 만든 천재 과학자 그녀의 빛나는 도전과 숨겨진 이야기! 뛰어난 연구 실적에도 불구하고 거침없는 성격 때문에 연구실에서 쫓겨난 과학자 '마리'. 평소 그녀의 연구를 눈여겨본 '피에르'는 공동 연구를 제안하고, 두 사람은 자연스럽게 사랑을 느끼게 된다. 연구를 거듭하던 '마리'는 새로운 원소 라듐을 발견하는데 성공하며 '피에르'와 함께 노벨상을 수상한다. 그 후 이 발견으로 암을 치료할 수 있다는 기대에 한껏 부푼다. 하지만 기쁨도 잠시, '피에르'가 갑작스러운 죽음을 맞고 '마리'는 깊은 절망에 빠진다. 그리고 곧 '마리'는 이 위대한 발견 이면의 예상치 못한 힘을 알게 되는데... 우리가 미처 몰랐던 '마리 퀴리'의 진짜 이야기가 시작된다",UC-Vdvc9F3YwLFB3t9L9uUzw,YouTube Movies,2020-12-10T20:43:03Z,6603,110.05,False,,110.0,7.0,https://www.youtube.com/watch?v=HCASqpTJpk4,0,1,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",general
qdbwyenGMVQ,마리 퀴리의 희생과 X레이,"셀럽병사의 비밀 26회 '마리 퀴리' 

📢 풀영상 다시보기(웨이브): 
https://www.wavve.com/player/stream/vod?contentid=K02_PS-2025108931-01-000.1
📢 웨이브 모바일 버전: https://deep.wavve.com/content/K02_T2024-0541
📢 매주 화요일 저녁 8시 30분 KBS2TV

#셀럽병사의비밀 #옥주현 #이찬원 #장도연 #이낙준",UCBOs39Wu6lwfnT0IeJGyYWA,KBS 셀럽병사의 비밀,2025-09-11T09:01:25Z,37,0.62,True,60685.0,665.0,4.0,https://www.youtube.com/watch?v=qdbwyenGMVQ,423000,496,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,"documentary/biographical/educational content about a same-named subject, not the stage production",shorts
VbvPql2EVOY,퀴리부인│여성 천재 과학자👩🏻‍⚕️│📖🌈씽씽똑똑위인│한글씽씽│어린이 위인전│위인전,"#유아 #위인전 #키즈

⭐️한글씽씽 채널 오픈!⭐️
매주 화,목 다양한 동화와 동요, 위인, 단어들을 재미있게 배우는♬ 영상들이 업로드 됩니다.


씽씽이와 함께 재미있는 영상들을 만나보세요! :D
구독하기 ▶https://bit.ly/3g4pgCK


💕ABC 영어도 자신있어요!
자매채널 잉글리시 씽씽 구독하기
▶http://goo.gl/gDa963",UCN7JrWbU6DjlnX5cAyHbPbA,한글씽씽,2023-11-07T08:55:17Z,205,3.42,False,11605.0,29.0,0.0,https://www.youtube.com/watch?v=VbvPql2EVOY,28300,317,PF226540,마리 퀴리,뮤지컬,홍익대 대학로 아트센터 대극장,2023-11-24,2024-02-18,,,,shard_0,delete,no matching performance found in list,general
