video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,source_shard,match_status,correction_note,video_format
-Ljmg_LEBG4,"광명심포니 오케스트라와 함께 공연한 하모니(하이든, 모차르트, Need You!) 중 하이든의 고별","연극과 클래식의 만남.
기존의 해설이 있는 클래식을 넘어 보는 클래식의 첫번째 시리즈.
'하모니' 중 하이든의 고별 입니다. 
광명심포니 오케스트라의 아름다운 연주와 창작의숲의 기획이 만나 새로운 장르를 만들었네요.",UCz7ZLWvuxLXkHpezOcBDJIg,창작의숲,2020-12-04T02:24:03Z,177,2.95,False,96.0,7.0,0.0,https://www.youtube.com/watch?v=-Ljmg_LEBG4,140,82,PF232018,"부천필하모닉오케스트라 해설음악회 Ⅲ: 교향곡의 아버지, 하이든",서양음악(클래식),부천아트센터 콘서트홀,2024-06-27,2024-06-27,,,,shard_0,review,"candidate work ""하모니"" found but ambiguous among 2 instances",general
VsQxycEmmEA,서울시합창단 & 프라임필하모니 신나는콘서트 중 longing공연영상(정현수 개인앨범 'The Color of Love 中),"제 개인앨범 The Color Of Love 중 Longing 이란 곡 입니다.
제 개인적으로 앨범 중에서 가장 좋아하는 곡 입니다.",UCCW4PZbQx7fS8fq5H41I63g,정현수,2021-02-13T20:29:58Z,322,5.37,False,182.0,4.0,0.0,https://www.youtube.com/watch?v=VsQxycEmmEA,69,14,PF260720,제99회 순천시립합창단 정기연주회 [순천],서양음악(클래식),순천문화예술회관 대극장,2025-03-20,2025-03-20,,,,shard_0,review,"candidate work ""하모니"" found but ambiguous among 2 instances",general
wsWNp3ELeYM,하남문화예술회관 뮤지컬 빨래,#뮤지컬 #빨래 #커튼콜 #하남문화예술회관,UC5_TidEzxhpD9oVntcZPR2A,쉼멍,2022-03-18T03:12:05Z,60,1.0,True,131.0,4.0,0.0,https://www.youtube.com/watch?v=wsWNp3ELeYM,106,40,PF251567,세빌리아의 이발사 [안성],서양음악(클래식),안성맞춤아트홀 대공연장,2024-11-15,2024-11-16,,,,shard_1,review,"candidate work ""빨래"" found but ambiguous among 3 instances",shorts
ZUdV-H1DwVo,울산 남구 구립교향악단 '2020 송년음악회' - 01,"#울산남구 #구립교향악단 #코로나-19 #무관중연주회 #베토벤합창

남구 구립교향악단, 코로나-19 극복을 위한
제76회 정기연주회 '2020 송년음악회, 베토벤 합창'

2020. 12. 6(일) 17:30, 문화예술회관 대공연장",UCA_sH8tAjjakRDWfLKN3FDQ,울산남구 고래방송국,2020-12-07T03:51:10Z,1740,29.0,False,917.0,41.0,3.0,https://www.youtube.com/watch?v=ZUdV-H1DwVo,24500,692,PF262813,제30회 춘천시립청소년교향악단 정기연주회: 공연번호 30,서양음악(클래식),춘천문화예술회관 공연장,2025-05-10,2025-05-10,,,,shard_1,review,"candidate work ""구구"" found but ambiguous among 2 instances",general
d445QpjXGi0,"제 16회 사계음악콩쿠르 / 주은지,박명지,정동찬,김민정 - 중앙대학교 졸업",#주은지 #박명지 #정동찬 #김민정 #한음사계음악콩쿠르 #한음 #한음콩쿨 #한음음악콩쿠르 #한음수상자연주회 #유니버셜뮤직콩쿨 #한음필하모닉콩쿠르 #예중 #예고 #음대입시 #서울대 #한예종 #콩쿨 #타악기 #음대 #음대입시 #피아노 #현악 #작곡 #성악 #뮤지컬 #실용 #서울예고 #이화여고 #서울예고 #음악춘추 #이화경향,UCz7uLYZA3VQ53dSqa7Aucgw,Haneum competition,2020-09-21T04:34:23Z,242,4.03,False,371.0,5.0,0.0,https://www.youtube.com/watch?v=d445QpjXGi0,1920,748,PF245309,차이콥스키 콩쿠르 수상자 콘서트 [안성],서양음악(클래식),안성맞춤아트홀 대공연장,2024-09-13,2024-09-13,,,,shard_1,review,"candidate work ""지정"" found but ambiguous among 3 instances",general
qWgleaftrnM,-꿈꾸는하모니 - 초등학교 합창  #전국소년소녀합창경연대회 결선진출 #연세대 백주년기념관콘서트홀 #합창동아리 #음악교사 #합창지휘자,,UCHOujpM65Fg7WbSaOobRRww,꿈꾸는 하모니,2023-06-12T05:58:41Z,12,0.2,True,49195.0,369.0,,https://www.youtube.com/watch?v=qWgleaftrnM,7510,362,PF263532,제130회 울산시립합창단 정기연주회: 청년들이여! 함께 노래해요 [울산],서양음악(클래식),울산문화예술회관 대공연장,2025-05-22,2025-05-22,,,,shard_1,review,"candidate work ""하모니"" found but ambiguous among 2 instances",shorts
8cSWnjRV1PY,"울산 남구 구립합창단 제4회 정기연주회 ""헨델 오라토리오 메시아""","울산 남구 구립합창단 제4회 정기연주회
""헨델 오라토리오 메시아""

2025년 12월 9일 화요일 19시30분 
울산문화예술회관 대공연장

합창 울산 남구 구립합창단
오케스트라 협연  울산 남구 구립교향악단
솔리스트  소프라노 박인경, 카운터테너 윤진태, 테너 조윤환, 바리톤 김대수
피아노 최혜민
지휘 김동욱

G. F. Handel’s Oratorio
MESSIAH
헨델의 오라토리오 메시아

0:00

Part the First

1. Sinfony 3:33

2. Comfort ye (Accompagnato: Tenor) 7:20

3. Ev'ry valley (Song: Tenor) 10:05

4. And the glory of the Lord (Chorus) 13:37

5. Thus saith the Lord (Accompagnato: Bass) 16:56

6. But who may abide (Song: Countertenor) 18:52

7. And he shall purify (Chorus) 23:;25

12. For unto us a child is born (Chorus) 25:52

17. Glory to God (Chorus) 30:15

18. Rejoice greatly (Song: Soprano) 32:40

21. His yoke is easy (Chorus) 37:35

 

Part the Second

23. He was despised (Song: Countertenor) 40:06

24. Surely He hath borne our griefs (Chorus) 44:53

26. All we, like sheep (Chorus) 46:42

29. Thy rebuke hath broken His heart 51:00

(Accompagnato: Tenor)

30. Behold and see (Song: Tenor) 52:30

33. Lift up your heads (Chorus) 53:50

36. Thou art gone up on high (Song: Countertenor) 57:33

38. How beautiful are the feet (Song: Soprano) 1:00:52

40. Why do the nations (Song: Bass) 1:03:14

43. Thou shalt break them (Song: Tenor) 1:06:28

44. Hallelujah (Chorus) 1:08:30

 

Part the Third

45. I know that my Redeemer liveth (Song: Soprano) 1:12:30

46. Since by man came death (Chorus) 1:19:30

48. The trumpet shall sound (Song: Bass) 1:21:32

53. Worthy is the Lamb (Chorus) 1:25:55

54. Amen (Chorus) 1:29:15",UCD4omg1kW7twrKmm5rCOnPw,울산 남구립합창단,2026-01-06T18:12:34Z,5970,99.5,False,544.0,5.0,0.0,https://www.youtube.com/watch?v=8cSWnjRV1PY,49,7,PF263532,제130회 울산시립합창단 정기연주회: 청년들이여! 함께 노래해요 [울산],서양음악(클래식),울산문화예술회관 대공연장,2025-05-22,2025-05-22,,,,shard_1,review,"candidate work ""구구"" found but ambiguous among 2 instances",general
7vbONvF0bHA,예술의전당 영상화사업(SAC On Screen) - 스냅(하이라이트): 그루잠 프로덕션,"예술의전당 영상화사업(SAC On Screen)
미스터리 넌버벌퍼포먼스 스냅
2021. 8. 31.(화) 19:00 / 해남문화예술회관 대공연장

#예술의전당 #영상화사업 #SAC On Screen #해남군 #해남문화예술회관
#넌버벌 #퍼포먼스 #스냅 #그루잠 #사전신청중 #코로나19 #마음방역",UCLSXv8rfKmkGmr2RQ7De8ig,해남문화예술회관,2021-08-18T04:54:11Z,130,2.17,False,260.0,5.0,0.0,https://www.youtube.com/watch?v=7vbONvF0bHA,281,57,PF272973,"정크, 클라운 [전주]",연극,전북예술회관 공연장,2025-10-25,2025-10-26,,,,shard_1,review,"candidate work ""스냅"" found but ambiguous among 4 instances",general
Gz9u6fchItQ,221226 아가사-공주공연 밤공 커튼콜(고상호 배우님 focus),,UCScIhLu5O-1pKr9ejwjFBQQ,밀레,2022-12-27T00:37:46Z,191,3.18,False,109.0,3.0,0.0,https://www.youtube.com/watch?v=Gz9u6fchItQ,321,489,PF224764,테레즈 라캥 [공주],뮤지컬,공주문예회관 대공연장,2023-11-09,2023-11-11,,,,shard_10,review,"candidate work ""아가사"" found but ambiguous among 4 instances",general
EMcFRt_QkGI,제2회 더스트링오케스트라 정기연주회 브람스 교향곡1번 4악장,"제2회 더스트링오케스트라 정기연주회
브람스- 교향곡 1번 4악장
2017.12.27. 성남아트센터 앙상블시어터 저녁 7시 공연연주",UCnV-oKQG0OYutro2Cu9kgWw,김도연,2017-12-28T15:10:21Z,432,7.2,False,207.0,2.0,0.0,https://www.youtube.com/watch?v=EMcFRt_QkGI,4,28,PF245852,제206회 성남시립교향악단 정기연주회 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-08-30,2024-08-30,,,,shard_10,review,"candidate work ""브람스"" found but ambiguous among 2 instances",general
