video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes
CDkdoCJTS90,"2018 라벨라오페라단 갈라Ⅱ R.WAGNER - TRISTAN UND ISOLDE 中 ""PRELUDE""","GRAND GALA Ⅱ. 
VERDI vs WAGNER 

R.WAGNER - TRISTAN UND ISOLDE 中 ""PRELUDE"" 
PRIME PHILHARMONIC ORCHESTRA

GIUSEPPE VERDI
RICHARD WAGNER 
LA BELLA OPERA

LOTTE CONCERT HALL

오페라 (트리스탄과 이졸데) 中 '전주곡'
프라임필하모닉오케스트라

- 라벨라오페라단 -
2018년 라벨라 시그니처 시리즈 Ⅱ.

- 공연 개요 -
그랜드 오페라 갈라 Ⅱ. 베르디 vs 바그너
일시 : 2018. 10. 12. 금요일 08:00PM
장소 : 롯데콘서트홀 

주최 : 라벨라오페라단 
후원 : 문화체육관광부 / 한국문화예술위원회 / 서울특별시",UCt9zf8i5S2hpGeHVaH70lpg,라벨라오페라단La Bella Opera,2019-07-10T06:18:34Z,627,10.45,False,381,0,0,https://www.youtube.com/watch?v=CDkdoCJTS90,2940,519,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
ZkAaOonoTCI,"[Clip#13-1 사랑의묘약 1막1장 자막] 트리스탄과 이졸데의 묘약 이야기...내말 들어줘,아디나 #이재욱#김예은#송기창#김이삭#이예지#현지연#류형수#최유리#이의주 #오파주","[Clip#13-1] #토크오페라 #이의주연출 #해설
-index
A 해설
1 Quanto e' bella! quanto e' cara 정말 아름답고 사랑스런 그녀! -네모리노 아리아
2 Come Paride vezzoso 섹시한 파리스가 그러했던 것 처럼 -벨코레 아리아
3 Una parola, O Adina 제발 한마디만 아디나... -네모리노&아디나 2중창 

#이재욱#김예은#송기창#김이삭#이예지#현지연#류형수#최유리

[2021년 6월 12일 오후 5시 공연 서울 금나래 아트홀]

네모리노 테너 이재욱
아디나 소프라노 김예은
벨코레 바리톤 송기창
둘카마라 베이스 김이삭
잔넷타 소프라노 이예지
발레리나 현지연 
발레리노 류형수

음악코치 피아니스트 최유리
연출 해설 이의주
안무 류형수

무대 JS 공연 산업
의상 디자인 박선미
분장 디자인 구유진 SF 메이크업
무대감독 박정범 
무대 조감독 이은혜
조연출 임주혜 주하민
자막 한아름
제작 PD 김보람 

공연 영상 제작 나무앤 숲 C.P 조은빈 -촬영감독 인철용
스팟 제작 나무앤 숲 -촬영 감독 전상원 

[한국 문화예술회관 연합회, 한문연 주최]
[금천 문화재단 주관]
[문화체육 관광부 후원]
[한국 문화예술 위원회 후원]",UCcXhc29mUvf8eO6CoOiiSUg,오파주-OPAJU,2021-07-18T02:17:33Z,1544,25.73,False,710,16,,https://www.youtube.com/watch?v=ZkAaOonoTCI,3430,147,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
Zs07tb9_m5E,"오페라 '탄호이저' 서곡 | R. Wagner, Opera Tannhäuser Overture | 국립오페라단 | 지휘 필립 오갱","✴︎ [𝗡𝗘𝗪 𝗩𝗢𝗗] #탄호이저

작년 2024년 10월, 어둡지만 매혹적이고 아름다웠던
오페라 '탄호이저' VOD가 업로드 되었습니다.
관객 여러분들의 사랑으로 전석 매진을 이룬 인생 작품-!

잊지 못할 장면, 현장에선 볼 수 없었던 찰나의 순간까지
모두 담아 여러분들께 선물 드립니다.
지금 크노마이오페라에서 그때의 감동을 다시 느껴보세요♡

※ 본 VOD는 10/17(목) 예술의전당 오페라극장 실황 영상으로, A캐스트의 영상을 제공합니다.

⚊ 크노마이오페라 𝗞𝗡𝗢𝗺𝘆𝗢𝗽𝗲𝗿𝗮

국립오페라단의 온라인 극장 ’크노마이오페라‘는 오페라 '라 보엠' '라 트라비아타' 등을 포함하여 30편이 넘는 오페라 VOD를 제공하고 있다. 4K 화질로 극장에서 관람하는 듯한 생생함으로 정기공연을 편하게 스트리밍하여 관람할 수 있는 온라인 플랫폼이다.

♥
⠀𝗟𝗜𝗩𝗘 / 𝗩𝗢𝗗 (개별 결제 가능)
⠀𝗣𝗥𝗘𝗠𝗜𝗨𝗠 (연간 99,000원)
➊ 𝗺𝘆𝗢𝗽𝗲𝗿𝗮 𝗟𝗜𝗩𝗘 전편 감상(연간 정기공연 중계)
*12월 '트리스탄과 이졸데'은 중계 진행되지 않습니다.
➋ 모든 VOD 감상 및 동시접속 2대 가능
➌ 오프라인 정기공연 30% 할인 제공(최대 4매까지)
➍ E-프로그램북 제공

#국립오페라단",UC6KCcAMTxQrBPS7d9Q1hyug,국립오페라단 Korea National Opera,2025-06-23T06:58:50Z,957,15.95,False,967,18,2,https://www.youtube.com/watch?v=Zs07tb9_m5E,7650,354,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
j6tiq4Jbbc8,[오페라 커튼콜] 나의 능력이 아닌 그분께서 주신 능력으로!! Soli Deo Gloria!! | 국립오페라단 콘서트오페라 Gianni Schicchi | (feat. 환호),"#solideogloria #국립오페라단 #잔니스키키 #커튼콜
#콘서트오페라 #giannischicchi #koreanationalopera
#바리톤김은곤 #공연 #연주 #오페라",UCLT1_8hj7bFg3nU23o-U8ag,Cantando Ugo 노래하는 우고,2023-03-27T12:59:14Z,13,0.22,True,1803,17,0,https://www.youtube.com/watch?v=j6tiq4Jbbc8,857,162,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
LMew2HoNAbU,(ENG SUB) OPERA 사랑의 묘약 #1 (이런게 사랑인가...),"고막스틸러가 출연한 오페라!!
한 번쯤, 고막스틸러 출연자들의 정상적인 모습 보실 때 됬잖아유?
(사랑의 묘약) 재밌게 감상하세요~
-----------------------------------------------
▶ 작  곡  자 : 가에타노 도니제티 (G.Donizetti/1797~1848)
▶ 대        본 : 펠리체 로마니 (F.Romani/1788~1865)
▶ 예술감독 : 최상무
▶ 지        휘 : 조나단 브란다니 (J.Brandani)
▶ 연        출 : 이회수
▶ 성  악  가(역할)
   -­ 니나 솔로도브니코바 (아디나 Adina)
   -­ 조규석 (네모리노 Nemorino)
   -­ 강민성 (벨코레 Belcore) 
   -­ 한준헌 (둘카마라 Dulcamara)
   -­ 김나영 (잔네타 Gianetta)
-----------------------------------------------

오페라떼 구독하기 : http://bitly.kr/ybrUiCZH 
구독과 좋아요 많이 부탁드립니다!
Don't forget to like and subscribe!

업로드 시간과 요일은 랜덤입니다.
다양한 콘텐츠로 여러분을 찾아 뵙겠습니다!

📌페이스북 https://www.facebook.com/DaeguOpera/
📌인스타그램 https://www.instagram.com/daeguoperahouse/
📌카카오플러스 https://pf.kakao.com/_beklxl",UCtfcgbVZyzQpOT1VSQVOojw,오페라떼 Operatte,2020-07-15T06:12:47Z,1687,28.12,False,1414,27,1,https://www.youtube.com/watch?v=LMew2HoNAbU,30300,204,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
WoQ43aSnurM,오페라 '피가로의 결혼' 서곡 | W.A.Mozart 'Le Nozze di Figaro' Overture | 국립오페라단·국립심포니오케스트라 | 지휘 다비트 라일란트,"✴︎ [𝗡𝗘𝗪 𝗩𝗢𝗗] #피가로의결혼

지난 2025년 3월, 웃음과 사랑스러움으로 가득했던
오페라 '피가로의 결혼' VOD가 업로드 되었습니다.
관객 여러분들의 사랑으로 전석 매진을 이룬 인생 작품-!

잊지 못할 장면, 현장에선 볼 수 없었던 찰나의 순간까지
모두 담아 여러분들께 선물 드립니다.
지금 크노마이오페라에서 그때의 감동을 다시 느껴보세요♡

※ 본 VOD는 3/20(목) 예술의전당 오페라극장 실황 영상으로, A캐스트의 영상을 제공합니다.

⚊ 크노마이오페라 𝗞𝗡𝗢𝗺𝘆𝗢𝗽𝗲𝗿𝗮

국립오페라단의 온라인 극장 ’크노마이오페라‘는 오페라 '라 보엠' '라 트라비아타' 등을 포함하여 30편이 넘는 오페라 VOD를 제공하고 있다. 4K 화질로 극장에서 관람하는 듯한 생생함으로 정기공연을 편하게 스트리밍하여 관람할 수 있는 온라인 플랫폼이다.

♥
⠀𝗟𝗜𝗩𝗘 / 𝗩𝗢𝗗 (개별 결제 가능)
⠀𝗣𝗥𝗘𝗠𝗜𝗨𝗠 (연간 99,000원)
➊ 𝗺𝘆𝗢𝗽𝗲𝗿𝗮 𝗟𝗜𝗩𝗘 전편 감상(연간 정기공연 중계)
*12월 '트리스탄과 이졸데'은 중계 진행되지 않습니다.
➋ 모든 VOD 감상 및 동시접속 2대 가능
➌ 오프라인 정기공연 30% 할인 제공(최대 4매까지)
➍ E-프로그램북 제공

#국립오페라단",UC6KCcAMTxQrBPS7d9Q1hyug,국립오페라단 Korea National Opera,2025-06-13T07:33:13Z,252,4.2,False,5286,40,0,https://www.youtube.com/watch?v=WoQ43aSnurM,7650,354,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
K85ddb4dWlI,[Spot#10 ver.2 사랑의 묘약] 이재욱 송기창 김예은 김이삭 이예지 현지연 크리스토퍼 로빈 안드레아슨 최유리 이의주 #오파주,"[토크 오페라 사랑의 묘약]
[2021년 6월 12일 오후 2시 5시 2회 공연 서울 금나래 아트홀]

네모리노 테너 이재욱
아디나 소프라노 김예은
벨코레 바리톤 송기창
둘카마라 베이스 김이삭
잔넷타 소프라노 이예지
발레 현지연 크리스토퍼 로빈 안드레아 

음악코치 피아니스트 최유리
연출 해설 이의주

무대 JS 공연 산업
의상 디자인 박선미
분장 디자인 구유진 SF 메이크업
무대감독 박정범, 조감독 이은혜
조연출 임주혜 주하민
자막 한아름
제작 PD 김보람 

공연 영상 제작 나무앤 숲 C.P 조은빈 ,촬영감독 인철용
스팟 제작 나무앤 숲 ,촬영 감독 진상원 

[한국 문화예술회관 연합회, 한문연 주최]
[금천 문화재단 주관]
[문화체육 관광부 후원]
[한국 문화예술 위원회 후원]",UCcXhc29mUvf8eO6CoOiiSUg,오파주-OPAJU,2021-05-28T06:08:06Z,43,0.72,True,642,25,,https://www.youtube.com/watch?v=K85ddb4dWlI,3430,147,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
JpG5YIiQZr4,오페라 사랑의 묘약,"시놉시스
1970년대 부산 영도, 도시개발이 한창이던 그 때 은수(네모리노)라는 한 청년이 살고 있었다. 순진하고 정이 많아 주변 사람들이 좋아하고 늘 칭찬을 듣고 살았지만, 소심한 성격 때문에 짝사랑하는 미경
(아디나)에게 데이트 신청 한번 하지 못했다. 미경이는 서울에서 공부하고 고향으로 내려와 은수와 
함께 시멘트 공장에서 비서 일을 하고 있었다. 새침하고 깍쟁이 같지만 가끔 사람들에게 책도 읽어 
주며 직원들과 즐겁게 회사 일을 하고 있었다. 
얼굴도 이뻐서 뭇 남성들에의 가슴을 뛰게 만들었는데 특히 시멘트 공장 사장인 철구(벨코레)가 눈독을 들이고 있었다. 미경이도 은수를 좋아하지만 데이트 신청 한번 하지 못하는 은수 때문에 속상해하고 있던 찰나 철구과 과감하게 사람들 앞에서 결혼하자고 한다. 미경은 은수를 골려주기 위해 한 치의 망설임도 없이 결혼을 승낙한다. 시름에 빠져 있던 은수는 시장에서 약을 파는 구씨(둘카마라) 아저씨에게 사랑의 묘약을 사게 되지만, 주어진 시작은 하루. 하루만에 세상이 바뀌길 바랬던 은수의 바램과 달리 미경은 오늘 결혼하자는 철구의 말을 들어준다. 
한편, 삼촌이 돌아가시면서 엄청난 유산을 물려받은 은수는 마을 여자들에게 인기가 하늘 높은 줄 
모르고 치솟는다. 그러나 은수에게는 오직 미경이만 보일 뿐이었다. 그래서 은수는 강력한 효능의 
사랑의 묘약을 사기로 했지만 금액이 너무 비싸 고민하다 중동에 있는 시멘트 공장으로 많은 돈을 
받고 가기로 한다. 구씨 아저씨는 미경을 만나 그녀가 사실은 은수를 사랑하고 있다는 것을 알게 되고, 그녀에게도 사랑의 묘약을 팔려고 하지만 그녀는 자신을 원래 이뻤기에 그런 것은 필요 없다고 잘라서 말한다. 구씨 아저씨는 미경에게 은수가 그녀 때문에 중동에 간다는 걸 알려주고, 미경은 은수를 
찾으러 간다. 힘없이 걸어가는 은수를 발견한 미경은 사실은 나도 당신을 사랑한다고 고백한다. 
과연 은수는 그 고백을 들어줄까? 철구는 이 사실을 알고 어떻게 할까?

연주 - 미래필하모니오케스트라

지휘 - 박성은 

연출 - 이창원

주요 곡목
· 그녀는 얼마나 예쁜지 Quanto e bella Quanto e cara
· 산들바람에게 물어 봐 Chiedi all`aura...
· 내 말 좀 들어봐요. Udite, Udite, o rustici`
· 남 몰래 흘리는 눈물 Una fustiva lagrima


네모리노(은수) 테너 조윤환
고신대학교 예술대학 교회음악과 졸업
오스트리아 비엔나국립음악원 디플롬졸업
독일 베를린 국립음악원 최고연주자 과정 수석졸업
독일 라이프치히 국립음악원 마이스터엑자멘 졸업
독일 라이프치히 ‘바흐 국제 음악제’ 솔리스트
‘킴가우 국제 음악제’, ‘후궁으로부터의 탈출’ 주연
독일 ‘막대부르그 극장’ 객원 솔리스트역임
현) 부산시 금정구 여성합창단 지휘

아디나(미경) 소프라노 이지은
경성대학교 예술대학 음악학과 졸업
이탈리아 로마 씬타 체칠리아 국립 음악원 졸업
이태리 로마 Arts 국제 아카테미 디플로마
이태리 로마 Arena 국제 아카테미 디플로마
이태리 Airola 국제 콩쿨 최우수 가창상
MBC 목요음악회, KBS TV 문화속으로 방송 출연 및 다수 음악회 출연
오페라 ‘사랑의 묘약’, ‘라보엠’, ‘라 트라비아타’, ‘피가로의 결혼’, ‘박쥐’, ‘코지판투테’, ‘모세’ 등 주역 출연
현) 동서대학교 외래교수, 이태리 성악 연구회 회원, 아모로제 성악 연구회 회원

벨코레(철구) 바리톤 윤오건
경성대학교 예술대학 음악학과 졸업
이탈리아 Tito Schipa 국립음악원 졸업(디플로마)
G.Puccini TOSCA 국제콩쿠르(Vocu Nuove per la Lirica-Ser-moneta) 1위
Spazio Musica 국제콩쿨(Orvieto) 1위 없는 2위, Euterpe 국제콩쿨(Bari) 2위
오페라 Tosca 외 다수의 오페라 주역
현) 부산 이태리음악연구회, 아모르제성악연구회 회원
   경남성악회 부회장, 경상오페라단 이사
   경상대학교 음악교욱과 외래교수

둘카마라(구씨) 베이스 권영기
고신대학교 예술대학 교회음악과 졸업
이태리 Giuseppe Tartini 국립음악원 졸업 및 동 음악원 조교과정 수료
이태리 Framcesco Venezze 국립음악원 post Diploma 및 조교과정 수료
이태리 Internazionlae conductor Academia di Vicenza 졸업(지휘)
현) 춘해보건대학교 간호학과 외래교수 
   부산합창연합회 소년소녀합창분과위원장, 해운대 구립소년소녀 합창단 지휘자
   루보체 레이디스싱어즈 지휘자, 정관여성햇빛합창단 지휘자, 
   부산와인스쿨나눔행복합창단 지휘자, 춘해보건대학교 춘해코러스 하모니 지휘자
   HEAVEN SINGERS 리더",UC4P4ySSZYAXrRdbMhg9fRRw,영도문화예술회관,2020-10-22T05:31:36Z,4563,76.05,False,903,22,1,https://www.youtube.com/watch?v=JpG5YIiQZr4,110,10,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
CKKscEgt7lc,베이스의 왕 - 르네파페 첫 내한공연(Ver.5),"베이스 르네파페 첫 내한 공연
René Pape, bass Concert

2017. 12. 10(일) 오후 5시 예술의전당 콘서트홀
주  최 : WCN
입장료 : R석 220,000원 / S석 170,000원 / A석 120,000원 / B석 70,000원 / C석 50,000원
문  의 : 더블유씨엔코리아(주) 02-2183-1292 www.wocu.net
예매처 : 예술의전당 02-580-1300 인터파크 1544-1555 

# 할인정보
- 조기예매 40% (매수제한없음 / 10월 31일까지)
- 후원회원, 골드회원 50% (2매)
- 블루회원, 예술의전당우리V카드 40% (2매)
- 초,중,고,대학생 30% (대학원생 제외 / 생년월일 확인 가능한 증빙서류 현장 제시)
- 음악인(음대 졸업자) 20% (증빙서류 현장 제시)
- 10인 이상단체 20% (예술의전당 전화예매 및 방문예매) 
- 장애인 복지카드 소지자(1급~3급) 본인 및 동반1인 50% / (4급~6급) 본인 50%
- 국가유공자증, 의상자(1~2급)증 / 소지자 본인 및 동반1인 50%
- 유족증(국가유공자,의사자), 의상자(3급이하)증 / 소지자 본인 50%


세계 정상의 카리스마를 지닌 베이스
전 세계 평단과 관객으로부터 최고 찬사를 받고 있는 
르네파페 첫 내한 공연

강렬한 음색 속 진중한 존재감, 새로운 차원의 베이스를 지각하고 경험할 공연!


# 베이스 르네 파페(René Pape)
베이스의 가치를 빛낸 세계 최고의 성악가 르네 파페
세계가 사랑하는 성악가 르네 파페는 엄청난 활력을 지닌 베이스로 신뢰적인 재능을 선보이며 전세계 평단과 관객으로부터 찬사를 받고 있다. 

수 많은 팬들이 기다리던 그의 첫 내한 공연, 12월 무대에서 그를 마주한다. 

르네 파페는 일찍이 음악감독 대니얼 바렌보임의 지지를 받으며 1988년부터 독일 베를린 국립 오페라의 단원으로 활동하며, 뉴욕 메트로폴리탄 오페라 매 시즌 무대, 런던 코벤트가든 로열 오페라하우스, 파리 국립 오페라, 잘츠부르크 페스티벌, 시카고 리릭 오페라, 프랑스의 오랑쥐 페스티벌, 글라인드본, 카네기홀, 에이버리 피셔홀 등 수 많은 작품과 리사이틀을 완벽하게 소화해내며 관객을 매료시켰다. 

“르네 파페는 카리스마와 지성, 특별한 목소리로 관객을 매료시키는 아티스트다. 그는 자신만의 독특한 음색을 가지고 있다. 그 풍부한 음색은 부드럽고 표현력이 뛰어나다. 고동색 깊은 느낌의 매끄러운 목소리가 순간의 광채로 관객의 귀를 사로잡는다.”
- 오페라 뉴스

세계적 클래식 음반사인 도이치 그라모폰을 통해 발매 된 솔로 아리아 음반 신과 왕, 악마는 독일의 그래미 상에 비견될 저명한 ‘ECHO’상 수상, 대니얼 바렌보임 지휘, 베를린 슈타츠카펠레 연주로 도이치그라모폰에서 제작한 바그너 아리아 모음곡 발매를 비롯해 플라시도 도밍고와 함께 공연한 바그너의 트리스탄과 이졸데(EMI Classics) 등 수많은 음반과 DVD 참여로 명성은 더욱 인정받고 있다.

- 독일 평론가 협회 ‘올해의 아티스트’ 선정 (2006)
- 음악감독 제임스 러바인이 선정한 4명의 성악가 (2004)
- 뮤지컬 어메리카가 선정한 올해의 성악가 (2001)
- 오페라 뉴스 어워즈가 선정한 5인의 성악가 (2006)

# 지휘 요나스 알버(Jonas Alber)
요나스 알버는 세심하게 형성된 보컬 라인과 섬세하고 투명한 오케스트라의 사운드를 이끌어내었다.  
- 프랑크푸르터 알게마이네 차이퉁

저명한 지휘자 요나스 알버는 세계 주요 콘서트홀과 오페라하우스에서 그의 입지를 견고히 다져왔다. 바로크 시대부터 현대음악까지 아우르며 방대한 레퍼토리를 선보이며 알버는 현재 유럽과 아시아, 남아메리카, 뉴질랜드, 남아프리카공화국 등의 심포니 오케스트라와 오페라단에서 객원 지휘자로 활발히 활동하고 있다. 심포니 지휘자로 바바리안 라디오 심포니 오케스트라, BBC 심포니, 보훔 심포니 오케스트라 등 세계 유수의 오케스트라의 지휘를 맡으며, 오페라 지휘자로서 50편 이상의 오페라를 약 500회 지휘하며 평단의 호평을 받고 있다. 

알버는 1998년부터 2007년까지 브라운슈바이크 국립오페라극장의 음악 감독을 역임하였으며, 슈만의 교향곡 전곡 멘델스존의 교향곡, 말러 등의 작품으로 녹음 활동을 하며, WDR심포니 오케스트라 쾰른, 라이프치히 MDR　심포니 오케스트라, BBC 심포니 오케스트라 등과 다수의 실황 음반 작업을 가지며, DVD로 메르니에의 눈뜨는 봄을 발매하여 프랑스의 저명한 레코드 상인 ‘디아파종 도르’를 수상했다. 


# 연주 군포 프라임필하모닉오케스트라(Gunpo Prime Philharmonic Orchestra)
1997년 2월 창단된 군포 프라임필하모닉오케스트라는 국내외 정상급 지휘자를 영입하고 우수한 기량과 열의를 갖춘 연주자들로 단원을 구성하여 교향악은 물론 오페라, 발레 등 극장음악 전문 오케스트라로서 전문성을 인정받고 있다. 지금까지 102회의 정기연주회를 비롯한 약 2,000여회의 공연을 통해 다양한 음악적 색채를 구현하는 매력적인 오케스트라라는 평가를 받고 있으며, 국내 교향악단 발전의 새로운 패러다임을 제시하고 있다.


# 프로그램
■ 주세페 베르디 Giuseppe Verdi (1813–1901)     
• 오페라 시몬 보카네그라, 1막 Simone Boccanegra, Act Ⅰ
고문당한 정신 (피에스코의 아리아)
Il lacerate spirito (Fiesco)     

• 오페라 아이다, 2막 Aida, Act Ⅱ
발레음악
Ballet music

• 오페라 맥베스, 3막 Macbeth, Act Ⅲ
아들아, 조심해서 가거라… 어두운 그림자 하늘로 드리우고 (뱅쿼의 아리아)
Studia il passo, o m io figlio... Come dal ciel precipita (Banco) 

• 오페라 운명의 힘 La forza del destino
서곡
Overture 

• 오페라 돈 카를로스, 3막 Don Carlos, Act Ⅲ
그녀는 나를 사랑하지 않았어 (펠리페2세 / 필립보의 아리아)
Ella giammai m’amò! (Filip II. / Filippo) 

- 인터미션 Pause -

■ 리하르트 바그너 Richard Wagner (1813 - 1883) 
• 오페라 뉘른베르크의 명가수 Die Meistersinger von Nürnberg
서곡
Overture   

• 오페라 뉘른베르크의 명가수, 2막 Die Meistersinger von Nürnberg, Act Ⅱ
라일락 향기가 좋다 (작스의 아리아)
Was duftet doch der Flieder(Sachs)

• 오페라 로엔그린, 1막 Lohengrin, Act Ⅰ
서곡
Overture

• 오페라 발퀴레, 3막 Die Walküre, Act Ⅲ
작별이구나, 용감하고 훌륭한 아가야! (보탄의 아리아)
Leb wohl, du kühnes, herrliches Kind! (Wotan)

* 프로그램은 사정 상 변경 될 수 있습니다.",UC1sNn7Rcm3Q0c4U22beeKDw,WCN KOREA,2017-10-27T00:45:50Z,31,0.52,True,2379,3,0,https://www.youtube.com/watch?v=CKKscEgt7lc,621,242,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
92yM1QffL8I,중진공 공연 2020 사랑의 묘약 사천 문화예술회관 경상오페라단 비대면오페라 #stayathome,"2020년 11월 17일
사랑의 묘약 
저녁 07시 30분 사천문화예술회관 

후원
경남문화예술진흥원
한국문화예술위원회
중진공

연  출 김의진
지  휘 전욱용
연  주 VK체임버오케스트라
음악코치 김소원
아디나 김보선
네모리노 김바위
벨코레 정회운
둘카마라 윤오건
잔네타 김정선
영상편집  윤오건

1막

아디나(Adina)는 마을의 아름다운 지주 아가씨이고
가난한 농부 네모리노(Nemorino)는 아디나를 오랫동안
짝사랑한다. 하지만 네모리노에게 아디나는 관심이 없다.
어느 여름날 아디나는 「트리스탄과 이졸데」라는 책을
읽다가 ‘사랑의 묘약 ’ 에 관한 얘기가 몹시 재미있어
마을 사람들에게 읽어주기 시작한다. 이졸데(이소테)라는
아가씨가 있었는데 사랑의 묘약을 잘못 마시는 바람에
다른 사람을 사랑하게 되었다는 내용이다. 네모리노는
그 얘기에 나오는 ‘사랑의 묘약 ’ 이 필요하다고 생각한다.
떠돌이 약장수이자 돌팔이 의사 둘카마라(Dulcamara)
박사가 네모리노에게 ‘사랑의 묘약 ’ 이라 속이고 싸구려
와인 한 병을 판다. 네모리노는 전 재산을 털어 이
‘사랑의 묘약 ’ 을 사서 마신다. 효과가 즉시 나타난다.
술에 취한 네모리노는 타고난 멋쟁이 군인 벨코레
(Belcore) 하사와 얼마 뒤 결혼하기로 한 아디나에게
실수를 한다.

2막

아디나의 결혼식 날이다. 아디나는 결혼 시간을 늦춘다.
아디나는 네모리노가 나타나지 않자 어떻게 된 일인지
이상해 못 견딜 지경이다. 네모리노는 비싼 약을 한 병
이나 마셨는데도 아디나가 자신을 사랑하기는커녕
벨코레와 결혼을 하게 돼서 억울해 하는데 둘카마라가
한 병 더 사서 마셔야 효과가 있다는 말에 또 속아
군대를 입대하기로 한다. 네모리노는 입대를 조건으로
받은 돈으로 또 약을 사서 마신다. 결과는 전보다 더
과감한 행동으로 나타난다. 그 날 저녁 네모리노가
하루 아침에 벼락부자가 되었다는 소문이 마을에 돈다.
그렇지만 네모리노는 아무것도 모르고 아디나는 네모
리노에게 관심을 가진다. 네모리노는 약효 때문에
아디나가 드디어 자신에게 끌리고 있다고 생각한다.
두 사람은 이제 서로의 마을속에 있는 진짜 사랑을 확인
한다. 두 사람의 사랑을 확인한 벨코레 하사는 네모리노의
자원입대서를 되돌려준다. 둘카마라는 자기가 판 약
때문에 두 사람이 사랑에 성공했다고 자랑한다. 아디나는
네모리노의 팔에 안기며 모든 것이 준비된 결혼식장으로
향한다.

#비대면​
#비대면오페라​
#비대면공연​
#stayathome​
#사회적거리두기",UCArEuXFqCic88InuuHc0RBg,OG 컬쳐 채널,2021-02-08T10:52:24Z,3556,59.27,False,133,1,0,https://www.youtube.com/watch?v=92yM1QffL8I,19,12,PF258352,국립오페라단 정기공연 오페라: 트리스탄과 이졸데,서양음악(클래식),예술의전당 [서울] 오페라극장,2025-12-04,2025-12-07,,,
