video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
oi9_wuVsVtw,"#수원핫플 신상 LP바 겸 카페가 생겼어요, #헤이츠 카페",,UClDuoRHG2pgL0Oc4QzxzOhA,검소한 맥시멀부부,2023-08-24T09:39:13Z,11,0.18,True,742,12,0,https://www.youtube.com/watch?v=oi9_wuVsVtw,861,60,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
1fbP17cUXw0,화장이 위대한 이유ㄷㄷ #shorts,"#shorts #반전 #메이크업

본채널 : https://www.youtube.com/c/주둥이방송
다시보기: https://www.youtube.com/channel/UCPgdEXfS-uIXE9epibVydnQ

주둥이방송 본인이 운영하는 채널임",UCOkr541W3GBtVwLP0aNpJbw,주둥이방송 쇼츠,2022-09-23T15:31:17Z,28,0.47,True,19180706,324910,2318,https://www.youtube.com/watch?v=1fbP17cUXw0,457000,2585,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
4A7Nbs5HdUs,처음으로 담배 피는 비비ㅋㅋ#shorts,,UCb6p9JObNlNF3G8qw8a7_qg,예능 꺅꺅꺅,2022-06-26T09:39:13Z,25,0.42,True,4598124,50666,621,https://www.youtube.com/watch?v=4A7Nbs5HdUs,587,17,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
jXd8MuHC6W8,콜라 맞는지 확인 부탁드립니다 (230702),#shorts #프로야구 #기아타이거즈 #김도영 #갸린이 #인생2회차,UCMIHgfLhZASo_1IYH8iLGTg,별의별것,2023-07-02T15:59:41Z,16,0.27,True,9112575,96889,2239,https://www.youtube.com/watch?v=jXd8MuHC6W8,184000,1638,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
n24UFlMDc4M,살아보니 후회하는 인테리어 3가지 ! 안보면 후회🌚 #shorts,,UCt7WwR9eZKvp12PQk4O5jNw,됴미,2024-05-05T01:10:51Z,34,0.57,True,4761733,42011,864,https://www.youtube.com/watch?v=n24UFlMDc4M,118000,109,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
sNj0akvhp4o,새문안교회 예배시작 주일예배 @ChurchTour91 #shorts,"새문안교회 예배와 건축

#새문안교회 #이상학목사 #언더우드",UC7nIzkrHVyzgDwhtakvN5dg,교회의모든것,2024-07-13T04:27:46Z,18,0.3,True,229825,1600,184,https://www.youtube.com/watch?v=sNj0akvhp4o,22100,727,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
9L6S5Ja2YlE,"건장한 20대 조폭들, 술집 문 열어 젖히더니.. #shorts","더 자세한 정보 보기 
https://news.sbs.co.kr/y/?id=N1007658243

[TV 네트워크] 기사 더보기 
https://news.sbs.co.kr/y/i/?id=10000056672


▶SBS 뉴스 채널 구독하기 : https://n.sbs.co.kr/youtube 
▶SBS 뉴스 라이브 : https://n.sbs.co.kr/youtubeLive , https://n.sbs.co.kr/live 
▶SBS 뉴스 제보하기
홈페이지: https://n.sbs.co.kr/inform 
애플리케이션: 'SBS뉴스' 앱 설치하고 제보 - https://n.sbs.co.kr/App 
카카오톡: 'SBS뉴스'와 친구 맺고 채팅 - https://pf.kakao.com/_ewsdq/chat 
페이스북: 'SBS뉴스' 메시지 전송 - https://www.facebook.com/sbs8news 
이메일: sbs8news@sbs.co.kr 
문자: #6000 
전화: 02-2113-6000 

홈페이지: https://news.sbs.co.kr/ 
페이스북: https://www.facebook.com/sbs8news 
트위터: https://www.twitter.com/sbs8news
카카오톡: https://pf.kakao.com/_ewsdq
인스타그램: https://www.instagram.com/sbsnews

Copyright Ⓒ SBS. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지",UCkinYTS9IHqOEwR1Sze2JTw,SBS 뉴스,2024-05-23T12:51:25Z,31,0.52,True,3603396,26911,6982,https://www.youtube.com/watch?v=9L6S5Ja2YlE,5250000,346902,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
PUaOs4zQH4E,부동산 형이 알려준다 #shorts #서울,"#서울부동산

★각종 비지니스 문의 : 79ddangddang@gmail.com


★부동산 유튜버 땅땅무슨땅
700개 영상 업로드 , 8만 구독자 , 3700만 조회수

부동산 컨설턴트/강사/작가/유튜버
도서 ""집살라고?"" 저자
도서 ""토지투자시크릿"" 저자
부동산 전문 유튜브 채널 ""렘군"" 인터뷰 출연
매일경제 부동산 이코노미 ""매부리 TV"" 인터뷰 출연
매일경제 주식채널 ""자이앤트 TV"" 인터뷰 출연
월급쟁이부자들 특강 ""경기도 개발권 소액 토지투자""
대학교 멘토링강의
전자상거래몰 14년 운영
매주 수요일 저녁 9시 생방송 강의 진행(유튜브 채널)


★부동산 공부를 저와 함께 더 열심히 하고 싶으시다면 멤버십 회원에 가입하세요

▷땅땅무슨땅 멤버십 회원 안내 영상 보기
https://www.youtube.com/channel/UC3azbZFCFrt53KoQEjhEXiQ/join



★땅땅무슨땅 집필 도서

-도서 집 살라고?
http://www.yes24.com/Product/Goods/112067631

-도서 토지투자 시크릿
http://www.yes24.com/Product/Goods/109857317",UC3azbZFCFrt53KoQEjhEXiQ,부동산은 땅땅무슨땅,2023-10-13T08:45:01Z,55,0.92,True,3828804,41558,1828,https://www.youtube.com/watch?v=PUaOs4zQH4E,170000,2200,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
fpaHULNtw9U,자라 반품 논란 80만 패션유튜버,"#자라 #룩북 #zara 

지난 자라 연말룩 영상에속 겨울원피스들
반품 논란이 있어 영상을 찍었습니다..

https://www.youtube.com/shorts/K0ALrgmMYRs
https://www.youtube.com/shorts/QXlBmySbWPE
https://www.youtube.com/shorts/TLzV5ezoK5Y
https://www.youtube.com/shorts/9Axz0doCKAw
https://www.youtube.com/shorts/WGS6_5aA2ak
https://www.youtube.com/shorts/ASeiIokAYu4
https://www.youtube.com/shorts/VQqaxGjypLw
https://www.youtube.com/shorts/D6d00mCCRx0",UC_gkwRB-p1JrOzzJk7PBKDQ,소신사장 SoshinTV,2024-01-01T12:30:31Z,14,0.23,True,5113071,21032,645,https://www.youtube.com/watch?v=fpaHULNtw9U,848000,568,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
G4qtNdU7rQc,갔다가 후회하고 옴 #쿠팡알바후기,,UCoGkOVPKYZ30gFqNn5H2Obg,어쩌다김주부,2024-11-11T05:16:46Z,40,0.67,True,247554,1082,208,https://www.youtube.com/watch?v=G4qtNdU7rQc,1550,87,PF235602,더 북 [수원],뮤지컬,정조테마공연장,2024-03-09,2024-04-28,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
