video_id,video_title,description,channel_id,channel_name,channel_subscriber_count,channel_video_count,published_at,duration_sec,video_format,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,season_match,substring_hit,quote_hit,venue_match,date_match
JbPwJS654h0,2025국립오페라단 마술피리 스팟 / 2025.05.22(목) 19:30 /  사천시문화예술회관 대공연장,모차르트의 아름다운 선율로 가득한 '가족오페라' 5월 22일 국립 오페라단 마술피리가 사천을 찾아옵니다 국립오페라단 마술피리 ...,UCYZaJxATzmasuVd5c0PXPQA,서경방송 광고,905,648,2025-05-02T06:45:25Z,21,shorts,415,1,0,https://www.youtube.com/watch?v=JbPwJS654h0,PF262470,"국립오페라단, 마술피리 [평택]",서양음악(클래식),other_season,True,False,False,True
DAtnyyHQxv8,오페라 마술피리! 국립오페라단 #music #korea national #opera,,UCHRAYmpWX098CznAJ4QlCLA,행복한 시골학교TV,356,322,2024-04-12T13:11:57Z,16,shorts,4764,,,https://www.youtube.com/watch?v=DAtnyyHQxv8,PF238252,"국립오페라단, 마술피리 [음성]",서양음악(클래식),other_season,True,False,False,True
Ck-WoPYgwLQ,[공연안내] 국립오페라단 오페라 &#39;마술피리&#39;,국립오페라단 '마술피리' 티켓오픈   2025. 4.3.(목) 14:00 인터파크 티켓 국립오페라단과 천재 모차르트의 마법 같은 이야기!,UCsF8o3x1qC5vpeWOrk5z9Rg,평택시문화재단,301,246,2025-03-31T09:10:07Z,37,shorts,267,4,0,https://www.youtube.com/watch?v=Ck-WoPYgwLQ,PF260093,"국립오페라단, 마술피리 [포항]",서양음악(클래식),other_season,True,True,False,True
hbfwuUnN9YQ,[2025. 7. 11.]제천예술의전당-오페라 마술피리,2025년 7월 11일 금요일! 대한민국 최고의 오페라단! #국립오페라단 의 #마술피리 공연이 제천예술의전당 대공연장 무대에 올랐 ...,UCJclnMbvLNvurP5e5H-DV_g,제천예술의전당[공식],497,76,2025-08-19T01:54:35Z,352,general,16651,77,0,https://www.youtube.com/watch?v=hbfwuUnN9YQ,PF269973,"국립오페라단, 마술피리",서양음악(클래식),other_season,True,False,False,True
Rqpd200iXbQ,🙉듣기만해도 지겨운 잔소리!😱 이걸 음악으로 만들었다고? 🎼장모님의 잔소리로 만들어진 곡이 있다! #모차르트 #아마데우스 #잔소리 #장모님 #결혼 #이혼 #마술피리 #밤의여왕,이것이모차르트가영감을얻는방법 구독과 좋아요 하면 잔소리 줄어듦 #장모님 #이혼 #결혼 #성악 #웃긴 #클래식 #공연 #고양문화 ...,UCNe8Vr6WeHxLznz7utfaKgA,뉴서울필하모닉오케스트라,2600,95,2024-07-15T08:26:29Z,48,shorts,29732,379,10,https://www.youtube.com/watch?v=Rqpd200iXbQ,PF242154,"국립오페라단, 마술피리 [고양]",서양음악(클래식),other_season,True,False,False,True
rFyFXfPG7wU,모차르트_오페라 마술피리,요즘 드라마만큼 핫 했던 오페라 '마술피리' 혹시 본적 있어? 마술피리에 나오는 음악들은 모두 유명해서 아마 오페라가 익숙하지 않은 ...,UCN2etK5cLnQd-QPtfa-6pPw,탬버린뮤직,269,58,2024-02-19T09:15:05Z,55,shorts,8794,75,0,https://www.youtube.com/watch?v=rFyFXfPG7wU,PF238252,"국립오페라단, 마술피리 [음성]",서양음악(클래식),other_season,True,True,False,True
uoTc78HOv5A,국립오페라단 오페라하이라이트 독일&amp;프랑스편  / Die Zauberflöte Quintett. (마술피리 4중창) Hm!hm!hm! - W.A.Mozart,국립오페라단 오페라 하이라이트 콘서트 독일&프랑스 2020년 6월 2일 녹화중계 마포아트센터.,UC2i6rsJx74YWRJ-upSNb1xg,Dongjin Kang,61,9,2025-05-22T15:00:42Z,390,general,267,6,0,https://www.youtube.com/watch?v=uoTc78HOv5A,PF262470,"국립오페라단, 마술피리 [평택]",서양음악(클래식),other_season,True,False,False,True
We5bTlYBntk,모차르트 임종 직전 대박 난 오페라 #마술피리,세종사이버대학교 #전원경교수 모차르트의 최후의 결작! 마술피리의 모든 것 세종사이버대학교 세종휴머니티칼리지 전원경 교수님과 ...,UCiGBuv7Zhw51ZbgDzN4hW1Q,세종TV,6900,470,2024-10-09T00:00:26Z,690,general,441,17,0,https://www.youtube.com/watch?v=We5bTlYBntk,PF242154,"국립오페라단, 마술피리 [고양]",서양음악(클래식),other_season,True,False,False,True
yhTOywq9_Rk,[2025.7.11.]제천예술의전당 오페라 마술피리(국립오페라단)shorts,2025년 7월 11일 금요일 대한민국 최고의 오페라단! #국립오페라단 의 #마술피리 공연이 제천예술의전당 대공연장 무대에 올랐 ...,UCJclnMbvLNvurP5e5H-DV_g,제천예술의전당[공식],497,76,2025-08-19T01:48:30Z,57,shorts,555,8,0,https://www.youtube.com/watch?v=yhTOywq9_Rk,PF269973,"국립오페라단, 마술피리",서양음악(클래식),other_season,True,False,False,True
xygdfG_7vR0,[한글 자막] 모차르트 마술피리 - 나는야 즐거운 새잡이 - 사이먼 킨리사이드,마술피리 전체 동영상 보기 《마술피리》 전막 영상을 감상하시려면 아래 페이스북 페이지를 방문해 주세요. 이곳에서 계정 등록 방법 ...,UCDFl239hN_NmcCOTaln3i2w,오페라 감상방,6170,46,2025-11-14T10:01:53Z,178,general,5239,28,5,https://www.youtube.com/watch?v=xygdfG_7vR0,PF269973,"국립오페라단, 마술피리",서양음악(클래식),other_season,True,True,False,True
