video_id,comment_id,author,text,like_count,published_at
kNyLkvKnync,UgzlzvdZ11ueB2kaXbZ4AaABAg,@Kim-in3bi,난 항상 연주자가  북 치는 스틱을 놓쳐버리는 상상을 함,42,2026-05-07T21:02:11Z
kNyLkvKnync,UgzPhB9mJh1ZnrFvbXh4AaABAg,@GARIDARI,아 요즘 내 인생이 진노의 날 같아서 연달아 이 곡을 들었더니 쇼츠가 베르디로 도배가 되었네 ㅋㅋㅋㅋ 쿠렌치스랑 두다멜 지휘 둘다 너무 좋으니까 생에 한번은 직관하고 싶다 ㅠ 둘다 한번씩 내한해주는 지휘자인데 내 삶이 팍팍해서 한번을 못 갔네 ㅠㅠ,121,2026-02-25T21:27:06Z
kNyLkvKnync,Ugya2nVKar1BPXkdDd54AaABAg,@율유리-t8k,"음..전 첫번째 취향!! ㅎㅎ 
뭔가 앞뒤 안보고 죄다 쓸어 버려야 직성이 풀릴듯한듯? ㅎㅎ",76,2026-02-20T15:55:41Z
kNyLkvKnync,UgwTq-ck5KqHL5Pwykl4AaABAg,@Kadlec-r4x,"1번 자 드가자
2번 야 온다 ㅈ대따",137,2025-04-29T12:14:31Z
kNyLkvKnync,Ugzl8RUgu3nE95B17vl4AaABAg,@영원-g2v,지휘자에따라   더른음악를볼수   았다   너무좋다  ..,37,2025-05-15T23:58:24Z
kNyLkvKnync,UgyJZlgSPmyeX1l992V4AaABAg,@kimh.s3957,퇴근시간 알림곡으로 추천함다!!,94,2025-03-12T07:19:09Z
kNyLkvKnync,Ugz7l8EVscKg7g78vb94AaABAg,@제로스-g4r,1번은 절제와 힘  2번은 융단폭격 준비하는 군사들처럼 느껴지네요  잘은 모르겠지만 ^^;;,14,2026-03-06T16:47:49Z
kNyLkvKnync,Ugxy5DzxDtkbCezFQ-p4AaABAg,@ericyoon6053,어릴때부터 기억속에 휘몰아치던 감성으론 첫번째~!!,8,2026-04-04T04:07:37Z
kNyLkvKnync,UgwqufdABbqq7eFP49x4AaABAg,@sialee4318,내 취향 두다멜이 더 좋음ㅋ 테오도르 뒷부분 해석은 다이나믹 해서 좋네.,15,2025-09-19T12:07:34Z
kNyLkvKnync,Ugzi6Z_1vv7fEQOvGXZ4AaABAg,@kimseoyeon3024,두분다 너무 최고입니다❤❤❤❤,3,2026-05-15T17:11:36Z
kNyLkvKnync,Ugyuugz6CygNMANPVQZ4AaABAg,@moderatoly,지휘자는 소리에 색을 입히고 조화를 이룹니다,2,2026-05-04T01:06:44Z
kNyLkvKnync,UgwQ8RHtib-KFkCQZCN4AaABAg,@flowerland-c9t6s,전 후자의 다이나믹함이 좋네요 ㅎㅎ,27,2025-07-03T07:02:38Z
kNyLkvKnync,Ugx7dtUKAbgmCJISdvx4AaABAg,@Iceland_Siglufjordur,"누가 지휘하든 ""히히 다 죽어~!"" 분위기는 일단 같군요. ㅋㅋㅋㅋ",4,2026-06-01T12:20:09Z
kNyLkvKnync,UgzR_pXG6n6aVnDVsEV4AaABAg,@마리는아리스토캣,"1번 신이 진노해서 지구 멸망시킨 느낌.
2번 천사 vs 타락천사 전쟁하는 느낌.",2,2026-04-30T18:09:39Z
