perf::PF258959	보이지 않는 것	relevance			
perf::PF233608	봄	relevance			
perf::PF271418	겨울 그리고 다시 봄	relevance			
perf::PF281669	실내악 콘서트 Ⅰ	relevance			
perf::PF233608	봄	relevance			
perf::PF253951	미인	relevance			
perf::PF289586	배리어프리	relevance			
perf::PF238942	슈퍼 파워	relevance			
perf::PF242516	햄릿	relevance			
perf::PF242516	햄릿	relevance			
perf::PF255718	대구시립교향악단 신년음악회	relevance			
perf::PF253107	CINEMA ADVENTURE	relevance			
perf::PF238942	슈퍼 파워	relevance			
perf::PF251707	호두까기인형	relevance			
perf::PF242516	햄릿	relevance			
perf::PF255606	RHAPSODY & CAPRICCIO	relevance			
perf::PF264096	솔로 프로젝트	relevance			
perf::PF242516	햄릿	relevance			
perf::PF242516	햄릿	relevance			
perf::PF265661	제100회 순천시립합창단 정기연주회	relevance			
perf::PF242516	햄릿	relevance			
perf::PF278705	프랑크 앤 슈타인	relevance			
perf::PF225716	테레즈 라캥	relevance			
perf::PF242516	햄릿	relevance			
perf::PF253951	미인	relevance			
perf::PF253951	미인	relevance			
perf::PF238942	슈퍼 파워	relevance			
perf::PF225716	테레즈 라캥	relevance			
perf::PF242516	햄릿	relevance			
perf::PF238431	아라비안 나이트	relevance			
perf::PF253951	미인	relevance			
perf::PF288587	헨젤과 그레텔	relevance			
perf::PF246586	Impressionism	relevance			
perf::PF251707	호두까기인형	relevance			
perf::PF274500	스와이프!	relevance			
perf::PF244792	거인의 정원	relevance			
perf::PF242516	햄릿	relevance			
perf::PF242703	그림자의 시간	relevance			
perf::PF242516	햄릿	relevance			
perf::PF242516	햄릿	relevance			
perf::PF253951	미인	relevance			
perf::PF242516	햄릿	relevance			
perf::PF238942	슈퍼 파워	relevance			
perf::PF244624	거인의 정원	relevance			
perf::PF256786	레퀴엠	relevance			
perf::PF242516	햄릿	relevance			
perf::PF244107	프렌들리 콘서트	relevance			
perf::PF242516	햄릿	relevance			
perf::PF242516	햄릿 리뷰	relevance			
perf::PF277865	CHANGWON YOUTH CHOIR FESTIVAL	relevance			
perf::PF255116	어린왕자	relevance			
perf::PF242516	햄릿	relevance			
perf::PF251707	호두까기인형	relevance			
perf::PF253951	미인	relevance			
perf::PF265446	페페의 꿈	relevance			
perf::PF246791	클래식 음악여행	relevance			
perf::PF242516	햄릿	relevance			
perf::PF246791	클래식 음악여행	relevance			
perf::PF242516	햄릿	relevance			
perf::PF256786	레퀴엠	relevance			
perf::PF242516	햄릿	relevance			
perf::PF253951	미인	relevance			
perf::PF253951	미인	relevance			
perf::PF253951	미인	date			
perf::PF242516	햄릿	relevance			
perf::PF293925	딜리버리	relevance			
perf::PF254700	광주예술의전당 발레교실 작품발표회	relevance			
