genreCode,genreCodeNm,prcFreeAdslNocs,prcK30LwrAdslNocs,prcK30K50AdslNocs,prcK50K70AdslNocs,prcK70K100AdslNocs,prcK100K150AdslNocs,prcK150UpAdslNocs,tcktngSumQty,totNtssNmrsSm,totNtssAmountSm,__typename,_period_start,_period_end
AAAA,연극,477693,1005045,290700,154656,54051,187,17,1982349,1351272,29184147,RsvtnPriceStats,20230706,20240102
GGGA,뮤지컬,1411110,1122240,1683515,567073,494830,776149,848095,6903012,4100595,230744063,RsvtnPriceStats,20230706,20240102
CCCA,서양음악(클래식),768522,610499,225180,172942,181976,245812,106357,2311288,1662295,54830707,RsvtnPriceStats,20230706,20240102
CCCC,한국음악(국악),120409,133056,24786,7107,3038,2900,127,291423,224923,2559868,RsvtnPriceStats,20230706,20240102
CCCD,대중음악,570037,238407,110223,144679,458208,1957954,1483726,4963234,2940673,327270076,RsvtnPriceStats,20230706,20240102
BBBC,무용(서양/한국무용),125792,188690,77790,45438,50993,57300,3437,549440,378344,10997152,RsvtnPriceStats,20230706,20240102
BBBE,대중무용,15378,3964,2539,1818,4532,59050,21,87302,45038,4594305,RsvtnPriceStats,20230706,20240102
EEEB,서커스/마술,122525,242830,27874,30558,102503,68527,160654,755471,497136,38123781,RsvtnPriceStats,20230706,20240102
EEEA,복합,91265,67072,21705,9145,4759,1704,2,195652,148535,1908298,RsvtnPriceStats,20230706,20240102
AAAA,연극,468060,882279,422894,208242,87939,21994,491,2091899,1371761,36063885,RsvtnPriceStats,20240103,20240701
GGGA,뮤지컬,1183454,972880,1637756,559426,520386,1070803,698915,6643620,3849698,224853938,RsvtnPriceStats,20240103,20240701
CCCA,서양음악(클래식),622616,614500,261845,185623,148919,133245,102653,2069401,1532749,49542220,RsvtnPriceStats,20240103,20240701
CCCC,한국음악(국악),88060,120621,16421,6092,1423,2785,21,235423,177724,2029610,RsvtnPriceStats,20240103,20240701
CCCD,대중음악,574124,126158,88522,125851,338839,1784899,2032637,5071030,3171902,389563522,RsvtnPriceStats,20240103,20240701
BBBC,무용(서양/한국무용),61065,94968,50956,31669,30105,20882,7984,297629,208899,7132885,RsvtnPriceStats,20240103,20240701
BBBE,대중무용,6713,4860,4799,1339,819,3031,0,21561,15467,390993,RsvtnPriceStats,20240103,20240701
EEEB,서커스/마술,52515,268269,12038,20759,46245,18997,16465,435288,312511,11234806,RsvtnPriceStats,20240103,20240701
EEEA,복합,71444,41434,4889,7108,5690,8053,0,138618,102147,1207734,RsvtnPriceStats,20240103,20240701
AAAA,연극,511170,984545,410101,198245,117479,20103,515,2242158,1476017,37627673,RsvtnPriceStats,20240702,20241229
GGGA,뮤지컬,1185278,954667,1696911,583280,519477,1006928,914786,6861327,3968433,248169268,RsvtnPriceStats,20240702,20241229
CCCA,서양음악(클래식),845344,647543,251290,185000,172627,135536,76498,2313838,1713211,48306254,RsvtnPriceStats,20240702,20241229
CCCC,한국음악(국악),150895,165734,22825,7660,2421,1414,3336,354285,272672,3019082,RsvtnPriceStats,20240702,20241229
CCCD,대중음악,623715,279177,110017,108423,388617,2468587,2396148,6374684,3662226,453716452,RsvtnPriceStats,20240702,20241229
BBBC,무용(서양/한국무용),128246,199175,79502,46975,62619,109847,6050,632414,414608,15379834,RsvtnPriceStats,20240702,20241229
BBBE,대중무용,1479,2602,80,2648,0,0,0,6809,5477,115657,RsvtnPriceStats,20240702,20241229
EEEB,서커스/마술,38322,283331,24231,28435,40112,33249,408,448088,324117,9831632,RsvtnPriceStats,20240702,20241229
EEEA,복합,125333,43766,11109,7188,7213,8269,26,202904,127001,1717464,RsvtnPriceStats,20240702,20241229
AAAA,연극,531064,877111,430451,215991,107753,16111,54,2178535,1441473,37110737,RsvtnPriceStats,20241230,20250628
GGGA,뮤지컬,1175005,1070879,1993232,549484,471439,761347,967866,6989252,4168335,243129376,RsvtnPriceStats,20241230,20250628
CCCA,서양음악(클래식),630845,618259,253344,148070,161044,135106,46942,1993610,1482091,42339713,RsvtnPriceStats,20241230,20250628
CCCC,한국음악(국악),91158,135358,21858,8651,1001,655,187,258868,190854,2085342,RsvtnPriceStats,20241230,20250628
CCCD,대중음악,484284,150626,76540,114221,336132,1772816,2944362,5878981,3565748,470170050,RsvtnPriceStats,20241230,20250628
BBBC,무용(서양/한국무용),92528,104844,65614,44765,37355,56336,19070,420512,291775,12273541,RsvtnPriceStats,20241230,20250628
BBBE,대중무용,2047,5801,3532,1979,86,0,0,13445,11263,265421,RsvtnPriceStats,20241230,20250628
EEEB,서커스/마술,40668,296273,19461,11602,37948,17243,26118,449313,327379,12196194,RsvtnPriceStats,20241230,20250628
EEEA,복합,27022,30651,6159,2787,4457,2053,53,73182,56921,927465,RsvtnPriceStats,20241230,20250628
AAAA,연극,598168,946822,502822,230994,82878,91706,88728,2542118,1616592,53349472,RsvtnPriceStats,20250629,20251226
GGGA,뮤지컬,1126209,1261014,2028829,568822,565460,731805,798500,7080639,4287531,244152381,RsvtnPriceStats,20250629,20251226
CCCA,서양음악(클래식),1021213,692039,269858,171596,163902,116828,80830,2516266,1884479,44651316,RsvtnPriceStats,20250629,20251226
CCCC,한국음악(국악),171941,180295,31240,9033,831,64,104,393508,297491,2637157,RsvtnPriceStats,20250629,20251226
CCCD,대중음악,793281,194723,135156,128161,266046,2063838,3005421,6586626,3890244,479306481,RsvtnPriceStats,20250629,20251226
BBBC,무용(서양/한국무용),147233,189839,97177,46089,58357,59825,4377,602897,402817,12942370,RsvtnPriceStats,20250629,20251226
BBBE,대중무용,15493,4272,863,1213,388,42103,12186,76518,33706,2978938,RsvtnPriceStats,20250629,20251226
EEEB,서커스/마술,141074,248483,16873,30910,101138,95372,149415,783265,518131,40320448,RsvtnPriceStats,20250629,20251226
EEEA,복합,80961,44535,6864,6026,6948,12238,2814,160386,120512,2003675,RsvtnPriceStats,20250629,20251226
AAAA,연극,576009,887080,650942,331186,180887,88019,133175,2847298,1744777,65479629,RsvtnPriceStats,20251227,20260625
GGGA,뮤지컬,1158624,1048066,1911028,625529,642592,809130,655306,6850275,4033538,218178175,RsvtnPriceStats,20251227,20260625
CCCA,서양음악(클래식),707681,631787,277910,176663,141209,105397,65877,2106524,1581813,41984810,RsvtnPriceStats,20251227,20260625
CCCC,한국음악(국악),99388,129137,24783,7515,3424,6241,0,270488,202612,2565958,RsvtnPriceStats,20251227,20260625
CCCD,대중음악,452855,175289,94613,129507,300080,1625915,3413837,6192096,3889123,536477840,RsvtnPriceStats,20251227,20260625
BBBC,무용(서양/한국무용),78955,98738,60621,42984,33477,17339,12471,344585,239901,8773497,RsvtnPriceStats,20251227,20260625
