data1,data3,data4,data5,data8,data9,data13,data14,data15,data16,data17,data18,data19,__typename,_period_start,_period_end
00:00 ~ 2:59,11,-69,3,5,0,0,0,0,16,0,13,0,RsvtnTimeStats,20230625,20231222
3:00 ~ 5:59,36,599,5725,16,0.1,0.1,0,0,5794,0,69,0,RsvtnTimeStats,20230625,20231222
6:00 ~ 8:59,0,0,0,0,0,0,0,0,0,0,0,0,RsvtnTimeStats,20230625,20231222
9:00 ~ 11:59,6976,15541296,713939,1787,9.3,9.7,2.2,6.2,1089514,6,375575,5.7,RsvtnTimeStats,20230625,20231222
12:00 ~ 14:59,15520,130162864,2210269,3088,16.1,21.7,18.5,19.3,3570226,19.8,1359957,20.7,RsvtnTimeStats,20230625,20231222
15:00 ~ 17:59,21684,162750740,2852360,5717,29.7,30.3,23.2,24.9,4335941,24,1483581,22.5,RsvtnTimeStats,20230625,20231222
18:00 ~ 20:59,27011,385306504,5592151,8478,44.1,37.7,54.8,48.8,8926526,49.5,3334375,50.6,RsvtnTimeStats,20230625,20231222
21:00 ~ 23:59,360,8951907,77681,145,0.8,0.5,1.3,0.7,107979,0.6,30298,0.5,RsvtnTimeStats,20230625,20231222
합계,71598,702713841,11452128,19236,100,100,100,100,18035996,100,6583868,100,RsvtnTimeStats,20230625,20231222
00:00 ~ 2:59,6,12170,293,4,0,0,0,0,328,0,35,0,RsvtnTimeStats,20231223,20240620
3:00 ~ 5:59,16,270,619,8,0,0,0,0,634,0,15,0,RsvtnTimeStats,20231223,20240620
6:00 ~ 8:59,4,118570,555,4,0,0,0,0,920,0,365,0,RsvtnTimeStats,20231223,20240620
9:00 ~ 11:59,7161,27598415,845682,1924,11.1,10.6,3.8,8,1218242,7.2,372560,6,RsvtnTimeStats,20231223,20240620
12:00 ~ 14:59,15799,142312592,2204038,3223,18.7,23.3,19.8,20.7,3633111,21.5,1429073,22.9,RsvtnTimeStats,20231223,20240620
15:00 ~ 17:59,20464,146433942,2469277,5283,30.6,30.2,20.4,23.2,3712305,22,1243028,19.9,RsvtnTimeStats,20231223,20240620
18:00 ~ 20:59,24147,401256428,5090766,6690,38.7,35.6,55.9,47.9,8289629,49.1,3198863,51.2,RsvtnTimeStats,20231223,20240620
21:00 ~ 23:59,252,499707,14257,132,0.8,0.4,0.1,0.1,21175,0.1,6918,0.1,RsvtnTimeStats,20231223,20240620
합계,67849,718232094,10625487,17268,100,100,100,100,16876344,100,6250857,100,RsvtnTimeStats,20231223,20240620
00:00 ~ 2:59,2,-70,-2,2,0,0,0,0,27,0,29,0,RsvtnTimeStats,20240621,20241218
3:00 ~ 5:59,5,327,24,3,0,0,0,0,33,0,9,0,RsvtnTimeStats,20240621,20241218
6:00 ~ 8:59,6,126,60,4,0,0,0,0,75,0,15,0,RsvtnTimeStats,20240621,20241218
9:00 ~ 11:59,6697,16594151,673436,1928,9.4,8.9,2,5.6,1059851,5.4,386415,5.2,RsvtnTimeStats,20240621,20241218
12:00 ~ 14:59,16452,122842319,2070401,3376,16.4,21.8,14.9,17.2,3455835,17.7,1385434,18.6,RsvtnTimeStats,20240621,20241218
15:00 ~ 17:59,23462,209460785,3207233,6338,30.9,31.1,25.3,26.6,4905742,25.1,1698509,22.8,RsvtnTimeStats,20240621,20241218
18:00 ~ 20:59,28518,475574100,6070799,8773,42.7,37.8,57.5,50.4,10052979,51.5,3982180,53.4,RsvtnTimeStats,20240621,20241218
21:00 ~ 23:59,269,2638507,31413,111,0.5,0.4,0.3,0.3,42995,0.2,11582,0.2,RsvtnTimeStats,20240621,20241218
합계,75411,827110245,12053364,20535,100,100,100,100,19517537,100,7464173,100,RsvtnTimeStats,20240621,20241218
00:00 ~ 2:59,23,9412,305,10,0.1,0,0,0,413,0,108,0,RsvtnTimeStats,20241219,20250617
3:00 ~ 5:59,3,1120,57,3,0,0,0,0,69,0,12,0,RsvtnTimeStats,20241219,20250617
6:00 ~ 8:59,2,220,4,2,0,0,0,0,5,0,1,0,RsvtnTimeStats,20241219,20250617
9:00 ~ 11:59,7305,29595170,851370,2166,11.3,9.6,3.8,7.6,1257705,7,406335,6.1,RsvtnTimeStats,20241219,20250617
12:00 ~ 14:59,17568,149979984,2303730,3556,18.6,23.1,19.1,20.5,3711681,20.8,1407951,21.2,RsvtnTimeStats,20241219,20250617
15:00 ~ 17:59,23941,194195259,2958349,5870,30.8,31.5,24.7,26.4,4591511,25.7,1633162,24.5,RsvtnTimeStats,20241219,20250617
18:00 ~ 20:59,26770,412519100,5086767,7377,38.6,35.2,52.4,45.3,8280233,46.3,3193466,48,RsvtnTimeStats,20241219,20250617
21:00 ~ 23:59,382,569091,20669,104,0.5,0.5,0.1,0.2,34098,0.2,13429,0.2,RsvtnTimeStats,20241219,20250617
합계,75994,786869356,11221251,19088,100,100,100,100,17875715,100,6654464,100,RsvtnTimeStats,20241219,20250617
00:00 ~ 2:59,11,7579,356,11,0,0,0,0,427,0,71,0,RsvtnTimeStats,20250618,20251215
3:00 ~ 5:59,5,252,11,3,0,0,0,0,11,0,0,0,RsvtnTimeStats,20250618,20251215
6:00 ~ 8:59,2,3600,178,2,0,0,0,0,286,0,108,0,RsvtnTimeStats,20250618,20251215
9:00 ~ 11:59,7243,17685247,752949,2231,9.8,8.8,2,5.8,1131923,5.5,378974,5,RsvtnTimeStats,20250618,20251215
12:00 ~ 14:59,17889,144332607,2340264,3841,16.8,21.8,16.2,17.9,3815280,18.4,1475016,19.3,RsvtnTimeStats,20250618,20251215
15:00 ~ 17:59,25113,247022565,3581191,6981,30.6,30.6,27.8,27.4,5437632,26.3,1856441,24.3,RsvtnTimeStats,20250618,20251215
18:00 ~ 20:59,31222,480430350,6387694,9663,42.3,38.1,54,48.8,10294181,49.7,3906487,51.2,RsvtnTimeStats,20250618,20251215
21:00 ~ 23:59,524,668172,24709,116,0.5,0.6,0.1,0.2,34375,0.2,9666,0.1,RsvtnTimeStats,20250618,20251215
합계,82009,890150371,13087352,22848,100,100,100,100,20714115,100,7626763,100,RsvtnTimeStats,20250618,20251215
00:00 ~ 2:59,336,846850,8578,117,0.6,0.4,0.1,0.1,11950,0.1,3372,0,RsvtnTimeStats,20251216,20260614
3:00 ~ 5:59,14,2915,158,3,0,0,0,0,224,0,66,0,RsvtnTimeStats,20251216,20260614
6:00 ~ 8:59,1,0,0,1,0,0,0,0,124,0,124,0,RsvtnTimeStats,20251216,20260614
9:00 ~ 11:59,7479,38078157,874706,2407,11.7,9.5,4.3,7.3,1272087,6.6,397381,5.6,RsvtnTimeStats,20251216,20260614
12:00 ~ 14:59,17783,140025572,2274398,3968,19.3,22.6,15.8,18.9,3699682,19.3,1425284,19.9,RsvtnTimeStats,20251216,20260614
15:00 ~ 17:59,23780,188945675,2881670,6235,30.3,30.2,21.3,24,4505061,23.5,1623391,22.7,RsvtnTimeStats,20251216,20260614
18:00 ~ 20:59,28627,517798209,5950630,7740,37.6,36.4,58.4,49.5,9651130,50.3,3700500,51.7,RsvtnTimeStats,20251216,20260614
21:00 ~ 23:59,662,704164,28607,130,0.6,0.8,0.1,0.2,38388,0.2,9781,0.1,RsvtnTimeStats,20251216,20260614
합계,78682,886401542,12018747,20601,100,100,100,100,19178646,100,7159899,100,RsvtnTimeStats,20251216,20260614
00:00 ~ 2:59,89,49385,695,44,0.9,0.6,0.1,0.1,1032,0.1,337,0.1,RsvtnTimeStats,20260615,20260624
3:00 ~ 5:59,0,0,0,0,0,0,0,0,0,0,0,0,RsvtnTimeStats,20260615,20260624
6:00 ~ 8:59,1,1155,41,1,0,0,0,0,48,0,7,0,RsvtnTimeStats,20260615,20260624
9:00 ~ 11:59,1475,841567,34987,614,12.1,10.6,2.4,6.1,53661,5.8,18674,5.4,RsvtnTimeStats,20260615,20260624
12:00 ~ 14:59,2919,4597475,95523,989,19.6,21.1,12.8,16.6,155987,16.9,60464,17.4,RsvtnTimeStats,20260615,20260624
15:00 ~ 17:59,3948,6955227,126346,1568,31,28.5,19.4,21.9,202009,21.9,75663,21.8,RsvtnTimeStats,20260615,20260624
18:00 ~ 20:59,5330,23254222,316365,1820,36,38.5,65,54.9,507192,54.9,190827,55,RsvtnTimeStats,20260615,20260624
21:00 ~ 23:59,88,94873,2407,21,0.4,0.6,0.3,0.4,3197,0.3,790,0.2,RsvtnTimeStats,20260615,20260624
합계,13850,35793904,576364,5057,100,100,100,100,923126,100,346762,100,RsvtnTimeStats,20260615,20260624
